union_group_id,n_sequences,n_residues,class_0,class_1,class_2,class_3,split
union_0001,1,415,207,185,23,0,train
union_0002,386,129202,54982,60163,12968,1089,train
union_0003,1,46,26,16,4,0,train
union_0004,1,245,147,84,14,0,train
union_0005,1,73,57,10,3,3,train
union_0006,1,228,72,120,30,6,train
union_0007,2,1272,624,546,101,1,validation
union_0008,2,180,100,64,16,0,train
union_0009,2,317,185,106,23,3,train
union_0010,1,124,62,49,12,1,train
union_0011,2,524,202,279,41,2,train
union_0012,8,2388,1080,1066,225,17,test
union_0013,1,55,5,43,6,1,train
union_0014,1,60,34,25,1,0,train
union_0015,2,221,47,115,53,6,train
union_0016,1,217,126,83,8,0,train
union_0017,2,278,85,152,38,3,validation
union_0018,1,203,82,92,28,1,train
union_0019,4,647,306,266,68,7,validation
union_0020,8,2055,1049,787,198,21,test
union_0021,18,4790,2000,2317,425,48,validation
union_0022,1,129,44,74,11,0,train
union_0023,1,231,115,89,25,2,train
union_0024,5,1237,502,585,141,9,test
union_0025,1,147,73,57,15,2,train
union_0026,2,272,109,121,35,7,test
union_0027,1,61,15,36,7,3,train
union_0028,1,152,94,50,8,0,train
union_0029,3,733,306,354,65,8,test
union_0030,1,90,26,29,26,9,train
union_0031,1,77,31,29,15,2,train
union_0032,2,676,260,360,54,2,validation
union_0033,2,224,177,31,12,4,test
union_0034,1,118,13,70,31,4,train
union_0035,2,153,24,78,38,13,test
union_0036,2,502,294,151,52,5,validation
union_0037,1,41,19,22,0,0,train
union_0038,1,93,52,28,11,2,train
union_0039,6,2000,935,864,180,21,validation
union_0040,1,365,144,190,29,2,train
union_0041,1,53,20,18,15,0,train
union_0042,3,1017,408,472,128,9,test
union_0043,2,227,55,152,19,1,train
union_0044,2,1282,614,553,112,3,train
union_0045,1,135,51,66,16,2,train
union_0046,2,122,33,64,17,8,train
union_0047,2,1428,713,625,87,3,train
union_0048,2,480,217,203,50,10,validation
union_0049,1,272,170,78,20,4,train
union_0050,2,343,185,118,39,1,test
union_0051,2,185,45,112,26,2,validation
union_0052,6,2350,902,1211,216,21,validation
union_0053,1,295,102,162,31,0,train
union_0054,1,140,66,57,7,10,train
union_0055,1,61,40,18,3,0,train
union_0056,2,213,99,85,23,6,train
union_0057,1,140,30,93,17,0,train
union_0058,4,1103,361,649,87,6,validation
union_0059,2,359,140,162,51,6,test
union_0060,2,250,108,117,21,4,test
union_0061,2,387,144,217,26,0,test
union_0062,2,804,429,274,88,13,test
union_0063,1,367,185,143,39,0,train
union_0064,2,132,34,84,12,2,train
union_0065,1,136,55,53,22,6,train
union_0066,3,1032,491,427,107,7,validation
union_0067,3,271,57,167,44,3,test
union_0068,3,599,244,295,54,6,test
union_0069,2,460,164,217,53,26,test
union_0070,3,781,323,389,64,5,test
union_0071,1,193,74,106,13,0,train
union_0072,2,345,139,164,36,6,test
union_0073,1,105,29,53,22,1,train
union_0074,1,178,72,79,24,3,train
union_0075,2,673,270,335,65,3,validation
union_0076,2,130,37,71,18,4,test
union_0077,3,697,207,383,96,11,validation
union_0078,2,483,144,273,61,5,validation
union_0079,2,199,90,95,14,0,validation
union_0080,2,235,42,120,60,13,validation
union_0081,1,61,35,22,3,1,train
union_0082,1,69,8,13,27,21,train
union_0083,2,691,337,278,66,10,test
union_0084,2,154,100,46,8,0,test
union_0085,1,379,172,180,26,1,train
union_0086,4,1715,660,841,201,13,test
union_0087,2,523,239,238,44,2,train
union_0088,2,219,91,100,27,1,test
union_0089,2,196,84,100,11,1,train
union_0090,1,113,24,78,11,0,train
union_0091,2,1151,585,495,68,3,test
union_0092,2,726,334,328,63,1,test
union_0093,1,124,46,60,18,0,train
union_0094,1,97,47,48,2,0,train
union_0095,2,576,279,239,49,9,train
union_0096,2,254,60,134,49,11,test
union_0097,2,664,309,302,52,1,test
union_0098,1,165,75,77,10,3,train
union_0099,1,112,47,53,11,1,train
union_0100,1,53,43,9,1,0,train
union_0101,5,1661,734,748,169,10,validation
union_0102,2,658,214,332,105,7,validation
union_0103,1,155,74,61,10,10,train
union_0104,5,2372,977,1184,198,13,test
union_0105,1,198,25,83,79,11,train
union_0106,1,258,134,101,23,0,train
union_0107,1,223,78,125,18,2,train
union_0108,1,65,31,20,10,4,train
union_0109,1,74,23,49,2,0,train
union_0110,2,293,74,187,31,1,test
union_0111,1,79,4,22,45,8,test
union_0112,2,246,79,132,30,5,validation
union_0113,1,88,40,46,2,0,train
union_0114,2,403,167,190,43,3,train
union_0115,1,105,31,55,12,7,train
union_0116,1,264,90,145,28,1,train
union_0117,1,69,34,22,11,2,train
union_0118,2,576,239,276,55,6,test
union_0119,2,635,241,301,77,16,train
union_0120,2,444,200,191,48,5,train
union_0121,2,589,271,246,68,4,train
union_0122,2,406,109,242,49,6,test
union_0123,2,452,171,240,40,1,validation
union_0124,2,632,326,269,37,0,train
union_0125,2,430,156,215,55,4,test
union_0126,1,235,89,107,24,15,train
union_0127,1,388,153,175,55,5,train
union_0128,1,136,50,64,19,3,train
union_0129,1,147,57,61,26,3,test
union_0130,1,177,62,97,11,7,train
union_0131,2,237,135,86,15,1,train
union_0132,1,151,79,59,12,1,train
union_0133,1,167,80,72,15,0,train
union_0134,2,765,298,403,57,7,train
union_0135,2,383,205,143,31,4,validation
union_0136,1,213,122,65,24,2,train
union_0137,2,229,107,88,33,1,validation
union_0138,2,458,88,287,73,10,test
union_0139,1,77,46,27,3,1,train
union_0140,4,835,386,371,68,10,test
union_0141,1,164,64,87,13,0,train
union_0142,1,142,85,41,16,0,train
union_0143,2,375,197,145,30,3,train
union_0144,6,1171,588,485,91,7,validation
union_0145,2,208,108,83,17,0,train
union_0146,1,90,46,30,14,0,train
union_0147,1,203,73,107,21,2,train
union_0148,2,160,39,102,17,2,validation
union_0149,1,64,13,36,11,4,train
union_0150,1,60,42,12,6,0,train
union_0151,2,223,126,78,13,6,validation
union_0152,1,102,51,29,22,0,train
union_0153,2,582,284,258,39,1,test
union_0154,2,393,163,190,37,3,validation
union_0155,1,260,99,128,32,1,train
union_0156,2,446,271,138,35,2,train
union_0157,1,214,117,76,17,4,train
union_0158,1,344,168,150,26,0,train
union_0159,1,68,16,45,7,0,train
union_0160,1,77,19,51,7,0,train
union_0161,2,925,503,303,107,12,validation
union_0162,2,268,121,123,24,0,validation
union_0163,2,352,167,157,24,4,test
union_0164,1,297,161,103,31,2,validation
union_0165,1,112,61,38,12,1,train
union_0166,1,291,126,138,27,0,train
union_0167,1,211,105,69,35,2,train
union_0168,1,84,56,22,5,1,train
union_0169,1,209,117,68,24,0,train
union_0170,1,122,42,66,14,0,train
union_0171,2,477,123,291,58,5,test
union_0172,1,131,52,63,14,2,train
union_0173,1,172,93,56,20,3,train
union_0174,1,147,59,65,22,1,test
union_0175,1,72,46,10,15,1,train
union_0176,2,211,60,120,31,0,train
union_0177,2,182,96,64,21,1,validation
union_0178,2,351,163,156,30,2,validation
union_0179,1,76,11,29,26,10,test
union_0180,4,949,398,451,90,10,validation
union_0181,2,361,175,154,32,0,test
union_0182,2,328,103,181,41,3,train
union_0183,1,170,89,52,25,4,train
union_0184,1,78,41,24,12,1,train
union_0185,3,648,202,346,94,6,validation
union_0186,1,116,82,30,4,0,train
union_0187,1,184,85,79,12,8,train
union_0188,2,134,78,42,14,0,test
union_0189,2,523,295,187,41,0,train
union_0190,1,112,58,36,17,1,train
union_0191,1,150,58,82,10,0,train
union_0192,2,113,35,73,5,0,test
union_0193,1,307,143,137,25,2,train
union_0194,2,573,273,271,24,5,test
union_0195,1,227,72,122,25,8,train
union_0196,2,179,72,85,20,2,validation
union_0197,1,69,27,13,23,6,train
union_0198,2,314,87,159,44,24,train
union_0199,1,184,61,111,12,0,train
union_0200,1,104,8,32,59,5,validation
union_0201,2,170,52,77,31,10,train
union_0202,1,52,9,40,3,0,train
union_0203,2,287,166,92,26,3,validation
union_0204,3,1062,432,534,89,7,validation
union_0205,1,345,98,199,44,4,train
union_0206,3,838,356,404,73,5,test
union_0207,1,63,10,38,14,1,train
union_0208,1,84,28,39,16,1,train
union_0209,2,449,102,285,56,6,validation
union_0210,2,164,36,87,26,15,train
union_0211,2,246,93,114,36,3,validation
union_0212,1,253,202,22,24,5,validation
union_0213,1,64,32,22,4,6,train
