name,split,sequence_sha256,length,source_neq_row,label_mapping_method,exact_sequence_group_id,mmseqs_cluster_id,ecod_x_ids,union_group_id
1btk_A,test,809edf8f0f18c9d816c5e436a1534e8449636d2b7d7d0811f8306274fd6071ab,169,1152,unique_sequence,exact_0013,mmseqs_0013,ECOD_X_220;ECOD_X_398,union_0012
1ntv_A,test,39fec2f6d78acad36d0a23f4e756cbaaa9700d7a441328491b0a37c4d75e7fd7,152,82,unique_sequence,exact_0159,mmseqs_0159,ECOD_X_220,union_0012
1nty_A,test,c0d6931c36f48714fb29a0fd147eb609e5644cc279f628ae175554df6f0e7eb3,311,821,unique_sequence,exact_0160,mmseqs_0160,ECOD_X_133;ECOD_X_220,union_0012
2rku_A,test,66c0cfc265274b4f8954f683bdcceb3a1e0f5254183d2a9b66d03f87546a0752,294,1133,unique_sequence,exact_0549,mmseqs_0530,ECOD_X_206,union_0012
2y7b_A,test,96a1447f6bbd16d194a747104d36a031fbc5c5d0f9a2bce1246f09019841ec3e,134,1083,unique_sequence,exact_0625,mmseqs_0602,ECOD_X_220,union_0012
3f7w_A,test,7192d88a3f594ef319be4fba8a7a59a34c83cbf367b18dc09c4e701bdb3cdfa9,288,1225,unique_sequence,exact_0725,mmseqs_0698,ECOD_X_206,union_0012
4y93_A,test,4a8ccd7742fe28d23b88a946477174daaac306627b9281d55df054cfc7fc2db2,446,25,unique_sequence,exact_1106,mmseqs_1062,ECOD_X_206;ECOD_X_220;ECOD_X_398,union_0012
6nl2_A,test,c1b60b9e290563650458a967531cd3c76a9985a454aea04d03634421d999cc36,594,1108,unique_sequence,exact_1313,mmseqs_1249,ECOD_X_206;ECOD_X_3264,union_0012
1cpq_A,test,50f4a7b43deb384d3a4b81571b4f0012b79d72e929c5e1ed2205790b9ae13540,129,604,unique_sequence,exact_0022,mmseqs_0022,ECOD_X_601,union_0020
1dow_A,test,39f751bc51b44e4588334f36272307e20c5b8719ee15267a8afaa5d7e1b37e2d,205,175,unique_sequence,exact_0035,mmseqs_0035,ECOD_X_601,union_0020
1io1_A,test,4830490b45b73f78f5bbbab239e78ea9f3f9dbc252f3c43e8a9fea79d0c63f69,398,188,unique_sequence,exact_0092,mmseqs_0092,ECOD_X_4032;ECOD_X_601,union_0020
4adn_B,test,aa54f8c346050b9bb7751e4871e2de0ecded2d62601cbda641296dc156d92ce5,222,48,unique_sequence,exact_0957,mmseqs_0920,ECOD_X_3583;ECOD_X_601,union_0020
4cfi_A,test,50f248be9f8b6e59b8d2b26d1e71e1d7efe75ab05a00baa0e59453206ee0aa6d,258,1041,unique_sequence,exact_0968,mmseqs_0931,ECOD_X_3019;ECOD_X_601,union_0020
4geh_A,test,76e2c1408b6f7dcefdb7468ce473ebd48efcb7b2cc20b52e04e42cba4e18f2ed,207,851,unique_sequence,exact_1000,mmseqs_0962,ECOD_X_3730;ECOD_X_601,union_0020
6kty_A,test,c38bc4a0c2d0fe22cd311a92d20b256c844246241a5316c2bd77684a9a943b13,196,896,unique_sequence,exact_1302,mmseqs_1239,ECOD_X_3019;ECOD_X_3943,union_0020
6o6y_A,test,f60fa161b66cd63bfe498d15e4fc7a7b5a7ecdaef36a8b47336ce01e87540d50,440,610,unique_sequence,exact_1315,mmseqs_1251,ECOD_X_601;ECOD_X_7592,union_0020
1dci_C,test,66c5a9b582ec58b8bee65552a55691c59c2c2142897153b346e5fec2199941ff,275,1363,unique_sequence,exact_0028,mmseqs_0028,ECOD_X_2486,union_0024
