attention_source,profile,condition_pair,between_profile_spearman_mean,mean_within_profile_spearman,profile_spearman_between_minus_within,between_top10_residue_jaccard_mean,mean_within_top10_residue_jaccard,top10_residue_jaccard_between_minus_within,between_band_mask_jaccard_mean,mean_within_band_mask_jaccard,band_mask_jaccard_between_minus_within,between_band_peak_match_f1_mean,mean_within_band_peak_match_f1,band_peak_match_f1_between_minus_within
bilstm_self_attention,flexible_support,esm2_frozen_bilstm_attn vs esm2_top28_bilstm_attn,0.8194339228080897,0.9136915840275475,-0.09425766121945778,0.416609329721347,0.6246033124391239,-0.20799398271777692,0.40528497277210784,0.6111620168445226,-0.2058770440724148,0.6058148064754607,0.7807310038034432,-0.17491619732798247
bilstm_self_attention,flexible_support,esm2_frozen_bilstm_attn vs esm2_top4_bilstm_attn,0.8464776187512728,0.9276785203283257,-0.08120090157705284,0.4666215824707415,0.6812268353192032,-0.21460525284846177,0.45461431293803106,0.6652264232815199,-0.21061211034348887,0.6444325298183233,0.8109878312738952,-0.16655530145557185
bilstm_self_attention,flexible_support,esm2_frozen_bilstm_attn vs esm3_frozen_bilstm_attn,0.7343270446844947,0.8662726267485501,-0.13194558206405538,0.34070725933678053,0.5217041831204311,-0.18099692378365057,0.3264134478757138,0.5073140687944442,-0.18090062091873038,0.49600784547992566,0.6810962932119333,-0.18508844773200767
bilstm_self_attention,flexible_support,esm2_frozen_bilstm_attn vs esm3_top28_bilstm_attn,0.7469779902514316,0.8825590981667928,-0.13558110791536115,0.35502314182645595,0.5459671695012631,-0.19094402767480717,0.3305431475472333,0.5317934631326808,-0.20125031558544754,0.5124707322609047,0.7134164202494082,-0.20094568798850354
bilstm_self_attention,flexible_support,esm2_frozen_bilstm_attn vs esm3_top4_bilstm_attn,0.7459012174983037,0.8846049408339396,-0.13870372333563585,0.34729901571851524,0.548897721276162,-0.20159870555764675,0.3283452878858509,0.5379854121355803,-0.2096401242497294,0.5079814901981646,0.7210666612506084,-0.21308517105244373
bilstm_self_attention,flexible_support,esm2_top28_bilstm_attn vs esm2_top4_bilstm_attn,0.9258625395077258,0.9611043841863879,-0.03524184467866209,0.6048882731542975,0.7391247392945839,-0.1342364661402864,0.5868162584767241,0.7241948607150439,-0.13737860223831977,0.7685457559822523,0.8596947531963224,-0.0911489972140701
bilstm_self_attention,flexible_support,esm2_top28_bilstm_attn vs esm3_frozen_bilstm_attn,0.779871309285019,0.8996984906066123,-0.11982718132159331,0.39929602223170324,0.5796020870958117,-0.1803060648641085,0.39450580607546204,0.5662825062279682,-0.17177670015250612,0.5793513494262446,0.7298032151343606,-0.15045186570811608
bilstm_self_attention,flexible_support,esm2_top28_bilstm_attn vs esm3_top28_bilstm_attn,0.8081440699277587,0.915984962024855,-0.10784089209709635,0.4282118023268636,0.6038650734766438,-0.17565327114978013,0.41476186867004977,0.5907619005662048,-0.17600003189615504,0.6171450468182514,0.7621233421718354,-0.14497829535358397
bilstm_self_attention,flexible_support,esm2_top28_bilstm_attn vs esm3_top4_bilstm_attn,0.8091622270250384,0.9180308046920018,-0.10886857766696345,0.4176921086167547,0.6067956252515425,-0.1891035166347878,0.4059046432272293,0.5969538495691042,-0.19104920634187494,0.6101635401898338,0.7697735831730357,-0.15961004298320192
bilstm_self_attention,flexible_support,esm2_top4_bilstm_attn vs esm3_frozen_bilstm_attn,0.7875394664902335,0.9136854269073906,-0.1261459604171571,0.3881685833335968,0.6362256099758911,-0.2480570266422943,0.37506430053185025,0.6203469126649654,-0.2452826121331152,0.5595787279761366,0.7600600426048125,-0.2004813146286759
bilstm_self_attention,flexible_support,esm2_top4_bilstm_attn vs esm3_top28_bilstm_attn,0.8078736485220818,0.9299718983256332,-0.12209824980355144,0.4183084525692982,0.6604885963567231,-0.24218014378742486,0.39990474389649905,0.6448263070032021,-0.24492156310670304,0.5885550508984595,0.7923801696422874,-0.20382511874382792
bilstm_self_attention,flexible_support,esm2_top4_bilstm_attn vs esm3_top4_bilstm_attn,0.8135274205647995,0.93201774099278,-0.11849032042798047,0.42103814971401915,0.6634191481316218,-0.2423809984176027,0.40180963307334466,0.6510182560061015,-0.24920862293275686,0.6020676513175277,0.8000304106434875,-0.19796275932595975
bilstm_self_attention,flexible_support,esm3_frozen_bilstm_attn vs esm3_top28_bilstm_attn,0.8441736831773974,0.8685660047458577,-0.024392321568460273,0.4776469931276536,0.5009659441579508,-0.02331895103029724,0.4651395492898868,0.4869139525161264,-0.02177440322623958,0.650348487076587,0.6624886315803256,-0.01214014450373857
bilstm_self_attention,flexible_support,esm3_frozen_bilstm_attn vs esm3_top4_bilstm_attn,0.8698023663523373,0.8706118474130045,-0.0008094810606671388,0.5052877726192082,0.5038964959328497,0.0013912766863585224,0.49382028911067355,0.4931059015190258,0.0007143875916477693,0.6737187120751322,0.6701388725815258,0.003579839493606407
bilstm_self_attention,flexible_support,esm3_top28_bilstm_attn vs esm3_top4_bilstm_attn,0.8829728733305691,0.8868983188312471,-0.003925445500678082,0.530467559299465,0.5281594823136817,0.0023080769857832806,0.5237304756844685,0.5175852958572624,0.006145179827206082,0.7034192526292944,0.7024589996190006,0.0009602530102937878
bilstm_self_attention,raw_received,esm2_frozen_bilstm_attn vs esm2_top28_bilstm_attn,0.7243713671079218,0.8833128252770943,-0.1589414581691725,0.34688185266728944,0.5519305019891192,-0.20504864932182976,0.33605423648595445,0.5457342276839819,-0.2096799911980275,0.5297149089671414,0.7210723340237613,-0.1913574250566199
bilstm_self_attention,raw_received,esm2_frozen_bilstm_attn vs esm2_top4_bilstm_attn,0.7868003208422135,0.9053207057670832,-0.11852038492486971,0.4007782075656735,0.6154711319491162,-0.21469292438344267,0.39103965723334294,0.605099417518828,-0.21405976028548507,0.5783140354625276,0.7585850676994932,-0.1802710322369656
bilstm_self_attention,raw_received,esm2_frozen_bilstm_attn vs esm3_frozen_bilstm_attn,0.6153998540385882,0.8164204951792656,-0.20102064114067741,0.26249193479893,0.43991966792485826,-0.17742773312592824,0.2574779726820155,0.44153000800700837,-0.18405203532499287,0.4150479858624656,0.6124945218517617,-0.19744653598929607
bilstm_self_attention,raw_received,esm2_frozen_bilstm_attn vs esm3_top28_bilstm_attn,0.6242981991743108,0.8378089009711123,-0.21351070179680143,0.27411654093358834,0.45825331893108434,-0.184136777997496,0.2614923725626429,0.4619818167509001,-0.2004894441882572,0.4233183197009979,0.6352714087810736,-0.21195308908007565
bilstm_self_attention,raw_received,esm2_frozen_bilstm_attn vs esm3_top4_bilstm_attn,0.6289637026061571,0.8400404331490896,-0.21107673054293252,0.267223289602723,0.46555965013858736,-0.19833636053586434,0.25706329637604997,0.46981014576773605,-0.2127468493916861,0.41765641501466155,0.6446195716636707,-0.22696315664900912
bilstm_self_attention,raw_received,esm2_top28_bilstm_attn vs esm2_top4_bilstm_attn,0.8808852898770272,0.9448276627224288,-0.06394237284540161,0.5404191757541935,0.6849608865473689,-0.14454171079317535,0.5237885889139835,0.6695234399770753,-0.1457348510630918,0.7150543000361156,0.8196546162872065,-0.1046003162510909
bilstm_self_attention,raw_received,esm2_top28_bilstm_attn vs esm3_frozen_bilstm_attn,0.67719872795215,0.8559274521346112,-0.17872872418246122,0.33320810062763395,0.5094094225231108,-0.17620132189547688,0.3318198833067535,0.5059540304652557,-0.17413414715850217,0.5084930346651562,0.673564070439475,-0.1650710357743188
bilstm_self_attention,raw_received,esm2_top28_bilstm_attn vs esm3_top28_bilstm_attn,0.7172987945852746,0.8773158579264578,-0.16001706334118326,0.3512643439783891,0.5277430735293369,-0.1764787295509478,0.3445337956199257,0.5264058392091473,-0.1818720435892216,0.5369650445567006,0.696340957368787,-0.1593759128120864
bilstm_self_attention,raw_received,esm2_top28_bilstm_attn vs esm3_top4_bilstm_attn,0.711787503451985,0.8795473901044352,-0.16775988665245012,0.34557230804856426,0.5350494047368399,-0.18947709668827567,0.33742571284893397,0.5342341682259832,-0.19680845537704927,0.5266885587869445,0.7056891202513841,-0.17900056146443954
bilstm_self_attention,raw_received,esm2_top4_bilstm_attn vs esm3_frozen_bilstm_attn,0.6924609754226592,0.8779353326246,-0.18547435720194083,0.3208765494268961,0.5729500524831078,-0.25207350305621173,0.3110513716103615,0.5653192203001017,-0.25426784868974023,0.48003684580043227,0.7110768041152068,-0.23103995831477453
bilstm_self_attention,raw_received,esm2_top4_bilstm_attn vs esm3_top28_bilstm_attn,0.716835128441356,0.8993237384164467,-0.18248860997509075,0.3478940228665751,0.5912837034893339,-0.24338968062275879,0.33662900746522617,0.5857710290439935,-0.2491420215787673,0.5220942088808566,0.7338536910445188,-0.21175948216366225
bilstm_self_attention,raw_received,esm2_top4_bilstm_attn vs esm3_top4_bilstm_attn,0.7202499223438468,0.9015552705944241,-0.18130534825057731,0.345738965871626,0.598590034696837,-0.252851068825211,0.3366130492786225,0.5935993580608294,-0.2569863087822069,0.5203273966363721,0.7432018539271159,-0.22287445729074384
bilstm_self_attention,raw_received,esm3_frozen_bilstm_attn vs esm3_top28_bilstm_attn,0.7723940994367353,0.8104235278286291,-0.03802942839189383,0.39900797825885664,0.4157322394650759,-0.016724261206219282,0.40142430601943213,0.4222016195321738,-0.020777313512741646,0.5757709127675026,0.5877631451967873,-0.01199223242928471
bilstm_self_attention,raw_received,esm3_frozen_bilstm_attn vs esm3_top4_bilstm_attn,0.8130269432674481,0.8126550600066065,0.00037188326084158785,0.4261005934197003,0.423038570672579,0.003062022747121307,0.4297242849676337,0.4300299485490098,-0.00030566358137606997,0.6035021871634348,0.5971113080793844,0.006390879084050449
bilstm_self_attention,raw_received,esm3_top28_bilstm_attn vs esm3_top4_bilstm_attn,0.8288374758587617,0.8340434657984531,-0.005205989939691458,0.44922806903414264,0.4413722216788051,0.007855847355337564,0.45325195862035134,0.45048175729290146,0.0027702013274498727,0.6227565461782253,0.6198881950086964,0.002868351169528882
bilstm_self_attention,rigid_support,esm2_frozen_bilstm_attn vs esm2_top28_bilstm_attn,0.8246481722098745,0.9138258100709186,-0.08917763786104405,0.49204146621088446,0.6595569252840168,-0.1675154590731323,0.48860336478235367,0.6532019663024828,-0.16459860152012917,0.6560357517386186,0.7774440199335639,-0.12140826819494532
bilstm_self_attention,rigid_support,esm2_frozen_bilstm_attn vs esm2_top4_bilstm_attn,0.849893702000539,0.9276326797167475,-0.07773897771620841,0.5216340476849506,0.7024862713317742,-0.18085222364682363,0.5273631889144591,0.699943387529061,-0.17258019861460194,0.6862215582804089,0.8150753742158496,-0.12885381593544076
