condition,seed,n_proteins,n_residues,accuracy_mean,accuracy_std_between_proteins,accuracy_n_proteins,macro_f1_mean,macro_f1_std_between_proteins,macro_f1_n_proteins,class0_precision_mean,class0_precision_std_between_proteins,class0_precision_n_proteins,class0_recall_mean,class0_recall_std_between_proteins,class0_recall_n_proteins,class0_f1_mean,class0_f1_std_between_proteins,class0_f1_n_proteins,class1_precision_mean,class1_precision_std_between_proteins,class1_precision_n_proteins,class1_recall_mean,class1_recall_std_between_proteins,class1_recall_n_proteins,class1_f1_mean,class1_f1_std_between_proteins,class1_f1_n_proteins,auroc_mean,auroc_std_between_proteins,auroc_n_proteins,auprc_mean,auprc_std_between_proteins,auprc_n_proteins,neq_score_spearman_mean,neq_score_spearman_std_between_proteins,neq_score_spearman_n_proteins
esm2_frozen_bilstm_attn,1,208,47751,0.8153021506439088,0.054412700699239126,208,0.7882325156048047,0.06721630199843609,208,0.791961933063906,0.1117545111870719,208,0.7225324776266965,0.16144253581375995,208,0.7417299920230971,0.12005700990710844,208,0.8277859070410288,0.07559666081501061,208,0.8558236298853237,0.10746700292035737,208,0.8347350391865123,0.07237529804804879,208,0.8799913260065464,0.055037094436213053,208,0.8975245877204768,0.05911732883632172,208,0.6687157463754253,0.08858988814030672,208
esm2_top4_bilstm_attn,1,208,47751,0.8067489980464635,0.053896391439701784,208,0.7617196896824706,0.09853203466486521,208,0.7646483165455125,0.17084426938979594,208,0.6800657957553449,0.23060168501650274,208,0.6997301357478887,0.1971504071620018,208,0.8173593218388485,0.08985275423119483,208,0.8458038781654827,0.13464798227422795,208,0.8237092436170528,0.0929501569061056,208,0.8740259774327411,0.05393120212390447,208,0.8953869439452193,0.06423160433720515,208,0.6623489438034563,0.09275311280650571,208
esm2_top28_bilstm_attn,1,208,47751,0.8148860754484346,0.049036915428826405,208,0.7788032687257235,0.08596540891092705,208,0.7821233305584693,0.15614318183432813,208,0.6946009835382697,0.19577783597357143,208,0.721297654616145,0.1679361402268861,208,0.8148147920312893,0.08807769977200215,208,0.8674877782258041,0.10335574254065572,208,0.8363088828353017,0.0784692418300724,208,0.8777161478909716,0.05861698527231643,208,0.8981330551226818,0.06224592609422805,208,0.6685711320417733,0.09497513015902516,208
esm3_frozen_bilstm_attn,1,208,47751,0.7982112236005394,0.05923611956464702,208,0.749827688637828,0.10259445428206304,208,0.7780211575659857,0.1909099087490728,208,0.61700817255838,0.22074621634854996,208,0.6715778205111905,0.2019774255303145,208,0.7844543344953284,0.09277618192599503,208,0.8868029424838988,0.10046697614153104,208,0.8280775567644654,0.07988117243871334,208,0.8648653705347479,0.07017290432374068,208,0.8890027738691638,0.07552164530339346,208,0.6435657894253737,0.1223697641502036,208
esm3_top4_bilstm_attn,1,208,47751,0.8144993538670803,0.054366635689897455,208,0.7783644476735332,0.0902935741351177,208,0.78334039774836,0.17129079117570395,208,0.6868651828464861,0.18931124375335873,208,0.7190724963464199,0.17198852502094703,208,0.8116846110593688,0.0867233175203,208,0.8726683924217314,0.09905617502642317,208,0.8376563990006465,0.0775711433482647,208,0.880784731812489,0.06794839630015868,208,0.9033740255924003,0.07265062195066146,208,0.6710588239397364,0.11853737563108996,208
esm3_top28_bilstm_attn,1,208,47751,0.8238069921630162,0.05283313896448326,208,0.7920830992045149,0.08089934670949969,208,0.8072787964642093,0.12169626846234077,208,0.7192219087099126,0.18264291204366154,208,0.7417347980160337,0.14839770987420922,208,0.8275815359525046,0.08536471265353071,208,0.8663649853373622,0.1067256196529016,208,0.8424314003929962,0.0798436443135066,208,0.8888680838102161,0.06483048338232232,208,0.9099910081489677,0.06858775735486594,208,0.6861925423625438,0.11545456722639692,208
esm2_frozen_linear,1,208,47751,0.7977899086224329,0.05491811924000638,208,0.766379064693556,0.06854706939590256,208,0.7807740819181718,0.11466934742539424,208,0.6734372083279409,0.16448720438894318,208,0.7098293799656706,0.12896511321456192,208,0.7992124698421671,0.07939386561228856,208,0.8583998857093896,0.09813050822302966,208,0.8229287494214412,0.06966378182273458,208,0.8589475149816349,0.05856765963965731,208,0.8814584712483227,0.06914097584239809,208,0.6329876924376209,0.10172604318688382,208
esm2_frozen_bilstm_attn,2,208,47751,0.8100455705996056,0.06392652597503351,208,0.7778963511958265,0.08038505798493906,208,0.7985149619400053,0.11730794648403704,208,0.6968337767362687,0.19361313916532583,208,0.7240582497974422,0.14468576568832503,208,0.8200341843846244,0.08570702761485467,208,0.8606280411262316,0.11005479500622566,208,0.8317344525942107,0.07600759631808789,208,0.8790924974435387,0.055357625383995655,208,0.8973790314947235,0.0592724236134219,208,0.6677944375705516,0.0888094636120273,208
esm2_top4_bilstm_attn,2,208,47751,0.8073462447679453,0.05094159447597571,208,0.7603986837710798,0.10035119850388648,208,0.7685799706539853,0.18908775943319553,208,0.6584431952529173,0.23026196443855998,208,0.6921766475494819,0.2039238303213231,208,0.8070826899159038,0.08769791602762453,208,0.8638987588398819,0.11934701517034171,208,0.8286207199926777,0.08517736999392307,208,0.8743997870389897,0.05599377578565562,208,0.894521392628062,0.07037970538602889,208,0.6618311553673737,0.09803100543745578,208
esm2_top28_bilstm_attn,2,208,47751,0.8144025932392499,0.05137043692772607,208,0.7756083471483333,0.0866300890057332,208,0.7952567421807921,0.15258105628203528,208,0.6758465910595337,0.2028219381457579,208,0.7138780181864449,0.17026929833186719,208,0.8096619357301253,0.08946541642506113,208,0.8759647751950989,0.10363120596689668,208,0.8373386761102216,0.07882875358682173,208,0.8777770681789542,0.059376551748367354,208,0.8966453614373605,0.07065367202943908,208,0.6656455932585715,0.09673268189829679,208
