condition,split,sign,q8,feature,feature_group,n_proteins,n_selected_segments,n_control_segments,selected_macro_protein_mean,control_macro_protein_mean,selected_minus_control_macro_mean,ci95_low,ci95_high,inference_eligible,wilcoxon_p_two_sided,wilcoxon_q_bh
esm2_frozen_bilstm_attn,train,-1,H,mean_neq,neq,683,2724,3510,1.0710549814961454,1.1920215237364244,-0.12096654224027893,-0.13823907630390547,-0.10369400817665239,True,3.531453407607137e-52,7.589865878380651e-51
esm2_frozen_bilstm_attn,train,-1,H,max_neq,neq,683,2724,3510,1.6512441079181377,1.7132914513492703,-0.06204734343113214,-0.11688480412174834,-0.007209882740515948,True,0.017731875313934664,0.031129795142714904
esm2_frozen_bilstm_attn,train,-1,H,neq_peak_fraction,neq,683,2724,3510,0.013354932245478637,0.037632142141341265,-0.024277209895862635,-0.02898719628420693,-0.01956722350751834,True,1.2483342033247936e-24,9.231632777813192e-24
esm2_frozen_bilstm_attn,train,-1,H,neq_peak_excess,neq,683,2724,3510,0.5801891264219925,0.5212699276128456,0.05891919880914677,0.011637246897889288,0.10620115072040426,True,0.004546912143352966,0.008852480754680828
esm2_frozen_bilstm_attn,train,-1,H,mean_rsa,exposure_length_position,683,2724,3510,0.2777270744959058,0.30876817144243496,-0.031041096946529213,-0.036743832623920905,-0.02533836126913752,True,1.0239130942441352e-23,7.17305572384843e-23
esm2_frozen_bilstm_attn,train,-1,H,max_rsa,exposure_length_position,683,2724,3510,0.6370858846277954,0.5642695681225568,0.07281631650523854,0.063513112891758,0.08211952011871908,True,5.628572252927071e-43,1.0322801511868248e-41
esm2_frozen_bilstm_attn,train,-1,H,log_segment_length,exposure_length_position,683,2724,3510,2.684021408288767,2.1381038929675893,0.5459175153211776,0.5104624808011448,0.5813725498412105,True,5.164253161170168e-92,1.946145266627278e-90
esm2_frozen_bilstm_attn,train,-1,H,normalized_midpoint,exposure_length_position,683,2724,3510,0.5028211444587651,0.5053956676882831,-0.0025745232295180764,-0.022077817680536453,0.0169287712215003,True,0.5922821790408042,0.6806049601258364
esm2_frozen_bilstm_attn,train,-1,H,mean_torsion_change,geometry_boundaries,683,2724,3510,15.792934696819575,24.868172717157094,-9.075238020337524,-10.128500025127027,-8.021976015548022,True,3.5789515060768063e-65,9.845695593217295e-64
esm2_frozen_bilstm_attn,train,-1,H,max_torsion_change,geometry_boundaries,683,2724,3510,139.8586089263414,115.21792640574373,24.640682520597668,20.80666891607018,28.474696125125156,True,2.8992920945613554e-36,4.63718171635947e-35
esm2_frozen_bilstm_attn,train,-1,H,q3_boundary_fraction,geometry_boundaries,683,2724,3510,0.1731073742824048,0.32562868627173985,-0.15252131198933505,-0.164473756855513,-0.1405688671231571,True,2.630583467788176e-86,9.398357298552301e-85
esm2_frozen_bilstm_attn,train,-1,H,mean_distance_to_q3_boundary,geometry_boundaries,683,2724,3510,3.012163225310068,1.9866338457912147,1.0255293795188531,0.9235148390859983,1.1275439199517079,True,2.846315582328071e-68,8.604630952730246e-67
esm2_frozen_bilstm_attn,train,-1,H,structured_linker_fraction,geometry_boundaries,683,2724,3510,0.0,0.0,0.0,0.0,0.0,True,1.0,1.0
esm2_frozen_bilstm_attn,train,-1,H,mean_disorder,disorder,683,2724,3510,0.01545487542100299,0.031294293106028936,-0.015839417685025944,-0.018132845628659286,-0.013545989741392601,True,1.1702035144999745e-58,2.848875989725159e-57
esm2_frozen_bilstm_attn,train,-1,H,max_disorder,disorder,683,2724,3510,0.038791488008434426,0.05376401907093304,-0.014972531062498608,-0.019026602670598254,-0.010918459454398961,True,2.9716130331655536e-23,2.0386302878400094e-22
esm2_frozen_bilstm_attn,train,-1,H,fraction_glycine,sequence,683,2724,3510,0.02423513646488798,0.025471989497808104,-0.0012368530329201254,-0.00428172669078146,0.0018080206249412095,True,0.33192634629722517,0.4184827583243201
esm2_frozen_bilstm_attn,train,-1,H,fraction_proline,sequence,683,2724,3510,0.017768320764600106,0.025624695780089957,-0.007856375015489855,-0.01256963774523866,-0.0031431122857410497,True,0.05511592814135333,0.08759325148287869
esm2_frozen_bilstm_attn,train,-1,H,fraction_hydrophobic,sequence,683,2724,3510,0.4943434020978947,0.4821156260123811,0.01222777608551359,0.0014150743427080986,0.023040477828319084,True,0.0031368084974641858,0.006312637512648355
esm2_frozen_bilstm_attn,train,-1,H,fraction_charged,sequence,683,2724,3510,0.28353194433242185,0.2668578961537889,0.016674048178632956,0.0060132631374318,0.027334833219834112,True,0.00016706224638985743,0.00040244154099693325
esm2_frozen_bilstm_attn,train,-1,H,fraction_aromatic,sequence,683,2724,3510,0.08514875765071139,0.10045749597244048,-0.015308738321729106,-0.02229170787996859,-0.008325768763489623,True,0.000248573492842224,0.0005859688764429804
esm2_frozen_bilstm_attn,train,-1,H,sequence_entropy,sequence,683,2724,3510,2.972254285372175,2.3252429934988013,0.6470112918733739,0.59857153491229,0.6954510488344579,True,2.0511192249500674e-86,7.424511826102152e-85
esm2_frozen_bilstm_attn,train,-1,E,mean_neq,neq,119,153,1538,1.104207222248521,1.1621185557152425,-0.05791133346672116,-0.08240373324361645,-0.03341893368982586,True,1.8610426129215827e-06,5.440731379540143e-06
esm2_frozen_bilstm_attn,train,-1,E,max_neq,neq,119,153,1538,1.6172549019607843,1.506461155948837,0.11079374601194722,-0.003475558381847807,0.22506305040574226,True,0.20306443306872646,0.2742416570309605
esm2_frozen_bilstm_attn,train,-1,E,neq_peak_fraction,neq,119,153,1538,0.016500160670328737,0.04122467442791829,-0.02472451375758956,-0.03436751359924108,-0.015081513915938037,True,2.947618092937094e-08,9.949567329656374e-08
esm2_frozen_bilstm_attn,train,-1,E,neq_peak_excess,neq,119,153,1538,0.513047679712263,0.3443426002335946,0.1687050794786684,0.07500421107549665,0.26240594788184013,True,0.004045868957136866,0.007978627599343023
esm2_frozen_bilstm_attn,train,-1,E,mean_rsa,exposure_length_position,119,153,1538,0.1276449553578128,0.21188754448608746,-0.08424258912827463,-0.09735516545696947,-0.0711300127995798,True,3.4534886127046955e-17,1.9588757058867252e-16
esm2_frozen_bilstm_attn,train,-1,E,max_rsa,exposure_length_position,119,153,1538,0.34087650330622443,0.36979290373928236,-0.02891640043305796,-0.05693197061266643,-0.0009008302534494854,True,0.03388405272920867,0.056528216530050364
esm2_frozen_bilstm_attn,train,-1,E,log_segment_length,exposure_length_position,119,153,1538,2.1758741019673558,1.8030989680101888,0.372775133957167,0.31993641451701266,0.42561385339732133,True,9.474866989379837e-19,5.6418526164034486e-18
