condition,sign,stage,feature,standardized_coefficient
esm2_frozen_bilstm_attn,-1,00_q8_only,q8__q8_C,0.0
esm2_frozen_bilstm_attn,-1,00_q8_only,q8__q8_E,0.0
esm2_frozen_bilstm_attn,-1,00_q8_only,q8__q8_G,0.0
esm2_frozen_bilstm_attn,-1,00_q8_only,q8__q8_H,0.0
esm2_frozen_bilstm_attn,-1,00_q8_only,q8__q8_S,0.0
esm2_frozen_bilstm_attn,-1,01_add_neq,q8__q8_C,0.3142011067429797
esm2_frozen_bilstm_attn,-1,01_add_neq,q8__q8_E,-0.04314664755754414
esm2_frozen_bilstm_attn,-1,01_add_neq,q8__q8_G,0.033609927212984794
esm2_frozen_bilstm_attn,-1,01_add_neq,q8__q8_H,-0.33500122175142
esm2_frozen_bilstm_attn,-1,01_add_neq,q8__q8_S,0.018731749943101724
esm2_frozen_bilstm_attn,-1,01_add_neq,numeric__mean_neq,-1.9718600029605642
esm2_frozen_bilstm_attn,-1,01_add_neq,numeric__max_neq,-0.09335791737194238
esm2_frozen_bilstm_attn,-1,01_add_neq,numeric__neq_peak_fraction,-0.3781545135246976
esm2_frozen_bilstm_attn,-1,01_add_neq,numeric__neq_peak_excess,0.841325645632592
esm2_frozen_bilstm_attn,-1,02_add_exposure_length_position,q8__q8_C,0.9222169974531356
esm2_frozen_bilstm_attn,-1,02_add_exposure_length_position,q8__q8_E,-0.38408321462038336
esm2_frozen_bilstm_attn,-1,02_add_exposure_length_position,q8__q8_G,0.24404591353100175
esm2_frozen_bilstm_attn,-1,02_add_exposure_length_position,q8__q8_H,-1.1082654555392464
esm2_frozen_bilstm_attn,-1,02_add_exposure_length_position,q8__q8_S,0.3910659366393188
esm2_frozen_bilstm_attn,-1,02_add_exposure_length_position,numeric__mean_neq,-0.9456047244952734
esm2_frozen_bilstm_attn,-1,02_add_exposure_length_position,numeric__max_neq,-0.09109576430574291
esm2_frozen_bilstm_attn,-1,02_add_exposure_length_position,numeric__neq_peak_fraction,-0.4701600738386651
esm2_frozen_bilstm_attn,-1,02_add_exposure_length_position,numeric__neq_peak_excess,0.3461918615932449
esm2_frozen_bilstm_attn,-1,02_add_exposure_length_position,numeric__mean_rsa,-1.1889926708655485
esm2_frozen_bilstm_attn,-1,02_add_exposure_length_position,numeric__max_rsa,0.9693320597404108
esm2_frozen_bilstm_attn,-1,02_add_exposure_length_position,numeric__log_segment_length,0.9211199502215395
esm2_frozen_bilstm_attn,-1,02_add_exposure_length_position,numeric__normalized_midpoint,0.001958212278926983
esm2_frozen_bilstm_attn,-1,03_add_geometry_boundaries,q8__q8_C,1.097809104303899
esm2_frozen_bilstm_attn,-1,03_add_geometry_boundaries,q8__q8_E,-0.41475071973755173
esm2_frozen_bilstm_attn,-1,03_add_geometry_boundaries,q8__q8_G,0.35728849321441725
esm2_frozen_bilstm_attn,-1,03_add_geometry_boundaries,q8__q8_H,-1.4263173482452447
esm2_frozen_bilstm_attn,-1,03_add_geometry_boundaries,q8__q8_S,0.4369547978487924
esm2_frozen_bilstm_attn,-1,03_add_geometry_boundaries,numeric__mean_neq,-0.9807433417749909
esm2_frozen_bilstm_attn,-1,03_add_geometry_boundaries,numeric__max_neq,-0.08324688197598613
