condition,sign,stage,evaluation_split,n_segments,n_selected_segments,n_proteins,weighted_auroc,weighted_average_precision,macro_within_protein_q8_concordance,n_matched_protein_q8_strata,delta_auroc_from_previous_stage,delta_concordance_from_previous_stage
esm2_frozen_bilstm_attn,-1,00_q8_only,validation,1618,644,167,0.5,0.5000000000000008,0.5,185,,
esm2_frozen_bilstm_attn,-1,00_q8_only,test,1668,606,169,0.5,0.5000000000000001,0.5,185,,
esm2_frozen_bilstm_attn,-1,01_add_neq,validation,1618,644,167,0.7251369748961515,0.684609079776379,0.736148610674521,185,0.22513697489615148,0.23614861067452098
esm2_frozen_bilstm_attn,-1,01_add_neq,test,1668,606,169,0.7118942133665194,0.650011957996636,0.7227025542909001,185,0.21189421336651937,0.22270255429090013
esm2_frozen_bilstm_attn,-1,02_add_exposure_length_position,validation,1618,644,167,0.7991893645802551,0.7322946854628929,0.815009004517408,185,0.07405238968410366,0.07886039384288701
esm2_frozen_bilstm_attn,-1,02_add_exposure_length_position,test,1668,606,169,0.8066504761095605,0.7400777822658107,0.8375926256909967,185,0.09475626274304116,0.11489007140009655
esm2_frozen_bilstm_attn,-1,03_add_geometry_boundaries,validation,1618,644,167,0.8151003628296797,0.7572928861876335,0.8192894131969762,185,0.015910998249424546,0.004280408679568248
esm2_frozen_bilstm_attn,-1,03_add_geometry_boundaries,test,1668,606,169,0.8210044606394231,0.7683644247189693,0.8357713603246185,185,0.014353984529862585,-0.0018212653663781664
esm2_frozen_bilstm_attn,-1,04_add_disorder,validation,1618,644,167,0.8140439605088416,0.7563929527317325,0.8176350077092375,185,-0.0010564023208380346,-0.0016544054877387637
esm2_frozen_bilstm_attn,-1,04_add_disorder,test,1668,606,169,0.8200107409638847,0.7690407388941284,0.8352831339942869,185,-0.000993719675538407,-0.00048822633033163143
esm2_frozen_bilstm_attn,-1,05_add_sequence,validation,1618,644,167,0.8162256449346952,0.765830155552978,0.8260036123607553,185,0.002181684425853536,0.008368604651517786
esm2_frozen_bilstm_attn,-1,05_add_sequence,test,1668,606,169,0.8288829509716258,0.7772299655793046,0.8454675959412801,185,0.008872210007741077,0.010184461946993184
esm2_frozen_bilstm_attn,1,00_q8_only,validation,6848,1071,206,0.5,0.5000000000000027,0.5,492,,
esm2_frozen_bilstm_attn,1,00_q8_only,test,6894,1027,201,0.5,0.5000000000000037,0.5,459,,
esm2_frozen_bilstm_attn,1,01_add_neq,validation,6848,1071,206,0.753453786096467,0.7465528707940098,0.7446924497421614,492,0.25345378609646696,0.24469244974216142
esm2_frozen_bilstm_attn,1,01_add_neq,test,6894,1027,201,0.736216911372286,0.7299982444205086,0.7381435038029581,459,0.23621691137228595,0.23814350380295812
