condition,split,sign,q8,n_selected_segments,n_proteins,structure_available_fraction,structure_eligible_fraction,fully_resolved_fraction,strain_available_fraction
esm2_frozen_bilstm_attn,test,1,C,585,196,1.0,0.8666666666666667,0.8205128205128205,1.0
esm2_frozen_bilstm_attn,test,1,E,29,27,1.0,1.0,1.0,1.0
esm2_frozen_bilstm_attn,test,1,G,18,17,1.0,1.0,1.0,1.0
esm2_frozen_bilstm_attn,test,1,H,15,14,1.0,1.0,1.0,1.0
esm2_frozen_bilstm_attn,test,1,S,144,91,1.0,1.0,1.0,1.0
esm2_frozen_bilstm_attn,test,1,T,255,127,1.0,0.9882352941176471,0.9882352941176471,1.0
esm2_frozen_bilstm_attn,train,1,B,1,1,1.0,1.0,1.0,0.0
esm2_frozen_bilstm_attn,train,1,C,2698,888,0.9955522609340252,0.8224610822831727,0.7765011119347665,0.0
esm2_frozen_bilstm_attn,train,1,E,116,104,0.9913793103448276,0.9741379310344828,0.9482758620689655,0.0
esm2_frozen_bilstm_attn,train,1,G,80,71,0.9875,0.975,0.975,0.0
esm2_frozen_bilstm_attn,train,1,H,53,52,1.0,0.9622641509433962,0.9433962264150944,0.0
esm2_frozen_bilstm_attn,train,1,S,690,397,1.0,0.9927536231884058,0.9927536231884058,0.0
esm2_frozen_bilstm_attn,train,1,T,1201,580,0.9958368026644463,0.9816819317235637,0.9816819317235637,0.0
esm2_frozen_bilstm_attn,validation,1,B,2,2,1.0,1.0,1.0,0.0
esm2_frozen_bilstm_attn,validation,1,C,561,196,1.0,0.8324420677361853,0.7950089126559715,0.0
esm2_frozen_bilstm_attn,validation,1,E,27,25,1.0,1.0,1.0,0.0
esm2_frozen_bilstm_attn,validation,1,G,27,24,1.0,1.0,1.0,0.0
esm2_frozen_bilstm_attn,validation,1,H,11,11,1.0,1.0,0.9090909090909091,0.0
esm2_frozen_bilstm_attn,validation,1,S,175,101,1.0,1.0,1.0,0.0
