condition,split,sign,q8,feature,feature_group,n_proteins,n_selected_segments,n_control_segments,selected_macro_protein_mean,control_macro_protein_mean,selected_minus_control_macro_mean,ci95_low,ci95_high,inference_eligible,wilcoxon_p_two_sided,wilcoxon_q_bh
esm2_frozen_bilstm_attn,train,-1,H,mean_ca_curvature_degrees,experimental_geometry,681,2712,3482,87.46256469524589,85.29711673222509,2.1654479630207857,1.8386296207952502,2.4922663052463214,True,1.6388624944689012e-47,4.928155924544131e-46
esm2_frozen_bilstm_attn,train,-1,H,max_ca_curvature_degrees,experimental_geometry,681,2712,3482,92.40782933770708,90.63682180995492,1.7710075277521624,1.465353273945297,2.076661781559028,True,7.533070770696449e-40,1.6317397364322138e-38
esm2_frozen_bilstm_attn,train,-1,H,mean_abs_ca_virtual_torsion_degrees,experimental_geometry,681,2712,3475,53.67963066064323,60.267803664566834,-6.588173003923601,-7.548689999191231,-5.627656008655972,True,7.652078047360351e-47,2.1976080324778716e-45
esm2_frozen_bilstm_attn,train,-1,H,max_abs_ca_virtual_torsion_degrees,experimental_geometry,681,2712,3475,91.55310138010807,93.97543022933017,-2.4223288492220933,-4.845909375057383,0.001251676613196917,True,0.035552427978210066,0.05821843907747813
esm2_frozen_bilstm_attn,train,-1,H,ca_end_to_end_ratio,experimental_geometry,667,2669,3039,0.39695497568586596,0.46268410752475647,-0.06572913183889054,-0.07334041898354,-0.05811784469424106,True,1.3494820911728126e-67,8.623190562594272e-66
esm2_frozen_bilstm_attn,train,-1,H,mean_contact_degree,contact_network,681,2712,3484,5.883982810644182,5.539353559365214,0.34462925127896826,0.2635483277126941,0.42571017484524243,True,2.881639452141482e-17,2.280331405471712e-16
esm2_frozen_bilstm_attn,train,-1,H,max_contact_degree,contact_network,681,2712,3484,9.434010065232533,8.330596886251229,1.1034131789813033,0.9808994826654635,1.2259268752971433,True,2.622970154277599e-56,1.0813405990860553e-54
esm2_frozen_bilstm_attn,train,-1,H,mean_inverse_distance_weighted_degree,contact_network,681,2712,3484,0.9731354554610128,0.9070107419520261,0.0661247135089868,0.0531052930468449,0.0791441339711287,True,1.9195257639561766e-23,2.027399939120656e-22
esm2_frozen_bilstm_attn,train,-1,H,max_inverse_distance_weighted_degree,contact_network,681,2712,3484,1.5361522881693679,1.352704929049737,0.1834473591196308,0.16363250960788578,0.20326220863137584,True,8.951656833334764e-59,4.0141113800006414e-57
esm2_frozen_bilstm_attn,train,-1,H,mean_betweenness,contact_network,681,2712,3484,0.023995798814022373,0.020628780680954844,0.003367018133067531,0.0023963903362482935,0.004337645929886768,True,3.67463343545398e-12,1.9129049004114813e-11
esm2_frozen_bilstm_attn,train,-1,H,max_betweenness,contact_network,681,2712,3484,0.07030111330660592,0.05413524649390327,0.016165866812702653,0.013302224663160254,0.01902950896224505,True,2.125440667799705e-34,3.936685758620324e-33
esm2_frozen_bilstm_attn,train,-1,H,mean_closeness,contact_network,681,2712,3484,0.19995457192630547,0.19162622047172756,0.008328351454577922,0.0064773814107651154,0.010179321498390728,True,1.398130465030522e-17,1.1380960091140174e-16
esm2_frozen_bilstm_attn,train,-1,H,mean_participation_coefficient,contact_network,681,2712,3484,0.2243409549255677,0.18781645567416172,0.03652449925140598,0.02689872410320924,0.046150274399602724,True,1.4070722552535418e-11,6.969916055093126e-11
esm2_frozen_bilstm_attn,train,-1,H,community_boundary_fraction,contact_network,681,2712,3484,0.5316033985537465,0.45354228856344453,0.07806110999030194,0.05706459345596589,0.099057626524638,True,1.5951241461714036e-11,7.855755910624484e-11
esm2_frozen_bilstm_attn,train,-1,H,mean_distance_to_domain_boundary,inter_domain_geometry,681,2705,3471,43.130936110966466,42.34534723159099,0.785588879375478,-0.709318791935953,2.2804965506869093,True,0.29691555869728437,0.3742190177663998
esm2_frozen_bilstm_attn,train,-1,H,near_domain_boundary_fraction,inter_domain_geometry,681,2705,3471,0.017815635242280255,0.03491871036807109,-0.017103075125790842,-0.02364548863141045,-0.010560661620171233,True,4.776598100068815e-06,1.4534505647352252e-05
esm2_frozen_bilstm_attn,train,-1,H,mean_cross_domain_contacts,inter_domain_geometry,681,2705,3471,0.15833761629903478,0.20775444111035363,-0.04941682481131883,-0.07689172206124156,-0.021941927561396093,True,0.08034592506922603,0.1196187159129106
esm2_frozen_bilstm_attn,train,-1,H,mean_cross_domain_contact_fraction,inter_domain_geometry,681,2705,3471,0.021834548054544958,0.03046808643661549,-0.008633538382070522,-0.012532456228368856,-0.004734620535772189,True,0.005152683114436923,0.010084424227029692
esm2_frozen_bilstm_attn,train,-1,E,mean_ca_curvature_degrees,experimental_geometry,119,153,1536,58.75237295333319,58.83482803085096,-0.08245507751778834,-1.0878511457376403,0.9229409907020636,True,0.39907416038705923,0.4759839262479344
esm2_frozen_bilstm_attn,train,-1,E,max_ca_curvature_degrees,experimental_geometry,119,153,1536,75.2109098268943,73.70302492943648,1.5078848974578432,0.07923212301617855,2.936537671899508,True,0.0506557385046537,0.07982494920955294
esm2_frozen_bilstm_attn,train,-1,E,mean_abs_ca_virtual_torsion_degrees,experimental_geometry,119,153,1536,144.8395436252242,136.8862373956467,7.9533062295774695,4.563335158025402,11.343277301129536,True,1.435632721390716e-09,5.871456886070178e-09
