condition,sign,evaluation_split,structural_cohort,model_training_cohort,increment,smaller_stage,expanded_stage,observed_delta_auroc,bootstrap_median_delta_auroc,ci95_low,ci95_high,valid_replicates,total_replicates,valid_replicate_fraction,fraction_delta_le_zero,n_proteins,n_selected_segments,n_control_segments
esm2_frozen_bilstm_attn,-1,test,reference_80,reference_80,delta_local_annotation,01_base_biophysics,02_add_local_sequence_or_annotation_geometry,0.015547373852174973,0.01532646565519008,0.007309982132958787,0.024074094350185406,2000,2000,1.0,0.0,169,606,1059
esm2_frozen_bilstm_attn,-1,test,reference_80,reference_80,delta_experimental_pdb_geometry,02_add_local_sequence_or_annotation_geometry,03_add_experimental_pdb_geometry,0.006034623824126117,0.005898401879005422,-0.0008713952649919809,0.012899242517716441,2000,2000,1.0,0.0395,169,606,1059
esm2_frozen_bilstm_attn,-1,test,reference_80,reference_80,delta_contact_network,03_add_experimental_pdb_geometry,04_add_contact_network,0.0034730976054164753,0.0034049209907369704,-0.0007945356189503788,0.007921586542379686,2000,2000,1.0,0.054,169,606,1059
esm2_frozen_bilstm_attn,-1,test,reference_80,reference_80,delta_ecod_domain,04_add_contact_network,05_add_ecod_domain,-0.002584937292857137,-0.002460247689045736,-0.006626617165993001,0.001227943419627317,2000,2000,1.0,0.9065,169,606,1059
esm2_frozen_bilstm_attn,-1,test,reference_80,reference_80,delta_total_external_structure,01_base_biophysics,05_add_ecod_domain,0.02247015798886043,0.02224267824659648,0.011439625289596179,0.03381452687689649,2000,2000,1.0,0.0,169,606,1059
esm2_top28_bilstm_attn,-1,test,reference_80,reference_80,delta_local_annotation,01_base_biophysics,02_add_local_sequence_or_annotation_geometry,0.012162107858298632,0.01190392663829637,0.005638094417383904,0.01915123087380215,2000,2000,1.0,0.0,159,625,773
esm2_top28_bilstm_attn,-1,test,reference_80,reference_80,delta_experimental_pdb_geometry,02_add_local_sequence_or_annotation_geometry,03_add_experimental_pdb_geometry,0.0068522904914929406,0.006897479461417444,0.0019098954572152938,0.012142784547223683,2000,2000,1.0,0.0045,159,625,773
esm2_top28_bilstm_attn,-1,test,reference_80,reference_80,delta_contact_network,03_add_experimental_pdb_geometry,04_add_contact_network,0.001125510993954415,0.0011754920456610862,-0.0024501014976561265,0.0045575948852002515,2000,2000,1.0,0.2515,159,625,773
esm2_top28_bilstm_attn,-1,test,reference_80,reference_80,delta_ecod_domain,04_add_contact_network,05_add_ecod_domain,0.002616154656845282,0.002574817672183538,0.0004157303585834105,0.00481627922886022,2000,2000,1.0,0.0095,159,625,773
esm2_top28_bilstm_attn,-1,test,reference_80,reference_80,delta_total_external_structure,01_base_biophysics,05_add_ecod_domain,0.02275606400059127,0.022592208454694784,0.014297881804363219,0.03196583733563183,2000,2000,1.0,0.0,159,625,773
esm2_top4_bilstm_attn,-1,test,reference_80,reference_80,delta_local_annotation,01_base_biophysics,02_add_local_sequence_or_annotation_geometry,0.006408608831990348,0.00629060321008329,0.0005764458685527191,0.012699273536088664,2000,2000,1.0,0.0175,159,644,820
esm2_top4_bilstm_attn,-1,test,reference_80,reference_80,delta_experimental_pdb_geometry,02_add_local_sequence_or_annotation_geometry,03_add_experimental_pdb_geometry,0.0032694407202401576,0.0032413995969755582,-0.002606606808062792,0.009038569074179123,2000,2000,1.0,0.1345,159,644,820
esm2_top4_bilstm_attn,-1,test,reference_80,reference_80,delta_contact_network,03_add_experimental_pdb_geometry,04_add_contact_network,0.00016668274082609624,0.00016003183952384425,-0.002572816016516116,0.002775988494663458,2000,2000,1.0,0.4525,159,644,820
esm2_top4_bilstm_attn,-1,test,reference_80,reference_80,delta_ecod_domain,04_add_contact_network,05_add_ecod_domain,0.0004462628622409204,0.00046729855394300746,-0.0012470048972155368,0.002165277180557798,2000,2000,1.0,0.2935,159,644,820
esm2_top4_bilstm_attn,-1,test,reference_80,reference_80,delta_total_external_structure,01_base_biophysics,05_add_ecod_domain,0.010290995155297522,0.010293280749363865,0.002720287661040435,0.0183128451269351,2000,2000,1.0,0.004,159,644,820
esm3_frozen_bilstm_attn,-1,test,reference_80,reference_80,delta_local_annotation,01_base_biophysics,02_add_local_sequence_or_annotation_geometry,0.007278655159988157,0.007209501091052561,-0.0009051323703488545,0.014699855901273332,2000,2000,1.0,0.0415,166,703,818
esm3_frozen_bilstm_attn,-1,test,reference_80,reference_80,delta_experimental_pdb_geometry,02_add_local_sequence_or_annotation_geometry,03_add_experimental_pdb_geometry,0.007664831302095054,0.007594064107546761,0.0022805270106832118,0.013220726852034216,2000,2000,1.0,0.0045,166,703,818
esm3_frozen_bilstm_attn,-1,test,reference_80,reference_80,delta_contact_network,03_add_experimental_pdb_geometry,04_add_contact_network,0.003454560747747526,0.003401029499388142,-0.001656932936373584,0.008316674799416227,2000,2000,1.0,0.0875,166,703,818
esm3_frozen_bilstm_attn,-1,test,reference_80,reference_80,delta_ecod_domain,04_add_contact_network,05_add_ecod_domain,0.001019877580458295,0.001052578185746389,-0.0008091933421893238,0.0029182840803014033,2000,2000,1.0,0.144,166,703,818
esm3_frozen_bilstm_attn,-1,test,reference_80,reference_80,delta_total_external_structure,01_base_biophysics,05_add_ecod_domain,0.01941792479028903,0.01915403597953025,0.009627178150346461,0.028903872357001963,2000,2000,1.0,0.0,166,703,818
esm3_top28_bilstm_attn,-1,test,reference_80,reference_80,delta_local_annotation,01_base_biophysics,02_add_local_sequence_or_annotation_geometry,0.005151819454035422,0.005065998845613373,-0.006399422948092703,0.01770392551698597,2000,2000,1.0,0.19,166,692,795
esm3_top28_bilstm_attn,-1,test,reference_80,reference_80,delta_experimental_pdb_geometry,02_add_local_sequence_or_annotation_geometry,03_add_experimental_pdb_geometry,0.0060583908217405336,0.006179723538779824,-0.00042168739795775395,0.011970146011347715,2000,2000,1.0,0.0355,166,692,795
