condition,split,sign,q8,n_total_candidate_segments,n_selected_segments,n_clean_control_segments,n_case_control_proteins,accepted_mapping_segments,accepted_mapping_selected_segments,accepted_mapping_control_segments,accepted_mapping_proteins,accepted_mapping_matched_strata,accepted_mapping_matched_selected_segments,accepted_mapping_matched_control_segments,reference_80_segments,reference_80_selected_segments,reference_80_control_segments,reference_80_proteins,reference_80_matched_strata,reference_80_matched_selected_segments,reference_80_matched_control_segments,fully_resolved_local_segments,fully_resolved_local_selected_segments,fully_resolved_local_control_segments,fully_resolved_local_proteins,fully_resolved_local_matched_strata,fully_resolved_local_matched_selected_segments,fully_resolved_local_matched_control_segments,fully_resolved_geometry_segments,fully_resolved_geometry_selected_segments,fully_resolved_geometry_control_segments,fully_resolved_geometry_proteins,fully_resolved_geometry_matched_strata,fully_resolved_geometry_matched_selected_segments,fully_resolved_geometry_matched_control_segments,strict_graph_95_segments,strict_graph_95_selected_segments,strict_graph_95_control_segments,strict_graph_95_proteins,strict_graph_95_matched_strata,strict_graph_95_matched_selected_segments,strict_graph_95_matched_control_segments,selected_segments_lost_reference_to_full,control_segments_lost_reference_to_full,selected_loss_rate_reference_to_full,control_loss_rate_reference_to_full
esm2_frozen_bilstm_attn,train,-1,H,7123,2844,3983,906,6789,2832,3957,902,681,2712,3491,6762,2829,3933,902,680,2706,3470,6700,2809,3891,899,675,2681,3434,6151,2778,3373,892,659,2631,2981,6042,2533,3509,741,578,2445,3140,25,36,0.009238728750923873,0.01037463976945245
esm2_frozen_bilstm_attn,train,-1,E,7666,153,6956,750,7083,153,6930,749,119,153,1538,7072,152,6920,749,118,152,1532,7055,152,6903,749,118,152,1529,6623,151,6472,737,117,151,1415,6390,141,6249,636,108,141,1445,0,3,0.0,0.0019582245430809398
esm2_frozen_bilstm_attn,train,-1,S,5476,1,3870,750,3852,1,3851,747,1,1,38,3842,1,3841,747,1,1,38,3842,1,3841,747,1,1,38,842,0,842,392,0,0,0,3522,1,3521,644,1,1,38,0,0,0.0,0.0
esm2_frozen_bilstm_attn,train,-1,G,2375,2,2103,604,2091,2,2089,602,1,1,11,2080,2,2078,601,1,1,11,2080,2,2078,601,1,1,11,1476,2,1474,543,1,1,10,1923,2,1921,528,1,1,11,0,0,0.0,0.0
esm2_frozen_bilstm_attn,train,-1,C,21789,4,16544,962,16450,4,16446,958,4,4,35,16109,4,16105,954,4,4,34,16046,4,16042,953,4,4,34,8566,2,8564,942,2,2,6,14594,4,14590,788,4,4,34,0,0,0.0,0.0
esm2_frozen_bilstm_attn,validation,-1,H,1457,627,773,193,1400,627,773,193,155,607,707,1398,627,771,193,155,607,707,1390,623,767,193,155,603,705,1286,620,666,192,153,597,610,1274,577,697,165,136,560,649,4,2,0.006589785831960461,0.002828854314002829
esm2_frozen_bilstm_attn,validation,-1,E,1659,36,1494,174,1530,36,1494,174,29,36,265,1530,36,1494,174,29,36,265,1528,36,1492,174,29,36,265,1451,36,1415,174,29,36,251,1396,33,1363,151,26,33,247,0,0,0.0,0.0
esm2_frozen_bilstm_attn,validation,-1,C,4666,1,3502,208,3503,1,3502,208,1,1,2,3455,1,3454,208,1,1,1,3441,0,3441,208,0,0,0,1765,0,1765,204,0,0,0,3166,0,3166,176,0,0,0,1,1,1.0,1.0
esm2_frozen_bilstm_attn,test,-1,H,1522,601,850,198,1451,601,850,198,160,572,787,1448,601,847,198,160,572,784,1434,594,840,198,160,565,777,1330,589,741,197,156,551,686,1343,554,789,178,143,528,727,7,7,0.012237762237762238,0.008928571428571428
esm2_frozen_bilstm_attn,test,-1,E,1680,34,1496,174,1530,34,1496,174,25,34,275,1525,34,1491,174,25,34,275,1522,34,1488,174,25,34,275,1419,34,1385,174,25,34,253,1424,33,1391,159,24,33,268,0,0,0.0,0.0
esm2_frozen_bilstm_attn,test,-1,G,496,1,448,146,449,1,448,146,0,0,0,448,1,447,146,0,0,0,448,1,447,146,0,0,0,332,1,331,135,0,0,0,430,1,429,136,0,0,0,0,0,,
esm2_top4_bilstm_attn,train,-1,H,7123,3168,3632,911,6759,3151,3608,907,701,2948,3325,6731,3148,3583,907,698,2940,3300,6664,3119,3545,905,691,2904,3267,6120,3074,3046,897,668,2818,2805,6007,2801,3206,746,596,2652,2987,36,33,0.012244897959183673,0.01
esm2_top4_bilstm_attn,train,-1,E,7666,15,7044,748,7034,15,7019,747,14,15,239,7021,15,7006,747,14,15,239,7004,15,6989,747,14,15,239,6574,15,6559,736,14,15,226,6342,15,6327,634,14,15,239,0,0,0.0,0.0
esm2_top4_bilstm_attn,train,-1,C,21789,8,15853,966,15767,8,15759,962,8,8,107,15255,8,15247,956,7,7,103,15157,8,15149,953,7,7,102,7926,6,7920,938,5,5,43,13834,7,13827,788,7,7,102,0,1,0.0,0.009708737864077669
esm2_top4_bilstm_attn,train,-1,G,2375,2,1955,587,1942,2,1940,585,1,1,1,1932,2,1930,585,1,1,1,1932,2,1930,585,1,1,1,1370,2,1368,519,1,1,1,1789,2,1787,515,1,1,1,0,0,0.0,0.0
esm2_top4_bilstm_attn,train,-1,T,11343,1,7836,914,7773,1,7772,911,1,1,13,7735,1,7734,911,1,1,13,7735,1,7734,911,1,1,13,5021,0,5021,856,0,0,0,7047,1,7046,761,1,1,13,0,0,0.0,0.0
esm2_top4_bilstm_attn,validation,-1,H,1457,682,703,193,1385,682,703,193,149,638,643,1382,682,700,192,149,638,642,1375,678,697,192,149,634,641,1273,670,603,191,143,615,547,1263,622,641,165,130,585,593,4,1,0.006269592476489028,0.001557632398753894
esm2_top4_bilstm_attn,validation,-1,E,1659,2,1523,174,1525,2,1523,174,2,2,29,1525,2,1523,174,2,2,29,1523,2,1521,174,2,2,29,1444,2,1442,174,2,2,29,1392,2,1390,151,2,2,29,0,0,0.0,0.0
esm2_top4_bilstm_attn,validation,-1,C,4666,1,3403,208,3404,1,3403,208,1,1,14,3316,1,3315,208,1,1,14,3296,1,3295,208,1,1,14,1677,1,1676,203,1,1,7,3050,1,3049,176,1,1,14,0,0,0.0,0.0
esm2_top4_bilstm_attn,test,-1,H,1522,683,763,198,1446,683,763,198,155,634,715,1443,683,760,198,155,634,712,1428,673,755,198,155,625,707,1329,668,661,198,152,614,619,1341,625,716,178,140,586,671,9,5,0.014195583596214511,0.007022471910112359
esm2_top4_bilstm_attn,test,-1,E,1680,7,1509,174,1516,7,1509,174,7,7,93,1513,7,1506,174,7,7,93,1510,7,1503,174,7,7,93,1408,7,1401,174,7,7,91,1413,7,1406,159,7,7,93,0,0,0.0,0.0
esm2_top4_bilstm_attn,test,-1,G,496,2,416,140,418,2,416,140,1,1,1,417,2,415,140,1,1,1,417,2,415,140,1,1,1,307,2,305,127,1,1,1,400,2,398,131,1,1,1,0,0,0.0,0.0
esm2_top4_bilstm_attn,test,-1,T,2487,1,1744,198,1745,1,1744,198,1,1,6,1740,1,1739,198,1,1,6,1740,1,1739,198,1,1,6,1112,1,1111,187,1,1,3,1652,1,1651,179,1,1,6,0,0,0.0,0.0
esm2_top4_bilstm_attn,test,-1,C,4698,1,3349,207,3350,1,3349,207,1,1,9,3240,1,3239,207,1,1,8,3219,1,3218,207,1,1,8,1653,1,1652,203,1,1,1,3032,1,3031,187,1,1,8,0,0,0.0,0.0
esm2_top28_bilstm_attn,train,-1,H,7123,2843,3770,904,6576,2829,3747,900,686,2660,3360,6551,2827,3724,900,685,2655,3338,6491,2808,3683,898,684,2638,3305,5961,2768,3193,892,659,2562,2842,5851,2526,3325,741,590,2411,3025,17,33,0.0064030131826741995,0.009886159376872379
esm2_top28_bilstm_attn,train,-1,E,7666,15,6999,750,6987,15,6972,749,14,15,286,6975,15,6960,749,14,15,286,6958,15,6943,749,14,15,286,6537,15,6522,736,14,15,270,6306,15,6291,636,14,15,286,0,0,0.0,0.0
esm2_top28_bilstm_attn,train,-1,C,21789,6,15884,966,15804,6,15798,962,6,6,90,15326,6,15320,955,6,6,88,15234,6,15228,953,6,6,87,7992,6,7986,939,6,6,44,13892,6,13886,788,6,6,87,0,1,0.0,0.011363636363636364
esm2_top28_bilstm_attn,train,-1,G,2375,3,1916,573,1906,3,1903,571,2,2,9,1895,3,1892,571,2,2,9,1895,3,1892,571,2,2,9,1346,3,1343,508,2,2,6,1760,3,1757,508,2,2,9,0,0,0.0,0.0
esm2_top28_bilstm_attn,train,-1,T,11343,1,7992,917,7928,1,7927,914,1,1,10,7896,1,7895,914,1,1,10,7896,1,7895,914,1,1,10,5198,0,5198,860,0,0,0,7179,1,7178,763,1,1,10,0,0,0.0,0.0
esm2_top28_bilstm_attn,validation,-1,H,1457,663,728,191,1391,663,728,191,154,624,689,1388,663,725,191,153,623,686,1380,659,721,190,153,619,684,1274,651,623,189,151,607,590,1266,603,663,163,136,575,633,4,2,0.006420545746388443,0.0029154518950437317
esm2_top28_bilstm_attn,validation,-1,E,1659,1,1526,174,1527,1,1526,174,1,1,27,1527,1,1526,174,1,1,27,1525,1,1524,174,1,1,27,1446,1,1445,174,1,1,27,1397,1,1396,151,1,1,27,0,0,0.0,0.0
esm2_top28_bilstm_attn,validation,-1,C,4666,1,3317,208,3318,1,3317,208,1,1,9,3242,1,3241,208,1,1,9,3229,1,3228,208,1,1,9,1615,0,1615,202,0,0,0,2981,1,2980,176,1,1,9,0,0,0.0,0.0
esm2_top28_bilstm_attn,test,-1,H,1522,647,792,199,1439,647,792,199,158,622,721,1436,647,789,199,158,622,718,1421,636,785,199,158,612,714,1318,629,689,198,154,602,621,1333,602,731,179,143,581,669,10,4,0.01607717041800643,0.005571030640668524
esm2_top28_bilstm_attn,test,-1,E,1680,3,1508,175,1511,3,1508,175,3,3,55,1506,3,1503,175,3,3,55,1503,3,1500,175,3,3,55,1405,3,1402,175,3,3,54,1407,3,1404,160,3,3,55,0,0,0.0,0.0
esm2_top28_bilstm_attn,test,-1,G,496,1,405,142,406,1,405,142,0,0,0,405,1,404,142,0,0,0,405,1,404,142,0,0,0,298,1,297,130,0,0,0,386,1,385,131,0,0,0,0,0,,
esm3_frozen_bilstm_attn,train,-1,H,7123,3212,3622,911,6798,3200,3598,907,682,3039,3221,6773,3198,3575,907,681,3035,3198,6706,3171,3535,905,678,3003,3168,6142,3133,3009,897,660,2942,2687,6049,2870,3179,747,593,2748,2919,32,30,0.010543657331136738,0.009380863039399626
esm3_frozen_bilstm_attn,train,-1,E,7666,105,7005,752,7083,105,6978,751,69,105,926,7070,105,6965,751,69,105,925,7052,105,6947,751,69,105,922,6621,103,6518,740,68,103,843,6385,96,6289,636,61,96,854,0,3,0.0,0.003243243243243243
esm3_frozen_bilstm_attn,train,-1,C,21789,4,16363,964,16278,4,16274,960,4,4,79,15840,4,15836,949,4,4,78,15758,4,15754,948,4,4,78,8194,3,8191,931,3,3,27,14398,4,14394,783,4,4,78,0,0,0.0,0.0
esm3_frozen_bilstm_attn,train,-1,G,2375,6,2047,584,2040,6,2034,583,5,5,21,2028,6,2022,582,5,5,21,2028,6,2022,582,5,5,21,1442,6,1436,523,4,4,18,1882,6,1876,514,5,5,21,0,0,0.0,0.0
esm3_frozen_bilstm_attn,validation,-1,H,1457,698,697,192,1395,698,697,192,156,662,658,1393,697,696,192,155,661,656,1386,693,693,192,155,657,655,1281,685,596,191,152,646,556,1270,640,630,165,134,607,597,4,1,0.006051437216338881,0.001524390243902439
esm3_frozen_bilstm_attn,validation,-1,E,1659,13,1521,174,1534,13,1521,174,12,13,107,1534,13,1521,174,12,13,107,1532,13,1519,174,12,13,107,1450,13,1437,174,12,13,102,1404,12,1392,151,11,12,102,0,0,0.0,0.0
esm3_frozen_bilstm_attn,test,-1,H,1522,715,735,198,1450,715,735,198,158,688,669,1447,715,732,198,158,688,666,1431,705,726,198,158,678,660,1333,700,633,197,151,656,574,1344,659,685,178,142,635,623,10,6,0.014534883720930232,0.009009009009009009
esm3_frozen_bilstm_attn,test,-1,E,1680,14,1531,174,1545,14,1531,174,11,14,142,1542,14,1528,174,11,14,142,1539,14,1525,174,11,14,142,1438,14,1424,174,11,14,133,1440,14,1426,159,11,14,142,0,0,0.0,0.0
esm3_frozen_bilstm_attn,test,-1,G,496,1,431,141,432,1,431,141,0,0,0,431,1,430,141,0,0,0,431,1,430,141,0,0,0,325,1,324,130,0,0,0,414,1,413,130,0,0,0,0,0,,
esm3_frozen_bilstm_attn,test,-1,C,4698,2,3563,205,3565,2,3563,205,2,2,25,3478,1,3477,205,1,1,10,3466,1,3465,205,1,1,10,1804,0,1804,202,0,0,0,3271,1,3270,185,1,1,10,0,0,0.0,0.0
esm3_top4_bilstm_attn,train,-1,H,7123,3103,3656,910,6724,3093,3631,906,684,2924,3245,6696,3091,3605,906,682,2918,3220,6629,3066,3563,903,678,2891,3186,6078,3028,3050,897,660,2830,2716,5986,2767,3219,744,589,2648,2933,27,34,0.009252912954078136,0.010559006211180125
esm3_top4_bilstm_attn,train,-1,C,21789,7,16523,965,16438,7,16431,961,7,7,79,15912,7,15905,949,7,7,78,15810,7,15803,949,7,7,76,8371,7,8364,933,7,7,46,14465,7,14458,786,7,7,76,0,2,0.0,0.02564102564102564
esm3_top4_bilstm_attn,train,-1,E,7666,81,7057,750,7111,81,7030,749,51,80,693,7096,81,7015,749,51,80,691,7076,81,6995,749,51,80,689,6635,79,6556,738,50,78,626,6403,74,6329,634,46,74,650,0,2,0.0,0.002894356005788712
