condition,sign,stage,evaluation_split,structural_cohort,model_training_cohort,fitted_model_identifier,n_train_segments,n_train_proteins,model_status,n_segments,n_selected_segments,n_control_segments,n_proteins,weighted_auroc,weighted_average_precision,macro_within_protein_q8_concordance,n_matched_protein_q8_strata,delta_auroc_from_previous_stage,delta_concordance_from_previous_stage
esm2_frozen_bilstm_attn,-1,00_q8_only,test,fully_resolved_geometry,reference_80,esm2_frozen_bilstm_attn__sign-1__train-reference_80__00_q8_only,7949,717,ok,1524,585,939,166,0.5,0.5000000000000007,0.5,181,,
esm2_frozen_bilstm_attn,-1,01_base_biophysics,test,fully_resolved_geometry,reference_80,esm2_frozen_bilstm_attn__sign-1__train-reference_80__01_base_biophysics,7949,717,ok,1524,585,939,166,0.7853587324245397,0.7192310386934098,0.8060335604752586,181,0.2853587324245397,0.30603356047525865
esm2_frozen_bilstm_attn,-1,02_add_local_sequence_or_annotation_geometry,test,fully_resolved_geometry,reference_80,esm2_frozen_bilstm_attn__sign-1__train-reference_80__02_add_local_sequence_or_annotation_geometry,7949,717,ok,1524,585,939,166,0.8036947571590938,0.7521114986278683,0.8138539688711736,181,0.01833602473455409,0.007820408395914913
esm2_frozen_bilstm_attn,-1,03_add_experimental_pdb_geometry,test,fully_resolved_geometry,reference_80,esm2_frozen_bilstm_attn__sign-1__train-reference_80__03_add_experimental_pdb_geometry,7949,717,ok,1524,585,939,166,0.8104976494851951,0.7555638706080929,0.8180486114139308,181,0.0068028923261013174,0.004194642542757254
esm2_frozen_bilstm_attn,-1,04_add_contact_network,test,fully_resolved_geometry,reference_80,esm2_frozen_bilstm_attn__sign-1__train-reference_80__04_add_contact_network,7949,717,ok,1524,585,939,166,0.8146399712498997,0.7523909933894677,0.8230407199644866,181,0.004142321764704637,0.004992108550555763
esm2_frozen_bilstm_attn,-1,05_add_ecod_domain,test,fully_resolved_geometry,reference_80,esm2_frozen_bilstm_attn__sign-1__train-reference_80__05_add_ecod_domain,7949,717,ok,1524,585,939,166,0.8126626271798735,0.7504620496547669,0.8216925618465553,181,-0.0019773440700262546,-0.0013481581179313196
esm2_frozen_bilstm_attn,-1,00_q8_only,validation,fully_resolved_geometry,reference_80,esm2_frozen_bilstm_attn__sign-1__train-reference_80__00_q8_only,7949,717,ok,1494,633,861,164,0.5,0.500000000000001,0.5,182,,
esm2_frozen_bilstm_attn,-1,01_base_biophysics,validation,fully_resolved_geometry,reference_80,esm2_frozen_bilstm_attn__sign-1__train-reference_80__01_base_biophysics,7949,717,ok,1494,633,861,164,0.7811295814473825,0.7157027813377225,0.7951151373589389,182,0.28112958144738254,0.2951151373589389
esm2_frozen_bilstm_attn,-1,02_add_local_sequence_or_annotation_geometry,validation,fully_resolved_geometry,reference_80,esm2_frozen_bilstm_attn__sign-1__train-reference_80__02_add_local_sequence_or_annotation_geometry,7949,717,ok,1494,633,861,164,0.7985265804947242,0.7452193071083836,0.8120267290980192,182,0.01739699904734171,0.0169115917390803
esm2_frozen_bilstm_attn,-1,03_add_experimental_pdb_geometry,validation,fully_resolved_geometry,reference_80,esm2_frozen_bilstm_attn__sign-1__train-reference_80__03_add_experimental_pdb_geometry,7949,717,ok,1494,633,861,164,0.8021276007552003,0.7493113688226776,0.8159008151532854,182,0.00360102026047604,0.0038740860552661793
esm2_frozen_bilstm_attn,-1,04_add_contact_network,validation,fully_resolved_geometry,reference_80,esm2_frozen_bilstm_attn__sign-1__train-reference_80__04_add_contact_network,7949,717,ok,1494,633,861,164,0.8051899739243231,0.7513662954178754,0.8107005407933471,182,0.003062373169122834,-0.005200274359938306
esm2_frozen_bilstm_attn,-1,05_add_ecod_domain,validation,fully_resolved_geometry,reference_80,esm2_frozen_bilstm_attn__sign-1__train-reference_80__05_add_ecod_domain,7949,717,ok,1494,633,861,164,0.8035722271312373,0.7605434838736007,0.8041933314284756,182,-0.0016177467930857947,-0.00650720936487148
esm2_frozen_bilstm_attn,1,00_q8_only,test,fully_resolved_geometry,reference_80,esm2_frozen_bilstm_attn__sign+1__train-reference_80__00_q8_only,30233,888,ok,3715,733,2982,192,0.5,0.5000000000000003,0.5,375,,
esm2_frozen_bilstm_attn,1,01_base_biophysics,test,fully_resolved_geometry,reference_80,esm2_frozen_bilstm_attn__sign+1__train-reference_80__01_base_biophysics,30233,888,ok,3715,733,2982,192,0.760234840064058,0.7506234286701874,0.7725601042342566,375,0.26023484006405795,0.2725601042342566
esm2_frozen_bilstm_attn,1,02_add_local_sequence_or_annotation_geometry,test,fully_resolved_geometry,reference_80,esm2_frozen_bilstm_attn__sign+1__train-reference_80__02_add_local_sequence_or_annotation_geometry,30233,888,ok,3715,733,2982,192,0.774209283050685,0.7630827767040255,0.7790035926022735,375,0.01397444298662709,0.006443488368016892
esm2_frozen_bilstm_attn,1,03_add_experimental_pdb_geometry,test,fully_resolved_geometry,reference_80,esm2_frozen_bilstm_attn__sign+1__train-reference_80__03_add_experimental_pdb_geometry,30233,888,ok,3715,733,2982,192,0.7732200154970801,0.7626508342463848,0.7777926499904386,375,-0.0009892675536049556,-0.0012109426118348532
