condition,split,sign,structural_cohort,q8,feature,feature_group,n_proteins,n_selected_segments,n_control_segments,selected_macro_protein_mean,control_macro_protein_mean,selected_minus_control_macro_mean,ci95_low,ci95_high,inference_eligible,wilcoxon_p_two_sided,wilcoxon_q_bh,reference_80_effect,effect_difference_from_reference,effect_direction_preserved
esm2_frozen_bilstm_attn,train,-1,reference_80,H,mean_contact_degree,contact_network,680,2706,3470,5.883063740484573,5.545415430642585,0.3376483098419887,0.25648004936808316,0.4188165703158942,True,1.0800259480712223e-16,5.829225506831185e-16,0.3376483098419887,0.0,True
esm2_frozen_bilstm_attn,train,-1,reference_80,H,mean_inverse_distance_weighted_degree,contact_network,680,2706,3470,0.9729909265787539,0.9079656926154148,0.06502523396333909,0.05198868446905791,0.07806178345762027,True,8.773925382702785e-23,6.635741886077736e-22,0.06502523396333909,0.0,True
esm2_frozen_bilstm_attn,train,-1,reference_80,H,mean_betweenness,contact_network,680,2706,3470,0.023997377474988087,0.02066726419213322,0.0033301132828548667,0.00235805993012349,0.004302166635586243,True,7.936342559934779e-12,2.9792318264614395e-11,0.0033301132828548667,0.0,True
esm2_frozen_bilstm_attn,train,-1,reference_80,H,mean_closeness,contact_network,680,2706,3470,0.19993218421048567,0.19168154356705988,0.008250640643425783,0.006389847215932193,0.010111434070919374,True,4.71477423618349e-17,2.5992629786003926e-16,0.008250640643425783,0.0,True
esm2_frozen_bilstm_attn,train,-1,reference_80,H,mean_ca_curvature_degrees,experimental_pdb_geometry,680,2706,3468,87.46087926873322,85.30540000890765,2.1554792598255754,1.8291179254972338,2.481840594153917,True,4.316087688785793e-47,8.490664305808117e-46,2.1554792598255754,0.0,True
esm2_frozen_bilstm_attn,train,-1,reference_80,H,mean_abs_ca_virtual_torsion_degrees,experimental_pdb_geometry,680,2706,3464,53.67763173847779,60.23196753801475,-6.5543357995369504,-7.51502821947768,-5.593643379596221,True,1.256152778459683e-46,2.4053989374759887e-45,-6.5543357995369504,0.0,True
esm2_frozen_bilstm_attn,train,-1,reference_80,H,ca_end_to_end_ratio,experimental_pdb_geometry,667,2669,3039,0.39695497568586596,0.46268410752475647,-0.06572913183889054,-0.07334041898354,-0.05811784469424106,True,1.3494820911728126e-67,6.309266919768993e-66,-0.06572913183889054,0.0,True
esm2_frozen_bilstm_attn,train,-1,reference_80,E,mean_contact_degree,contact_network,118,152,1532,8.143281006893297,7.045085402534443,1.0981956043588528,0.8813708008066942,1.3150204079110113,True,4.34787903804896e-14,1.9863406772812507e-13,1.0981956043588528,0.0,True
esm2_frozen_bilstm_attn,train,-1,reference_80,E,mean_inverse_distance_weighted_degree,contact_network,118,152,1532,1.3624707842818686,1.163654668569386,0.19881611571248306,0.16281154819821717,0.23482068322674896,True,8.701649975267931e-15,4.199187655625275e-14,0.19881611571248306,0.0,True
esm2_frozen_bilstm_attn,train,-1,reference_80,E,mean_betweenness,contact_network,118,152,1532,0.02931963733055691,0.022870358552275413,0.0064492787782815,0.004392994402122735,0.008505563154440265,True,4.738303302272891e-08,1.2631683283238397e-07,0.0064492787782815,0.0,True
