condition,split,sign,label,mechanism_class,n_bands,n_proteins,band_fraction,macro_protein_fraction
esm2_frozen_bilstm_attn,test,-1,rigidity_supporting,combined,319,118,0.4885145482388974,0.7030333602367501
esm2_frozen_bilstm_attn,test,-1,rigidity_supporting,evidence_dominated,333,135,0.5099540581929556,0.7151263962375073
esm2_frozen_bilstm_attn,test,-1,rigidity_supporting,unclassified,1,1,0.0015313935681470138,0.5
esm2_frozen_bilstm_attn,test,1,flexibility_supporting,combined,800,189,0.7554296506137866,0.7982544405685592
esm2_frozen_bilstm_attn,test,1,flexibility_supporting,evidence_dominated,247,115,0.2332389046270066,0.43372800222914637
esm2_frozen_bilstm_attn,test,1,flexibility_supporting,unclassified,12,8,0.0113314447592068,0.4063988095238095
esm2_frozen_bilstm_attn,train,-1,rigidity_supporting,combined,1494,526,0.4850649350649351,0.6796514800093418
esm2_frozen_bilstm_attn,train,-1,rigidity_supporting,evidence_dominated,1586,590,0.5149350649350649,0.716107324601841
esm2_frozen_bilstm_attn,train,1,flexibility_supporting,combined,3571,884,0.7264035801464606,0.7913253809428608
esm2_frozen_bilstm_attn,train,1,flexibility_supporting,consultation_dominated,6,5,0.0012205044751830757,0.25222222222222224
esm2_frozen_bilstm_attn,train,1,flexibility_supporting,evidence_dominated,1300,516,0.2644426362896664,0.43484617976507084
esm2_frozen_bilstm_attn,train,1,flexibility_supporting,not_magnitude_enriched,2,2,0.0004068348250610252,0.3333333333333333
esm2_frozen_bilstm_attn,train,1,flexibility_supporting,unclassified,37,34,0.007526444263628967,0.35764578558696203
esm2_frozen_bilstm_attn,validation,-1,rigidity_supporting,combined,330,123,0.4896142433234421,0.6738221354075012
esm2_frozen_bilstm_attn,validation,-1,rigidity_supporting,evidence_dominated,344,131,0.5103857566765578,0.6955715827853232
esm2_frozen_bilstm_attn,validation,1,flexibility_supporting,combined,822,201,0.7548209366391184,0.7984005974677617
esm2_frozen_bilstm_attn,validation,1,flexibility_supporting,consultation_dominated,1,1,0.0009182736455463728,0.25
esm2_frozen_bilstm_attn,validation,1,flexibility_supporting,evidence_dominated,253,110,0.23232323232323232,0.3810466427511882
esm2_frozen_bilstm_attn,validation,1,flexibility_supporting,unclassified,13,10,0.011937557392102846,0.3356349206349206
esm2_top28_bilstm_attn,test,-1,rigidity_supporting,combined,541,152,0.8135338345864662,0.9015162103977894
esm2_top28_bilstm_attn,test,-1,rigidity_supporting,evidence_dominated,123,58,0.1849624060150376,0.6029230348195866
esm2_top28_bilstm_attn,test,-1,rigidity_supporting,unclassified,1,1,0.0015037593984962407,1.0
esm2_top28_bilstm_attn,test,1,flexibility_supporting,combined,1116,204,0.9346733668341709,0.9510650093370682
esm2_top28_bilstm_attn,test,1,flexibility_supporting,consultation_dominated,4,2,0.0033500837520938024,0.5714285714285714
esm2_top28_bilstm_attn,test,1,flexibility_supporting,evidence_dominated,60,26,0.05025125628140704,0.28471459096459095
esm2_top28_bilstm_attn,test,1,flexibility_supporting,unclassified,14,12,0.011725293132328308,0.3697751322751323
esm2_top28_bilstm_attn,train,-1,rigidity_supporting,combined,2543,688,0.8676219720232002,0.9400253735282805
esm2_top28_bilstm_attn,train,-1,rigidity_supporting,consultation_dominated,1,1,0.000341180484476288,1.0
esm2_top28_bilstm_attn,train,-1,rigidity_supporting,evidence_dominated,387,221,0.13203684749232344,0.6346721403282489
esm2_top28_bilstm_attn,train,1,flexibility_supporting,combined,4909,914,0.9589763625708146,0.9555547384117329
esm2_top28_bilstm_attn,train,1,flexibility_supporting,consultation_dominated,41,33,0.008009376831412385,0.4745532245532246
esm2_top28_bilstm_attn,train,1,flexibility_supporting,evidence_dominated,108,64,0.02109787067786677,0.2962737844567078
esm2_top28_bilstm_attn,train,1,flexibility_supporting,not_magnitude_enriched,1,1,0.0001953506544246923,0.16666666666666666
esm2_top28_bilstm_attn,train,1,flexibility_supporting,unclassified,60,52,0.011721039265481539,0.4583562271062271
esm2_top28_bilstm_attn,validation,-1,rigidity_supporting,combined,569,154,0.8479880774962743,0.9277077359869568
esm2_top28_bilstm_attn,validation,-1,rigidity_supporting,evidence_dominated,102,57,0.15201192250372578,0.5812808536492746
esm2_top28_bilstm_attn,validation,1,flexibility_supporting,combined,1147,205,0.9574290484140233,0.9540249317078586
esm2_top28_bilstm_attn,validation,1,flexibility_supporting,consultation_dominated,4,3,0.00333889816360601,0.38888888888888884
esm2_top28_bilstm_attn,validation,1,flexibility_supporting,evidence_dominated,32,22,0.02671118530884808,0.3045404090858636
esm2_top28_bilstm_attn,validation,1,flexibility_supporting,unclassified,15,10,0.012520868113522538,0.35583333333333333
esm2_top4_bilstm_attn,test,-1,rigidity_supporting,combined,507,150,0.7110799438990182,0.8232140452140452
