condition,split,sign,mechanism_class,n_proteins,n_bands,fraction_high_receivers_long_range_macro_mean,fraction_positive_directional_mass_long_range_macro_mean,fraction_attention_mass_long_range_macro_mean
esm2_frozen_bilstm_attn,test,-1,combined,118,319,0.6269953274324489,0.7081674901267874,0.7098182448189756
esm2_frozen_bilstm_attn,test,-1,evidence_dominated,135,333,0.6720499648967428,0.7220404334591336,0.7232832191816326
esm2_frozen_bilstm_attn,test,-1,unclassified,1,1,0.75,0.653630255145778,0.6559444274297805
esm2_frozen_bilstm_attn,test,1,combined,189,800,0.6670835572884918,0.7501428806318886,0.7510143155882262
esm2_frozen_bilstm_attn,test,1,evidence_dominated,115,247,0.7756207782928175,0.7946797760149656,0.7946883024464947
esm2_frozen_bilstm_attn,test,1,unclassified,8,12,0.5921793710516536,0.6537092306357194,0.6545313466701346
esm2_frozen_bilstm_attn,train,-1,combined,526,1494,0.6240172550488969,0.7021577715919388,0.7036916867723794
esm2_frozen_bilstm_attn,train,-1,evidence_dominated,590,1586,0.6945075063880167,0.7314115877162154,0.732503421728029
esm2_frozen_bilstm_attn,train,1,combined,884,3571,0.646796772627077,0.7341495284241878,0.7350648802077077
esm2_frozen_bilstm_attn,train,1,consultation_dominated,5,6,0.6955169340463458,0.7340115344725308,0.7341938710749611
esm2_frozen_bilstm_attn,train,1,evidence_dominated,516,1300,0.7949881062181998,0.802790233739973,0.8028133542549818
esm2_frozen_bilstm_attn,train,1,not_magnitude_enriched,2,2,0.39285714285714285,0.5071592586130822,0.5078149466454449
esm2_frozen_bilstm_attn,train,1,unclassified,34,37,0.5563579410721572,0.5667940183542397,0.5671793328344304
esm2_frozen_bilstm_attn,validation,-1,combined,123,330,0.6309624217218357,0.7024054816558882,0.7040505993904757
esm2_frozen_bilstm_attn,validation,-1,evidence_dominated,131,344,0.6964854643602904,0.7360190310442786,0.7371827835983311
esm2_frozen_bilstm_attn,validation,1,combined,201,822,0.66301497200233,0.7452805638085939,0.746145620012348
esm2_frozen_bilstm_attn,validation,1,consultation_dominated,1,1,0.375,0.3950787648771618,0.3936187335743936
esm2_frozen_bilstm_attn,validation,1,evidence_dominated,110,253,0.8194485510259772,0.8261538524102156,0.8260503682138881
esm2_frozen_bilstm_attn,validation,1,unclassified,10,13,0.5099618437118437,0.6531309544847508,0.6540182720403988
