condition,sign,model_cohort,receiver_scope,stage,evaluation_split,n_pairs,n_proteins,auroc,average_precision,macro_protein_auroc,delta_auroc_from_previous_stage
esm2_frozen_bilstm_attn,-1,all_receivers,all_eligible_queries,00_distance_q8,validation,5674,171,0.49363657067486155,0.5014235481852074,0.49669183292020525,
esm2_frozen_bilstm_attn,-1,all_receivers,all_eligible_queries,00_distance_q8,test,5378,177,0.5167190231800147,0.5184879068851178,0.5291708175860304,
esm2_frozen_bilstm_attn,-1,all_receivers,all_eligible_queries,01_add_query_biophysics,validation,5674,171,0.9556226703156796,0.9555715504107946,0.942212687430827,0.46198609964081805
esm2_frozen_bilstm_attn,-1,all_receivers,all_eligible_queries,01_add_query_biophysics,test,5378,177,0.9508592871851919,0.9535009557681469,0.9342869931934988,0.43414026400517713
esm2_frozen_bilstm_attn,-1,all_receivers,all_eligible_queries,07_add_source_mechanism_interactions,validation,5674,171,0.961290882888623,0.9624678929893588,0.9477463868102889,0.005668212572943365
esm2_frozen_bilstm_attn,-1,all_receivers,all_eligible_queries,07_add_source_mechanism_interactions,test,5378,177,0.9562066914265743,0.9577886474655045,0.9367547707224072,0.00534740424138247
esm2_frozen_bilstm_attn,1,all_receivers,all_eligible_queries,00_distance_q8,validation,9590,203,0.5148489313142275,0.5074504637231015,0.5135997799239193,
esm2_frozen_bilstm_attn,1,all_receivers,all_eligible_queries,00_distance_q8,test,9726,202,0.4989750630965417,0.4963116007545829,0.4834800270019829,
esm2_frozen_bilstm_attn,1,all_receivers,all_eligible_queries,01_add_query_biophysics,validation,9590,203,0.9232709602568717,0.9345633556351787,0.9204020844588823,0.40842202894264423
esm2_frozen_bilstm_attn,1,all_receivers,all_eligible_queries,01_add_query_biophysics,test,9726,202,0.9184049498726863,0.9275363493859268,0.9136327720105213,0.41942988677614457
esm2_frozen_bilstm_attn,1,all_receivers,all_eligible_queries,07_add_source_mechanism_interactions,validation,9590,203,0.9243789531370116,0.9367071853971805,0.9212730995874774,0.001107992880139852
esm2_frozen_bilstm_attn,1,all_receivers,all_eligible_queries,07_add_source_mechanism_interactions,test,9726,202,0.9189703608528059,0.9291741702914904,0.9148131999934566,0.0005654109801196405
esm2_frozen_bilstm_attn,-1,all_receivers,sequence_distal_ge21,00_distance_q8,validation,5086,169,0.4951937923361392,0.502198778753717,0.5035666177733313,
esm2_frozen_bilstm_attn,-1,all_receivers,sequence_distal_ge21,00_distance_q8,test,4839,171,0.5131037110182493,0.5164863588224552,0.5290656647870396,
