condition,sign,model_cohort,receiver_scope,stage,evaluation_split,n_pairs,n_proteins,auroc,average_precision,macro_protein_auroc,delta_auroc_from_previous_stage
esm2_top28_bilstm_attn,-1,all_receivers,all_eligible_queries,00_distance_q8,validation,5134,172,0.5017959595652965,0.510062673943263,0.5111427509191082,
esm2_top28_bilstm_attn,-1,all_receivers,all_eligible_queries,00_distance_q8,test,4889,167,0.5068084587954698,0.4993606203176557,0.5245103441682396,
esm2_top28_bilstm_attn,-1,all_receivers,all_eligible_queries,01_add_query_biophysics,validation,5134,172,0.981443749620545,0.9847177327645149,0.9573791450801343,0.4796477900552485
esm2_top28_bilstm_attn,-1,all_receivers,all_eligible_queries,01_add_query_biophysics,test,4889,167,0.976381924348524,0.9787387630976615,0.963270306064604,0.46957346555305424
esm2_top28_bilstm_attn,-1,all_receivers,all_eligible_queries,07_add_source_mechanism_interactions,validation,5134,172,0.982675915244976,0.9855867785677807,0.9615512978680082,0.0012321656244309587
esm2_top28_bilstm_attn,-1,all_receivers,all_eligible_queries,07_add_source_mechanism_interactions,test,4889,167,0.9766537004050535,0.9746110566403913,0.9638966249656713,0.00027177605652950465
esm2_top28_bilstm_attn,1,all_receivers,all_eligible_queries,00_distance_q8,validation,10102,204,0.5136761396188512,0.5058321447795511,0.5277814937049109,
esm2_top28_bilstm_attn,1,all_receivers,all_eligible_queries,00_distance_q8,test,9733,203,0.5139527293071962,0.5101200628661706,0.5322182607763906,
esm2_top28_bilstm_attn,1,all_receivers,all_eligible_queries,01_add_query_biophysics,validation,10102,204,0.9535223549274539,0.9631741164656108,0.9391055995605067,0.4398462153086027
esm2_top28_bilstm_attn,1,all_receivers,all_eligible_queries,01_add_query_biophysics,test,9733,203,0.9574009352798979,0.9663935552948423,0.9311235591312204,0.44344820597270174
esm2_top28_bilstm_attn,1,all_receivers,all_eligible_queries,07_add_source_mechanism_interactions,validation,10102,204,0.9537481353516012,0.9635344436543215,0.9384728141144524,0.00022578042414733712
esm2_top28_bilstm_attn,1,all_receivers,all_eligible_queries,07_add_source_mechanism_interactions,test,9733,203,0.9568574173185125,0.9655504493854831,0.9301196761369156,-0.0005435179613854091
esm2_top28_bilstm_attn,-1,all_receivers,sequence_distal_ge21,00_distance_q8,validation,4622,161,0.5023731344178095,0.511665912631917,0.5239795807155849,
esm2_top28_bilstm_attn,-1,all_receivers,sequence_distal_ge21,00_distance_q8,test,4462,161,0.5087375365688076,0.5008749553332079,0.5190250279077414,
esm2_top28_bilstm_attn,-1,all_receivers,sequence_distal_ge21,01_add_query_biophysics,validation,4622,161,0.9844166483123794,0.9863036336836959,0.9650307200058588,0.4820435138945699
esm2_top28_bilstm_attn,-1,all_receivers,sequence_distal_ge21,01_add_query_biophysics,test,4462,161,0.9793466727985533,0.9813797297026211,0.9638419416435546,0.47060913622974565
esm2_top28_bilstm_attn,-1,all_receivers,sequence_distal_ge21,07_add_source_mechanism_interactions,validation,4622,161,0.9856317770396107,0.9879850663596708,0.9668487352929258,0.001215128727231285
esm2_top28_bilstm_attn,-1,all_receivers,sequence_distal_ge21,07_add_source_mechanism_interactions,test,4462,161,0.9791692659878597,0.9767252118504697,0.9659929513230647,-0.0001774068106935589
esm2_top28_bilstm_attn,1,all_receivers,sequence_distal_ge21,00_distance_q8,validation,9187,201,0.5170410293258912,0.5058965482156126,0.5410394717225414,
esm2_top28_bilstm_attn,1,all_receivers,sequence_distal_ge21,00_distance_q8,test,8914,200,0.5134369689880862,0.5089140950547215,0.5397856692683426,
esm2_top28_bilstm_attn,1,all_receivers,sequence_distal_ge21,01_add_query_biophysics,validation,9187,201,0.9533541914714516,0.9633031603630616,0.941971348635117,0.4363131621455604
esm2_top28_bilstm_attn,1,all_receivers,sequence_distal_ge21,01_add_query_biophysics,test,8914,200,0.9584525077920552,0.9674802080389044,0.9359518435941232,0.44501553880396894
esm2_top28_bilstm_attn,1,all_receivers,sequence_distal_ge21,07_add_source_mechanism_interactions,validation,9187,201,0.9534897962279033,0.9635277364207432,0.941335301643197,0.00013560475645169046
esm2_top28_bilstm_attn,1,all_receivers,sequence_distal_ge21,07_add_source_mechanism_interactions,test,8914,200,0.9578708755216832,0.966607122386446,0.9343520575081034,-0.0005816322703720012
esm2_top28_bilstm_attn,-1,structure_eligible_fixed,all_eligible_queries,00_distance_q8,validation,5119,172,0.5011918223216748,0.5099939978178641,0.511242515892264,
esm2_top28_bilstm_attn,-1,structure_eligible_fixed,all_eligible_queries,00_distance_q8,test,4869,167,0.5052721998640739,0.4979775404106306,0.520660168950838,
esm2_top28_bilstm_attn,-1,structure_eligible_fixed,all_eligible_queries,01_add_query_biophysics,validation,5119,172,0.982402528141267,0.9854151165268791,0.9590413677434239,0.48121070581959224
esm2_top28_bilstm_attn,-1,structure_eligible_fixed,all_eligible_queries,01_add_query_biophysics,test,4869,167,0.9765402544532009,0.9789004469461257,0.9672971708623942,0.471268054589127
esm2_top28_bilstm_attn,-1,structure_eligible_fixed,all_eligible_queries,02_add_3d_geometry,validation,5119,172,0.982061287699435,0.98511839634473,0.961212112089488,-0.00034124044183203583
esm2_top28_bilstm_attn,-1,structure_eligible_fixed,all_eligible_queries,02_add_3d_geometry,test,4869,167,0.9765618514571566,0.9787591346227197,0.9663297169267351,2.159700395565345e-05
esm2_top28_bilstm_attn,-1,structure_eligible_fixed,all_eligible_queries,03_add_contact_network,validation,5119,172,0.9820825102593518,0.985045874066968,0.9643958749229946,2.1222559916767025e-05
esm2_top28_bilstm_attn,-1,structure_eligible_fixed,all_eligible_queries,03_add_contact_network,test,4869,167,0.9779369731933937,0.9800306427999739,0.9715425534535295,0.001375121736237106
esm2_top28_bilstm_attn,-1,structure_eligible_fixed,all_eligible_queries,04_add_community_domain,validation,5119,172,0.982423598020897,0.9853568899952968,0.9677518947396175,0.00034108776154517795
esm2_top28_bilstm_attn,-1,structure_eligible_fixed,all_eligible_queries,04_add_community_domain,test,4869,167,0.978042089861084,0.9802488072933436,0.9713218855092991,0.00010511666769030814
esm2_top28_bilstm_attn,-1,structure_eligible_fixed,all_eligible_queries,05_add_putative_polar_contacts,validation,5119,172,0.9823112253295375,0.9829077169130394,0.9670078027949588,-0.00011237269135944139
esm2_top28_bilstm_attn,-1,structure_eligible_fixed,all_eligible_queries,05_add_putative_polar_contacts,test,4869,167,0.9777657157010893,0.979498664156385,0.9702130888328722,-0.0002763741599947078
esm2_top28_bilstm_attn,-1,structure_eligible_fixed,all_eligible_queries,07_add_source_mechanism_interactions,validation,5119,172,0.9832395214755512,0.9836611327587508,0.9697829974317941,0.0009282961460136407
esm2_top28_bilstm_attn,-1,structure_eligible_fixed,all_eligible_queries,07_add_source_mechanism_interactions,test,4869,167,0.9775958080215321,0.9766058986033103,0.9700449684273297,-0.00016990767955715746
esm2_top28_bilstm_attn,1,structure_eligible_fixed,all_eligible_queries,00_distance_q8,validation,9182,201,0.5125426053604946,0.511758212847365,0.5336900397414112,
esm2_top28_bilstm_attn,1,structure_eligible_fixed,all_eligible_queries,00_distance_q8,test,8860,201,0.5135828667616074,0.5167436971201723,0.5249815663152654,
esm2_top28_bilstm_attn,1,structure_eligible_fixed,all_eligible_queries,01_add_query_biophysics,validation,9182,201,0.9531645155229643,0.9622107370924445,0.9415012512226586,0.44062191016246977
esm2_top28_bilstm_attn,1,structure_eligible_fixed,all_eligible_queries,01_add_query_biophysics,test,8860,201,0.9610134359306185,0.968169242942468,0.930301060023814,0.44743056916901114
esm2_top28_bilstm_attn,1,structure_eligible_fixed,all_eligible_queries,02_add_3d_geometry,validation,9182,201,0.9529865503701637,0.9620877853618984,0.941146512219066,-0.00017796515280066316
esm2_top28_bilstm_attn,1,structure_eligible_fixed,all_eligible_queries,02_add_3d_geometry,test,8860,201,0.9609764916948593,0.9680462403993622,0.9309906933606729,-3.694423575917316e-05
esm2_top28_bilstm_attn,1,structure_eligible_fixed,all_eligible_queries,03_add_contact_network,validation,9182,201,0.9528790406297623,0.9622463609859913,0.9419784871464336,-0.00010750974040141248
esm2_top28_bilstm_attn,1,structure_eligible_fixed,all_eligible_queries,03_add_contact_network,test,8860,201,0.9612803007067152,0.9684826158118445,0.931390686904534,0.0003038090118558934
esm2_top28_bilstm_attn,1,structure_eligible_fixed,all_eligible_queries,04_add_community_domain,validation,9182,201,0.9538888540960926,0.9627353295388975,0.9423665870420215,0.0010098134663303338
esm2_top28_bilstm_attn,1,structure_eligible_fixed,all_eligible_queries,04_add_community_domain,test,8860,201,0.9617546646938614,0.9689766126576627,0.9335825921671419,0.0004743639871461758
esm2_top28_bilstm_attn,1,structure_eligible_fixed,all_eligible_queries,05_add_putative_polar_contacts,validation,9182,201,0.9539884880126164,0.9627429000419934,0.944188525834466,9.963391652378917e-05
esm2_top28_bilstm_attn,1,structure_eligible_fixed,all_eligible_queries,05_add_putative_polar_contacts,test,8860,201,0.9622026326615274,0.9692779780055838,0.9356735678183621,0.00044796796766599645
esm2_top28_bilstm_attn,1,structure_eligible_fixed,all_eligible_queries,07_add_source_mechanism_interactions,validation,9182,201,0.9541608546882028,0.9631186175989812,0.9433940460992783,0.0001723666755863995
esm2_top28_bilstm_attn,1,structure_eligible_fixed,all_eligible_queries,07_add_source_mechanism_interactions,test,8860,201,0.9617316828313411,0.9684952407510952,0.9346886411203202,-0.00047094983018625136
esm2_top28_bilstm_attn,-1,structure_eligible_fixed,sequence_distal_ge21,00_distance_q8,validation,4608,161,0.5017404570716151,0.5115114521054013,0.523877119515021,
esm2_top28_bilstm_attn,-1,structure_eligible_fixed,sequence_distal_ge21,00_distance_q8,test,4443,161,0.5065906708117478,0.4987786723941294,0.5114283114383971,
esm2_top28_bilstm_attn,-1,structure_eligible_fixed,sequence_distal_ge21,01_add_query_biophysics,validation,4608,161,0.9849594433552454,0.9869698248517749,0.9650205187272128,0.48321898628363036
esm2_top28_bilstm_attn,-1,structure_eligible_fixed,sequence_distal_ge21,01_add_query_biophysics,test,4443,161,0.9794760127951213,0.9815101308963685,0.9643947056119331,0.4728853419833735
esm2_top28_bilstm_attn,-1,structure_eligible_fixed,sequence_distal_ge21,02_add_3d_geometry,validation,4608,161,0.9847261512531819,0.9868234991771254,0.9651699158761243,-0.00023329210206357587
esm2_top28_bilstm_attn,-1,structure_eligible_fixed,sequence_distal_ge21,02_add_3d_geometry,test,4443,161,0.9794069146015223,0.9812882278128464,0.9630260748395564,-6.909819359901537e-05
esm2_top28_bilstm_attn,-1,structure_eligible_fixed,sequence_distal_ge21,03_add_contact_network,validation,4608,161,0.9844033488534767,0.9865712698738267,0.9636062193093224,-0.0003228023997051688
esm2_top28_bilstm_attn,-1,structure_eligible_fixed,sequence_distal_ge21,03_add_contact_network,test,4443,161,0.9793370058719282,0.9812680892071092,0.9652346883515762,-6.990872959411476e-05
esm2_top28_bilstm_attn,-1,structure_eligible_fixed,sequence_distal_ge21,04_add_community_domain,validation,4608,161,0.984479668159887,0.9866120197621578,0.9642422058159811,7.63193064102774e-05
esm2_top28_bilstm_attn,-1,structure_eligible_fixed,sequence_distal_ge21,04_add_community_domain,test,4443,161,0.9794968840970002,0.9815573075279851,0.9633455196295172,0.00015987822507201876
esm2_top28_bilstm_attn,-1,structure_eligible_fixed,sequence_distal_ge21,05_add_putative_polar_contacts,validation,4608,161,0.9844736379924668,0.9867791113708744,0.9645836390522364,-6.030167420179033e-06
esm2_top28_bilstm_attn,-1,structure_eligible_fixed,sequence_distal_ge21,05_add_putative_polar_contacts,test,4443,161,0.9793319400219576,0.9814522978944236,0.9636727351745659,-0.00016494407504263897
esm2_top28_bilstm_attn,-1,structure_eligible_fixed,sequence_distal_ge21,07_add_source_mechanism_interactions,validation,4608,161,0.9856713799962763,0.9880191014320927,0.9682485577156632,0.00119774200380951
esm2_top28_bilstm_attn,-1,structure_eligible_fixed,sequence_distal_ge21,07_add_source_mechanism_interactions,test,4443,161,0.9789661856540802,0.9763881649881799,0.9664428163554688,-0.0003657543678773356
esm2_top28_bilstm_attn,1,structure_eligible_fixed,sequence_distal_ge21,00_distance_q8,validation,8321,197,0.5172769492782676,0.5138727183319793,0.5452727542939547,
esm2_top28_bilstm_attn,1,structure_eligible_fixed,sequence_distal_ge21,00_distance_q8,test,8114,198,0.5150703830763457,0.5192691764244697,0.5319715105023463,
esm2_top28_bilstm_attn,1,structure_eligible_fixed,sequence_distal_ge21,01_add_query_biophysics,validation,8321,197,0.9530672326678507,0.9626487207157592,0.9442418363000057,0.43579028338958303
esm2_top28_bilstm_attn,1,structure_eligible_fixed,sequence_distal_ge21,01_add_query_biophysics,test,8114,198,0.9615964883468329,0.9689019290539385,0.9324712615189156,0.4465261052704872
esm2_top28_bilstm_attn,1,structure_eligible_fixed,sequence_distal_ge21,02_add_3d_geometry,validation,8321,197,0.9529647470152642,0.9625580697434678,0.9438293747956094,-0.00010248565258641484
esm2_top28_bilstm_attn,1,structure_eligible_fixed,sequence_distal_ge21,02_add_3d_geometry,test,8114,198,0.9616239512380569,0.9688282673102009,0.9328482830486508,2.7462891224017127e-05
esm2_top28_bilstm_attn,1,structure_eligible_fixed,sequence_distal_ge21,03_add_contact_network,validation,8321,197,0.9528874494937533,0.9626274265205277,0.9436343575869524,-7.729752151097724e-05
esm2_top28_bilstm_attn,1,structure_eligible_fixed,sequence_distal_ge21,03_add_contact_network,test,8114,198,0.9616490445435337,0.9688472652412409,0.933381252214635,2.5093305476842076e-05
esm2_top28_bilstm_attn,1,structure_eligible_fixed,sequence_distal_ge21,04_add_community_domain,validation,8321,197,0.953878567789002,0.963088701148644,0.9442067856303789,0.000991118295248783
