condition,sign,evaluation_split,feature,feature_type,n_pairs,n_proteins,baseline_auroc,single_feature_auroc,delta_auroc_single_from_baseline,full_query_auroc,without_feature_auroc,delta_auroc_full_minus_without,baseline_macro_protein_auroc,single_feature_macro_protein_auroc,delta_macro_auroc_single_from_baseline,full_query_macro_protein_auroc,without_feature_macro_protein_auroc,delta_macro_auroc_full_minus_without,baseline_average_precision,single_feature_average_precision,full_query_average_precision,without_feature_average_precision
esm3_frozen_bilstm_attn,-1,validation,neq,numeric,5752,172,0.5049558406775025,0.8180940235020668,0.3131381828245643,0.9652415284673987,0.9505513764188842,0.014690152048514538,0.5204537282870263,0.8371978082524792,0.31674407996545295,0.9584112622085658,0.9330421069797258,0.02536915522883998,0.5096247504195294,0.7447173969096369,0.9692580270302813,0.9569406482071681
esm3_frozen_bilstm_attn,-1,validation,rsa,numeric,5752,172,0.5049558406775025,0.7031393519913982,0.19818351131389567,0.9652415284673987,0.9682055537963645,-0.0029640253289657803,0.5204537282870263,0.7165599856921729,0.19610625740514664,0.9584112622085658,0.9573707786075211,0.001040483601044695,0.5096247504195294,0.7100494251168663,0.9692580270302813,0.9710427745540665
esm3_frozen_bilstm_attn,-1,validation,disorder,numeric,5752,172,0.5049558406775025,0.7456768333400436,0.2407209926625411,0.9652415284673987,0.9634229722784136,0.0018185561889851876,0.5204537282870263,0.7916335795506768,0.2711798512636505,0.9584112622085658,0.956964299248177,0.001446962960388709,0.5096247504195294,0.6930196557539909,0.9692580270302813,0.9677489824501513
esm3_frozen_bilstm_attn,-1,validation,torsion_change_from_previous,numeric,5752,172,0.5049558406775025,0.9031148804953106,0.3981590398178081,0.9652415284673987,0.9522093686414463,0.013032159825952405,0.5204537282870263,0.9054900282837541,0.38503629999672784,0.9584112622085658,0.9432987852406596,0.015112476967906185,0.5096247504195294,0.8478261729025784,0.9692580270302813,0.9582384270142734
esm3_frozen_bilstm_attn,-1,validation,query_amino_acid_class,categorical,5752,172,0.5049558406775025,0.6068508461104407,0.10189500543293817,0.9652415284673987,0.9651848232714255,5.670519597322787e-05,0.5204537282870263,0.6091091503531202,0.08865542206609389,0.9584112622085658,0.9577325251303297,0.0006787370782360691,0.5096247504195294,0.5824590313592706,0.9692580270302813,0.9691870619456806
esm3_frozen_bilstm_attn,-1,validation,normalized_query_position,numeric,5752,172,0.5049558406775025,0.5054404947885023,0.0004846541109997382,0.9652415284673987,0.9652151708283324,2.635763906633226e-05,0.5204537282870263,0.5203542045293891,-9.952375763722099e-05,0.9584112622085658,0.9581433038363084,0.00026795837225734864,0.5096247504195294,0.5016452591296974,0.9692580270302813,0.9692328850999227
esm3_frozen_bilstm_attn,-1,validation,query_in_any_band,numeric,5752,172,0.5049558406775025,0.8612643904548107,0.3563085497773082,0.9652415284673987,0.9299311183002175,0.03531041016718128,0.5204537282870263,0.7848405724769315,0.2643868441899052,0.9584112622085658,0.9403364878930158,0.018074774315549935,0.5096247504195294,0.8652066875854356,0.9692580270302813,0.9116665342876987
esm3_frozen_bilstm_attn,-1,test,neq,numeric,5318,171,0.5059253250771367,0.8233660926884431,0.31744076761130635,0.9630574329461001,0.9470224864909208,0.016034946455179333,0.5004614516999883,0.8308569381583227,0.3303954864583344,0.946609484547453,0.9202825709964609,0.026326913550992037,0.5033881073171567,0.753584049737332,0.9668033349795581,0.9514802285934008
esm3_frozen_bilstm_attn,-1,test,rsa,numeric,5318,171,0.5059253250771367,0.6712907402784486,0.16536541520131187,0.9630574329461001,0.9638480703285388,-0.0007906373824386748,0.5004614516999883,0.6986639013188056,0.19820244961881728,0.946609484547453,0.9436556218058794,0.0029538627415736096,0.5033881073171567,0.6944772238468908,0.9668033349795581,0.962977257725141
esm3_frozen_bilstm_attn,-1,test,disorder,numeric,5318,171,0.5059253250771367,0.7277869437339158,0.2218616186567791,0.9630574329461001,0.9622615623645292,0.0007958705815709344,0.5004614516999883,0.7716068085627057,0.27114535686271735,0.946609484547453,0.9430255081252811,0.0035839764221718973,0.5033881073171567,0.6859743310405985,0.9668033349795581,0.9662958519340312
esm3_frozen_bilstm_attn,-1,test,torsion_change_from_previous,numeric,5318,171,0.5059253250771367,0.9021688781647594,0.3962435530876227,0.9630574329461001,0.9498830662869533,0.013174366659146841,0.5004614516999883,0.887472614138306,0.3870111624383177,0.946609484547453,0.9329731969565517,0.013636287590901297,0.5033881073171567,0.8424819166213015,0.9668033349795581,0.9530202207516684
esm3_frozen_bilstm_attn,-1,test,query_amino_acid_class,categorical,5318,171,0.5059253250771367,0.5978456899301227,0.09192036485298594,0.9630574329461001,0.9622099375622769,0.0008474953838232269,0.5004614516999883,0.6037231697877092,0.10326171808772089,0.946609484547453,0.9447890390373165,0.0018204455101364925,0.5033881073171567,0.577409364368495,0.9668033349795581,0.9657787327062984
esm3_frozen_bilstm_attn,-1,test,normalized_query_position,numeric,5318,171,0.5059253250771367,0.5074066033072404,0.0014812782301036886,0.9630574329461001,0.9629456970727324,0.00011173587336776869,0.5004614516999883,0.49733075879069955,-0.0031306929092888014,0.946609484547453,0.9469815784085255,-0.00037209386107250886,0.5033881073171567,0.4984420285763669,0.9668033349795581,0.9667526602568369
esm3_frozen_bilstm_attn,-1,test,query_in_any_band,numeric,5318,171,0.5059253250771367,0.8628957695242527,0.356970444447116,0.9630574329461001,0.91926390103879,0.04379353190731017,0.5004614516999883,0.7922795600392727,0.29181810833928434,0.946609484547453,0.91804848656862,0.028560997978832936,0.5033881073171567,0.8652131287266355,0.9668033349795581,0.890444719979825
