condition,split,sign,mechanism_class,receiver_scope,feature,n_proteins,n_bands,high_minus_low_macro_protein_mean,ci95_low,ci95_high,inference_eligible,protein_sign_p_two_sided,protein_sign_q_bh
esm3_frozen_bilstm_attn,test,-1,combined,all_eligible_queries,absolute_backbone_orientation_cosine,148,557,0.0036470106834933925,-0.013713848025501883,0.02100786939248867,True,0.9345249854171014,1.0
esm3_frozen_bilstm_attn,test,-1,combined,all_eligible_queries,absolute_sequence_separation,148,559,-0.6351616517650238,-2.8587013030800072,1.5883779995499596,True,0.285216687181283,0.5135666818329783
esm3_frozen_bilstm_attn,test,-1,combined,all_eligible_queries,band_water_contact_count,148,557,-0.003800675675675676,-0.011311697542213384,0.0037103461908620326,True,1.0,1.0
esm3_frozen_bilstm_attn,test,-1,combined,all_eligible_queries,direct_ca_contact,148,557,0.0921213915851343,0.0683722896461731,0.1158704935240955,True,8.921023429334677e-18,8.56418249216129e-17
esm3_frozen_bilstm_attn,test,-1,combined,all_eligible_queries,direct_putative_polar_contact,148,557,0.053553519769486954,0.03344436975122202,0.07366266978775189,True,3.0109103586376684e-11,2.0806913606772368e-10
esm3_frozen_bilstm_attn,test,-1,combined,all_eligible_queries,direct_putative_polar_contact_count,148,557,0.2934969462842902,0.22160176327044562,0.36539212929813475,True,1.3869287779064768e-17,1.312474271641041e-16
esm3_frozen_bilstm_attn,test,-1,combined,all_eligible_queries,disorder,148,559,-0.014369662693544507,-0.017874182397079566,-0.010865142990009447,True,2.797312157195774e-32,4.320022948851909e-31
esm3_frozen_bilstm_attn,test,-1,combined,all_eligible_queries,minimum_ca_distance_angstrom,148,557,-2.4696346765963604,-3.0270185221059753,-1.9122508310867454,True,2.0804836938185115e-15,1.7511559432330224e-14
esm3_frozen_bilstm_attn,test,-1,combined,all_eligible_queries,minimum_heavy_atom_distance_angstrom,148,557,-2.288546340866578,-2.8447037579013443,-1.7323889238318115,True,3.817657045442608e-14,3.0404300056977906e-13
esm3_frozen_bilstm_attn,test,-1,combined,all_eligible_queries,minimum_polar_atom_distance_angstrom,148,557,-2.083428628064565,-2.623623364271339,-1.5432338918577906,True,3.817657045442608e-14,3.0404300056977906e-13
esm3_frozen_bilstm_attn,test,-1,combined,all_eligible_queries,neq,148,559,-0.3786789832638648,-0.4211902894821983,-0.3361676770455313,True,5.605193857299268e-45,1.2443530363204375e-43
esm3_frozen_bilstm_attn,test,-1,combined,all_eligible_queries,nonlocal_contact_path_exists,148,557,0.004397210686302574,0.0007392367874604049,0.008055184585144743,True,1.52587890625e-05,6.609660823170732e-05
esm3_frozen_bilstm_attn,test,-1,combined,all_eligible_queries,normalized_query_position,148,559,-0.0060414484487866385,-0.02271365062947874,0.010630753731905463,True,0.4595410438306956,0.7355751700851839
esm3_frozen_bilstm_attn,test,-1,combined,all_eligible_queries,one_water_bridge,148,557,0.0089237090794105,-0.0004345705600708599,0.018281988718891858,True,0.52577336017565,0.7926769844413875
esm3_frozen_bilstm_attn,test,-1,combined,all_eligible_queries,ordinary_contact_path_exists,148,557,0.0,0.0,0.0,True,1.0,1.0
esm3_frozen_bilstm_attn,test,-1,combined,all_eligible_queries,query_distance_to_band_domain_boundary_sequence,148,557,0.31063046888641094,-1.9605535269844097,2.5818144647572314,True,0.3659440738175885,0.6195583175405501
esm3_frozen_bilstm_attn,test,-1,combined,all_eligible_queries,query_distance_to_community_boundary_edges,148,557,-0.3631747267849007,-0.45110339435705543,-0.275246059212746,True,2.9545137576578215e-11,2.0496939193751137e-10
esm3_frozen_bilstm_attn,test,-1,combined,all_eligible_queries,query_distance_to_ecod_boundary_sequence,148,557,0.7325172493330743,-1.4409730287611238,2.9060075274272723,True,0.2174455477829043,0.41794728664766023
esm3_frozen_bilstm_attn,test,-1,combined,all_eligible_queries,query_in_any_band,148,559,0.5911791354019496,0.5391408582706279,0.6432174125332712,True,1.8643680069333046e-30,2.7364608101764865e-29
esm3_frozen_bilstm_attn,test,-1,combined,all_eligible_queries,query_to_band_contact_count,148,557,0.4097398518667199,0.3232697018433305,0.49621000189010933,True,2.643235632987314e-19,2.6979232667732585e-18
esm3_frozen_bilstm_attn,test,-1,combined,all_eligible_queries,query_to_band_contact_fraction,148,557,0.07704646636989998,0.05989103595462659,0.09420189678517338,True,5.09476472849151e-21,5.620063452050262e-20
esm3_frozen_bilstm_attn,test,-1,combined,all_eligible_queries,query_water_contact_count,148,557,-0.2769663490522929,-0.3553968841415169,-0.1985358139630689,True,8.08924594039042e-08,4.288507698547279e-07
esm3_frozen_bilstm_attn,test,-1,combined,all_eligible_queries,reachable_query_water_entry_count,148,557,0.010290256442375125,-0.0021818104886257,0.02276232337337595,True,0.2604255258972435,0.47780551032386825
esm3_frozen_bilstm_attn,test,-1,combined,all_eligible_queries,relative_backbone_orientation_cosine,148,557,-0.02289416849513044,-0.06174795332019738,0.015959616329936494,True,0.6812170868939303,0.9457784663051898
esm3_frozen_bilstm_attn,test,-1,combined,all_eligible_queries,rsa,148,559,-0.14583473962545734,-0.164025286889252,-0.1276441923616627,True,9.191926693634371e-26,1.1915957524010688e-24
esm3_frozen_bilstm_attn,test,-1,combined,all_eligible_queries,same_community_as_band_apex,148,557,0.03752307612585334,0.009391465999441656,0.06565468625226502,True,0.06717037054890544,0.15255061137449624
esm3_frozen_bilstm_attn,test,-1,combined,all_eligible_queries,same_community_as_band_majority,144,506,0.03622779863698782,0.006552165543738029,0.06590343173023762,True,0.3271229672167788,0.5651462935573921
esm3_frozen_bilstm_attn,test,-1,combined,all_eligible_queries,same_ecod_domain_as_band_apex,148,557,0.0013418101592424928,-0.00894275260639059,0.011626372924875577,True,1.0,1.0
esm3_frozen_bilstm_attn,test,-1,combined,all_eligible_queries,shared_water_count,148,557,0.00898187867015066,-0.0004089278227793411,0.01837268516308066,True,0.52577336017565,0.7926769844413875
esm3_frozen_bilstm_attn,test,-1,combined,all_eligible_queries,shared_water_fraction_of_band_contacts,148,557,0.002182508609916664,-0.0031385613539041813,0.007503578573737509,True,0.6089207154048286,0.8944939541430733
esm3_frozen_bilstm_attn,test,-1,combined,all_eligible_queries,shared_water_fraction_of_query_contacts,148,557,0.007493835986777172,-0.00012125008846545875,0.015108922062019803,True,0.52577336017565,0.7926769844413875
esm3_frozen_bilstm_attn,test,-1,combined,all_eligible_queries,shares_any_ecod_domain_with_band,148,557,0.0013418101592424928,-0.00894275260639059,0.011626372924875577,True,1.0,1.0
esm3_frozen_bilstm_attn,test,-1,combined,all_eligible_queries,shortest_nonlocal_contact_path_edges,148,556,-0.4720281803043428,-0.5987747507177099,-0.34528160989097567,True,2.0804836938185115e-15,1.7511559432330224e-14
esm3_frozen_bilstm_attn,test,-1,combined,all_eligible_queries,shortest_ordinary_contact_path_edges,148,557,-0.4835382750227109,-0.6056282218418042,-0.3614483282036176,True,9.105896553265623e-15,7.452567870322465e-14
esm3_frozen_bilstm_attn,test,-1,combined,all_eligible_queries,torsion_change_from_previous,148,559,-41.30023991160672,-45.54622237478886,-37.05425744842457,True,8.35173884737591e-43,1.6855327491976836e-41
esm3_frozen_bilstm_attn,test,-1,combined,all_eligible_queries,water_path_at_most_1,148,557,0.0089237090794105,-0.0004345705600708599,0.018281988718891858,True,0.52577336017565,0.7926769844413875
esm3_frozen_bilstm_attn,test,-1,combined,all_eligible_queries,water_path_at_most_2,148,557,0.008037317224155346,-0.0033605081849404778,0.01943514263325117,True,0.3018724904870079,0.5329279752534057
esm3_frozen_bilstm_attn,test,-1,combined,all_eligible_queries,water_path_at_most_3,148,557,0.009069743900931002,-0.0023806465981755422,0.020520134400037547,True,0.17106097355391153,0.3394461329963652
esm3_frozen_bilstm_attn,test,-1,combined,all_eligible_queries,water_path_exists,148,557,0.00864566452739618,-0.0028316397121321106,0.02012296876692447,True,0.3081682319436807,0.5424249553339712
esm3_frozen_bilstm_attn,test,-1,combined,all_eligible_queries,water_path_without_direct_ca_contact,148,557,-0.008941239960896968,-0.016719447867105226,-0.0011630320546887115,True,0.006600447966810918,0.02014157317707249
esm3_frozen_bilstm_attn,test,-1,combined,all_eligible_queries,water_path_without_direct_polar_contact,148,557,-0.006885210357417542,-0.015042292843302132,0.0012718721284670472,True,0.6089207154048286,0.8944939541430733
esm3_frozen_bilstm_attn,test,-1,combined,sequence_distal_ge21,absolute_backbone_orientation_cosine,145,550,-0.008040625898731906,-0.027592666767331915,0.011511414969868105,True,0.06732947143058453,0.15271665550538713
esm3_frozen_bilstm_attn,test,-1,combined,sequence_distal_ge21,absolute_sequence_separation,145,552,-0.821221553243183,-3.4164292348021243,1.773986128315758,True,0.40636805135936505,0.6713578225248673
esm3_frozen_bilstm_attn,test,-1,combined,sequence_distal_ge21,band_water_contact_count,145,550,0.0,0.0,0.0,True,1.0,1.0
esm3_frozen_bilstm_attn,test,-1,combined,sequence_distal_ge21,direct_ca_contact,145,550,0.03753830231282927,0.016503238545461946,0.0585733660801966,True,9.925611878636325e-09,5.70481770111913e-08
esm3_frozen_bilstm_attn,test,-1,combined,sequence_distal_ge21,direct_putative_polar_contact,145,550,0.00804530299876395,-0.0020376201154856007,0.018128226113013502,True,0.06273668035582848,0.1441401608175309
esm3_frozen_bilstm_attn,test,-1,combined,sequence_distal_ge21,direct_putative_polar_contact_count,145,550,0.011218969634951103,-0.00407741766209049,0.026515356931992695,True,0.06273668035582848,0.1441401608175309
esm3_frozen_bilstm_attn,test,-1,combined,sequence_distal_ge21,disorder,145,552,-0.015248549004682439,-0.018879069716227378,-0.0116180282931375,True,2.907347193787138e-30,4.2323349312835713e-29
esm3_frozen_bilstm_attn,test,-1,combined,sequence_distal_ge21,minimum_ca_distance_angstrom,145,550,-2.3937369101669823,-3.0891106526065424,-1.6983631677274222,True,2.9545137576578215e-11,2.0496939193751137e-10
esm3_frozen_bilstm_attn,test,-1,combined,sequence_distal_ge21,minimum_heavy_atom_distance_angstrom,145,550,-2.2797801610569643,-2.9715069722452307,-1.588053349868698,True,3.1877570240121074e-10,2.066224990746534e-09
