condition,split,sign,mechanism_class,receiver_scope,feature,n_proteins,n_bands,high_minus_low_macro_protein_mean,ci95_low,ci95_high,inference_eligible,protein_sign_p_two_sided,protein_sign_q_bh
esm3_top28_bilstm_attn,test,-1,combined,all_eligible_queries,absolute_backbone_orientation_cosine,146,565,0.0001292019035964686,-0.017670296307368143,0.017928700114561078,True,0.36267876308767744,0.6460712996531146
esm3_top28_bilstm_attn,test,-1,combined,all_eligible_queries,absolute_sequence_separation,146,567,-0.3180506351546158,-2.4332281800745825,1.7971269097653508,True,0.36267876308767744,0.6460712996531146
esm3_top28_bilstm_attn,test,-1,combined,all_eligible_queries,band_water_contact_count,146,565,0.0,0.0,0.0,True,1.0,1.0
esm3_top28_bilstm_attn,test,-1,combined,all_eligible_queries,direct_ca_contact,146,565,0.05444216787040993,0.024989114824595815,0.08389522091622405,True,2.9101932735465526e-08,1.9748435291056707e-07
esm3_top28_bilstm_attn,test,-1,combined,all_eligible_queries,direct_putative_polar_contact,146,565,0.015931919015190272,-0.0026646694753737973,0.03452850750575434,True,0.0014660719473423367,0.005753694354270022
esm3_top28_bilstm_attn,test,-1,combined,all_eligible_queries,direct_putative_polar_contact_count,146,565,0.19083938328211636,0.13282514820278873,0.24885361836144398,True,1.0892545009628191e-08,7.621025456736414e-08
esm3_top28_bilstm_attn,test,-1,combined,all_eligible_queries,disorder,146,567,-0.011600689077739331,-0.01783111579084801,-0.005370262364630652,True,1.5483953282525364e-30,2.9920896390708536e-29
esm3_top28_bilstm_attn,test,-1,combined,all_eligible_queries,mean_query_contact_water_degree,138,541,0.050149220981046766,-0.004330488734201866,0.10462893069629539,True,0.5916839270941626,0.8906911249686519
esm3_top28_bilstm_attn,test,-1,combined,all_eligible_queries,minimum_ca_distance_angstrom,146,565,-2.2215396832895955,-2.809758431678503,-1.633320934900688,True,6.54725587913841e-10,4.994128638636028e-09
esm3_top28_bilstm_attn,test,-1,combined,all_eligible_queries,minimum_heavy_atom_distance_angstrom,146,565,-2.047347020654028,-2.6385576358134624,-1.4561364054945938,True,1.980365676693408e-09,1.466482466427345e-08
esm3_top28_bilstm_attn,test,-1,combined,all_eligible_queries,minimum_polar_atom_distance_angstrom,146,565,-1.8637206523697945,-2.4356673746312674,-1.2917739301083215,True,2.993639282360258e-07,1.8805244903742921e-06
esm3_top28_bilstm_attn,test,-1,combined,all_eligible_queries,neq,146,567,-0.39599086272786005,-0.4430177281222921,-0.348963997333428,True,2.2420775429197073e-44,6.789813932215054e-43
esm3_top28_bilstm_attn,test,-1,combined,all_eligible_queries,nonlocal_contact_path_exists,146,565,0.004093171339305211,0.0010121950798768942,0.0071741475987335285,True,3.0517578125e-05,0.00015213800003839066
esm3_top28_bilstm_attn,test,-1,combined,all_eligible_queries,normalized_query_position,146,567,-0.005278292022269902,-0.026538880927753104,0.0159822968832133,True,0.08186174437673047,0.20709367118499475
esm3_top28_bilstm_attn,test,-1,combined,all_eligible_queries,one_water_bridge,146,565,0.004298724360858538,-0.003369569561540076,0.011967018283257152,True,0.5044037600228255,0.8040194026008727
esm3_top28_bilstm_attn,test,-1,combined,all_eligible_queries,ordinary_contact_path_exists,146,565,0.0,0.0,0.0,True,1.0,1.0
esm3_top28_bilstm_attn,test,-1,combined,all_eligible_queries,query_distance_to_band_domain_boundary_sequence,146,565,1.237779867551667,-0.8381307010795782,3.3136904361829123,True,0.6791635203785469,0.9183262014483212
esm3_top28_bilstm_attn,test,-1,combined,all_eligible_queries,query_distance_to_community_boundary_edges,146,565,-0.31571280623426756,-0.4040840438740317,-0.22734156859450344,True,2.7833777337348257e-08,1.8951253093113964e-07
