condition,sign,model_cohort,receiver_scope,evaluation_split,specification,n_pairs,n_proteins,auroc,average_precision,macro_protein_auroc,delta_auroc_from_query_biophysics,delta_auroc_from_ordinary_structure,delta_auroc_full_minus_specification
esm3_top28_bilstm_attn,-1,water_eligible_fixed,all_eligible_queries,validation,query_biophysics,5292,169,0.9723030310561597,0.9760302775406499,0.9492072686427973,0.0,-0.0014941956903574694,0.0014337765356855492
esm3_top28_bilstm_attn,-1,water_eligible_fixed,all_eligible_queries,validation,query_plus_ordinary_structure,5292,169,0.9737972267465171,0.9770921778251332,0.9530847766438717,0.0014941956903574694,0.0,-6.041915467192016e-05
esm3_top28_bilstm_attn,-1,water_eligible_fixed,all_eligible_queries,validation,query_plus_structure_and_water,5292,169,0.9737368075918452,0.9771692359515782,0.9534209862869618,0.0014337765356855492,-6.041915467192016e-05,0.0
esm3_top28_bilstm_attn,-1,water_eligible_fixed,all_eligible_queries,validation,full_without_rsa,5292,169,0.97305177150247,0.975237517886532,0.9498262676949482,0.0007487404463103475,-0.0007454552440471218,0.0006850360893752017
esm3_top28_bilstm_attn,-1,water_eligible_fixed,all_eligible_queries,validation,full_without__geometry,5292,169,0.973818080639146,0.9772058299446436,0.953013481244257,0.0015150495829863164,2.085389262884707e-05,-8.127304730076723e-05
esm3_top28_bilstm_attn,-1,water_eligible_fixed,all_eligible_queries,validation,full_without__contact_network,5292,169,0.9734209996699086,0.9768472883279652,0.952539894412918,0.0011179686137489098,-0.0003762270766085596,0.0003158079219366394
esm3_top28_bilstm_attn,-1,water_eligible_fixed,all_eligible_queries,validation,full_without__community_domain,5292,169,0.9738606454336902,0.9774629317230391,0.9531719468585496,0.0015576143775305473,6.341868717307797e-05,-0.00012383784184499813
esm3_top28_bilstm_attn,-1,water_eligible_fixed,all_eligible_queries,validation,full_without__putative_polar_contacts,5292,169,0.9728132372511658,0.9758907267397623,0.9541816019117605,0.0005102061950060799,-0.0009839894953513895,0.0009235703406794693
esm3_top28_bilstm_attn,-1,water_eligible_fixed,all_eligible_queries,validation,full_without__water_network,5292,169,0.9737972267465171,0.9770921778251332,0.9530847766438717,0.0014941956903574694,0.0,-6.041915467192016e-05
esm3_top28_bilstm_attn,-1,water_eligible_fixed,all_eligible_queries,test,query_biophysics,5054,173,0.9753271050870902,0.9712754236616015,0.9462437975222244,0.0,-0.0011948121753380114,0.0010908201338616363
esm3_top28_bilstm_attn,-1,water_eligible_fixed,all_eligible_queries,test,query_plus_ordinary_structure,5054,173,0.9765219172624282,0.9731465314960648,0.9543327924637534,0.0011948121753380114,0.0,-0.00010399204147637509
esm3_top28_bilstm_attn,-1,water_eligible_fixed,all_eligible_queries,test,query_plus_structure_and_water,5054,173,0.9764179252209518,0.9733894359062545,0.9532676749869771,0.0010908201338616363,-0.00010399204147637509,0.0
esm3_top28_bilstm_attn,-1,water_eligible_fixed,all_eligible_queries,test,full_without_rsa,5054,173,0.9777872059718996,0.9744469015948163,0.952955680674955,0.002460100884809413,0.0012652887094714016,-0.0013692807509477767
esm3_top28_bilstm_attn,-1,water_eligible_fixed,all_eligible_queries,test,full_without__geometry,5054,173,0.9771533870082617,0.973870280921606,0.9533071170860717,0.0018262819211715131,0.0006314697458335017,-0.0007354617873098768
esm3_top28_bilstm_attn,-1,water_eligible_fixed,all_eligible_queries,test,full_without__contact_network,5054,173,0.9763474486868187,0.9730247888423509,0.9526841291614684,0.0010203435997284682,-0.0001744685756095432,7.047653413316812e-05
esm3_top28_bilstm_attn,-1,water_eligible_fixed,all_eligible_queries,test,full_without__community_domain,5054,173,0.9751061219989525,0.9732459003251793,0.9535544409815179,-0.00022098308813767176,-0.0014157952634756832,0.001311803221999308
