condition,split,sign,mechanism_class,n_proteins,n_bands,fraction_high_receivers_long_range_macro_mean,fraction_positive_directional_mass_long_range_macro_mean,fraction_attention_mass_long_range_macro_mean
esm3_top4_bilstm_attn,test,-1,combined,147,526,0.5988557097766326,0.6783396412009352,0.6798229833308744
esm3_top4_bilstm_attn,test,-1,evidence_dominated,82,180,0.6803798921630924,0.7317903637716339,0.7336759155343282
esm3_top4_bilstm_attn,test,-1,unclassified,1,1,0.4375,0.525328938246483,0.5275973339464868
esm3_top4_bilstm_attn,test,1,combined,202,1017,0.608717633053369,0.7242401374199237,0.7253116012626668
esm3_top4_bilstm_attn,test,1,consultation_dominated,9,10,0.5930630296937865,0.7047914894497791,0.7057583924750447
esm3_top4_bilstm_attn,test,1,evidence_dominated,30,44,0.6887233880322997,0.7542818343969753,0.7543463583281684
esm3_top4_bilstm_attn,test,1,unclassified,11,15,0.3918821077911987,0.5403933859310959,0.5431226969868242
esm3_top4_bilstm_attn,train,-1,combined,619,2391,0.5954933079310092,0.6797868710043597,0.6811075284422176
esm3_top4_bilstm_attn,train,-1,consultation_dominated,4,5,0.2577651515151515,0.30749756753229324,0.30890388082313497
esm3_top4_bilstm_attn,train,-1,evidence_dominated,432,893,0.6460244275030455,0.7091798160447873,0.7108465615272093
esm3_top4_bilstm_attn,train,1,combined,929,4881,0.5957929812187015,0.702540118626094,0.7035881055919795
esm3_top4_bilstm_attn,train,1,consultation_dominated,69,83,0.5825903316714768,0.6791111001566186,0.6800110069920735
esm3_top4_bilstm_attn,train,1,evidence_dominated,115,177,0.6932954466773569,0.7604171770013293,0.7610607461627829
esm3_top4_bilstm_attn,train,1,unclassified,56,63,0.3890911608921158,0.5243723437177772,0.5256959617967819
esm3_top4_bilstm_attn,validation,-1,combined,149,528,0.5720164725557718,0.670016198570371,0.6715315716036022
esm3_top4_bilstm_attn,validation,-1,evidence_dominated,82,162,0.6771105360867659,0.7304567445072144,0.7318038690207525
esm3_top4_bilstm_attn,validation,1,combined,206,1046,0.6130550184336009,0.7253432849962049,0.7264051030555386
esm3_top4_bilstm_attn,validation,1,consultation_dominated,11,11,0.592869606470085,0.7023111908753138,0.7005489818189043
esm3_top4_bilstm_attn,validation,1,evidence_dominated,24,31,0.7586907744314773,0.805985320729571,0.8062206599843376
esm3_top4_bilstm_attn,validation,1,unclassified,10,13,0.41555868838763577,0.6009473548187472,0.6036043307833242
