condition,split,catalog_scope,sign,direction,n_protein_rows,mean_median_nearest_apex_distance,median_median_nearest_apex_distance,n_finite_median_nearest_apex_distance,mean_fraction_within_0_residues,median_fraction_within_0_residues,n_finite_fraction_within_0_residues,mean_fraction_within_2_residues,median_fraction_within_2_residues,n_finite_fraction_within_2_residues,mean_fraction_within_5_residues,median_fraction_within_5_residues,n_finite_fraction_within_5_residues,mean_fraction_within_10_residues,median_fraction_within_10_residues,n_finite_fraction_within_10_residues,mean_source_present_target_missing,median_source_present_target_missing,n_finite_source_present_target_missing,test_set_primary
esm2_frozen_bilstm_attn,test,mean_candidate,-1,observed_to_shifted_attention,208,13.764331210191083,2.0,157,0.17325734325734324,0.0,185,0.5165874065874067,0.5,185,0.5485008085008085,0.5,185,0.5622459822459822,0.6,185,0.1346153846153846,0.0,208,True
esm2_frozen_bilstm_attn,test,mean_candidate,-1,shifted_attention_to_observed,208,7.369426751592357,1.0,157,0.20257936507936508,0.0,170,0.6696638655462185,0.75,170,0.7183776844070962,0.8571428571428571,170,0.7365289449112978,1.0,170,0.0625,0.0,208,True
esm2_frozen_bilstm_attn,test,mean_candidate,1,observed_to_shifted_attention,208,46.3562091503268,29.5,153,0.147082335565984,0.0,206,0.27850249236938046,0.2222222222222222,206,0.2872133877307612,0.25,206,0.2959223567552643,0.25,206,0.2548076923076923,0.0,208,True
esm2_frozen_bilstm_attn,test,mean_candidate,1,shifted_attention_to_observed,208,2.8986928104575163,0.5,153,0.4865649963689179,0.5,153,0.9002178649237473,1.0,153,0.9293028322440088,1.0,153,0.9309368191721134,1.0,153,0.0,0.0,208,True
esm2_frozen_bilstm_attn,test,seed_stable,-1,observed_to_shifted_attention,208,17.421641791044777,3.75,134,0.16335598043931376,0.0,180,0.4378823953823954,0.5,180,0.45490219656886327,0.5,180,0.4584736251402919,0.5,180,0.22115384615384615,0.0,208,True
esm2_frozen_bilstm_attn,test,seed_stable,-1,shifted_attention_to_observed,208,5.813432835820896,1.0,134,0.24379826254826253,0.0,148,0.7195972758472758,0.8571428571428571,148,0.7556038181038179,1.0,148,0.7617975117975118,1.0,148,0.0673076923076923,0.0,208,True
esm2_frozen_bilstm_attn,test,seed_stable,1,observed_to_shifted_attention,208,55.75,39.0,126,0.11740129853519946,0.0,204,0.20689671096017848,0.14285714285714285,204,0.21393647130876234,0.16666666666666666,204,0.21760127056179684,0.16666666666666666,204,0.375,0.0,208,True
esm2_frozen_bilstm_attn,test,seed_stable,1,shifted_attention_to_observed,208,1.8888888888888888,0.5,126,0.49841269841269836,0.5,126,0.9210317460317461,1.0,126,0.9593915343915344,1.0,126,0.9593915343915344,1.0,126,0.0,0.0,208,True
esm2_top28_bilstm_attn,test,mean_candidate,-1,observed_to_shifted_attention,208,19.52980132450331,5.0,151,0.15276573681746097,0.0,174,0.44540087945260354,0.4,174,0.5217033126515884,0.5,174,0.5440988609092058,0.5,174,0.11057692307692307,0.0,208,True
esm2_top28_bilstm_attn,test,mean_candidate,-1,shifted_attention_to_observed,208,5.105960264900662,1.5,151,0.21013730645632486,0.0,163,0.6635845749342681,0.75,163,0.7920245398773007,1.0,163,0.8238241308793454,1.0,163,0.057692307692307696,0.0,208,True
esm2_top28_bilstm_attn,test,mean_candidate,1,observed_to_shifted_attention,208,42.30681818181818,25.75,132,0.0769232380044737,0.0,207,0.21456103230893464,0.16666666666666666,207,0.22274098842367338,0.18181818181818182,207,0.2327392630958611,0.2,207,0.3605769230769231,0.0,208,True
esm2_top28_bilstm_attn,test,mean_candidate,1,shifted_attention_to_observed,208,1.7916666666666667,1.0,132,0.32321729196729193,0.25,132,0.8906265031265032,1.0,132,0.9304292929292929,1.0,132,0.945580808080808,1.0,132,0.0,0.0,208,True
