condition,split,catalog_scope,sign,n_protein_rows,mean_jaccard,median_jaccard,n_finite_jaccard,mean_dice,median_dice,n_finite_dice,mean_fraction_observed_residues_covered_by_shifted_attention,median_fraction_observed_residues_covered_by_shifted_attention,n_finite_fraction_observed_residues_covered_by_shifted_attention,mean_fraction_shifted_attention_residues_covered_by_observed,median_fraction_shifted_attention_residues_covered_by_observed,n_finite_fraction_shifted_attention_residues_covered_by_observed,mean_observed_band_residue_coverage,median_observed_band_residue_coverage,n_finite_observed_band_residue_coverage,mean_shifted_attention_band_residue_coverage,median_shifted_attention_band_residue_coverage,n_finite_shifted_attention_band_residue_coverage,mean_observed_minus_shifted_attention_band_residue_coverage,median_observed_minus_shifted_attention_band_residue_coverage,n_finite_observed_minus_shifted_attention_band_residue_coverage,mean_observed_minus_shifted_attention_n_bands,median_observed_minus_shifted_attention_n_bands,n_finite_observed_minus_shifted_attention_n_bands,test_set_primary
esm2_frozen_bilstm_attn,test,mean_candidate,-1,208,0.3568794395465105,0.36363636363636365,198,0.46852293224221675,0.5333333333333333,198,0.526555940934316,0.5357142857142857,185,0.6008174835425041,0.6666666666666666,170,0.08068219722944733,0.08316044260027662,208,0.06696451719128042,0.06550437298612481,208,0.013717680038166903,0.00975258044930176,208,0.8173076923076923,1.0,208,True
esm2_frozen_bilstm_attn,test,mean_candidate,1,208,0.2222732226789846,0.19523809523809524,206,0.31798182901171335,0.32666666666666666,206,0.26535216151187335,0.2011904761904762,206,0.7321884990781097,0.75,153,0.10610140120423596,0.10301477238468496,208,0.037848078393212345,0.028039832285115304,208,0.0682533228110236,0.06932013201320132,208,3.9423076923076925,3.0,208,True
esm2_frozen_bilstm_attn,test,seed_stable,-1,208,0.3009420045446699,0.29411764705882354,194,0.3993460081066868,0.45454545454545453,194,0.42884728548486484,0.45454545454545453,180,0.6195762608093583,0.6899038461538461,148,0.07182973808241767,0.07380174291938998,208,0.0445390930989284,0.03973529297103427,208,0.027290644983489272,0.024065925582831556,208,1.2692307692307692,1.0,208,True
esm2_frozen_bilstm_attn,test,seed_stable,1,208,0.16333319200025584,0.12,204,0.24183638335148275,0.21428571428571427,204,0.19681261359749425,0.12701612903225806,204,0.737134733615089,0.75,126,0.09881861946999998,0.09370279456193353,208,0.02515642187978362,0.016374765436511483,208,0.07366219759021636,0.07091694183388367,208,4.081730769230769,4.0,208,True
esm2_top28_bilstm_attn,test,mean_candidate,-1,208,0.37004655958979926,0.36602870813397126,186,0.48240679248231666,0.5358974358974359,186,0.5059405122614025,0.5086206896551724,174,0.6499311789051789,0.7230769230769231,163,0.09292686818763612,0.0959255664638471,208,0.0704933213227131,0.05794029323441088,208,0.022433546864923024,0.018318242790073776,208,1.2932692307692308,1.0,208,True
esm2_top28_bilstm_attn,test,mean_candidate,1,208,0.18462300495021042,0.1388888888888889,207,0.27173163997297123,0.24390243902439024,207,0.21759628307366352,0.16,207,0.7268235364619623,0.7272727272727273,132,0.13451353885511463,0.13627520339582594,208,0.04822625153123031,0.02915454648483246,208,0.08628728732388433,0.08793752543752545,208,4.5625,3.5,208,True
esm2_top28_bilstm_attn,test,seed_stable,-1,208,0.31981687298047456,0.29411764705882354,181,0.4230231266145692,0.45454545454545453,181,0.4182337624756497,0.3684210526315789,173,0.6581870824564812,0.7333333333333333,148,0.09013384392828963,0.09336616290258674,208,0.054614081320765444,0.042609351432880846,208,0.03551976260752419,0.03449780504575025,208,1.6538461538461537,1.0,208,True
esm2_top28_bilstm_attn,test,seed_stable,1,208,0.14490567553805037,0.09803921568627451,207,0.21713666920989766,0.17857142857142858,207,0.16614304827138468,0.1,207,0.7425519029638297,0.75,117,0.12831314856090284,0.13099343185550083,208,0.0341238822028158,0.014934045059481487,208,0.09418926635808701,0.09669273800890915,208,4.730769230769231,4.0,208,True
esm2_top4_bilstm_attn,test,mean_candidate,-1,208,0.4019885322936673,0.42857142857142855,194,0.5161598694278567,0.6,194,0.5602837490012041,0.5555555555555556,180,0.6276644008205586,0.7142857142857143,181,0.10552388879641651,0.10327813156771962,208,0.08854146142805594,0.0685926853010708,208,0.016982427368360586,0.009251336898395721,208,1.0144230769230769,1.0,208,True
esm2_top4_bilstm_attn,test,mean_candidate,1,208,0.21003732801016894,0.18181818181818182,207,0.302967903500112,0.3076923076923077,207,0.2624604791997893,0.19230769230769232,207,0.6836298732265703,0.7,140,0.12759233966777705,0.12214397496087637,208,0.059061160690673395,0.03900329605318759,208,0.06853117897710365,0.07746138996138996,208,4.302884615384615,3.0,208,True
esm2_top4_bilstm_attn,test,seed_stable,-1,208,0.3326802113483001,0.3125,187,0.43888702720260897,0.47619047619047616,187,0.4399090203213614,0.3870967741935484,179,0.65783093616706,0.7142857142857143,159,0.10170132896614732,0.09675658818025885,208,0.06524615608636918,0.047171677215189875,208,0.03645517287977815,0.030570017354158326,208,1.5673076923076923,1.0,208,True
esm2_top4_bilstm_attn,test,seed_stable,1,208,0.1395603355237114,0.08333333333333333,207,0.20888287531258007,0.15384615384615385,207,0.1680101064166953,0.08888888888888889,207,0.6763080564406787,0.7,113,0.12415019416632486,0.1167943291003158,208,0.034311464936802795,0.0151001401510014,208,0.08983872922952206,0.0877017571925334,208,4.75,4.0,208,True
esm3_frozen_bilstm_attn,test,mean_candidate,-1,208,0.39415228343691056,0.3921430582934385,194,0.5232069926890732,0.563353676256902,194,0.6196851060819769,0.6597938144329897,183,0.5417319829474857,0.5862068965517241,189,0.09962233487431178,0.10077201478935582,208,0.10258661015439505,0.1,208,-0.0029642752800832536,-0.006185803686824025,208,0.14903846153846154,0.0,208,True
