condition,split,catalog_scope,sign,n_protein_rows,mean_mean_matched_interval_iou,median_mean_matched_interval_iou,n_finite_mean_matched_interval_iou,mean_median_matched_interval_iou,median_median_matched_interval_iou,n_finite_median_matched_interval_iou,mean_observed_only_bands,median_observed_only_bands,n_finite_observed_only_bands,mean_shifted_attention_only_bands,median_shifted_attention_only_bands,n_finite_shifted_attention_only_bands,mean_fraction_observed_iou_ge_0_25,median_fraction_observed_iou_ge_0_25,n_finite_fraction_observed_iou_ge_0_25,mean_fraction_shifted_attention_iou_ge_0_25,median_fraction_shifted_attention_iou_ge_0_25,n_finite_fraction_shifted_attention_iou_ge_0_25,mean_fraction_observed_iou_ge_0_5,median_fraction_observed_iou_ge_0_5,n_finite_fraction_observed_iou_ge_0_5,mean_fraction_shifted_attention_iou_ge_0_5,median_fraction_shifted_attention_iou_ge_0_5,n_finite_fraction_shifted_attention_iou_ge_0_5,mean_fraction_observed_iou_ge_0_75,median_fraction_observed_iou_ge_0_75,n_finite_fraction_observed_iou_ge_0_75,mean_fraction_shifted_attention_iou_ge_0_75,median_fraction_shifted_attention_iou_ge_0_75,n_finite_fraction_shifted_attention_iou_ge_0_75,test_set_primary
esm2_frozen_bilstm_attn,test,mean_candidate,-1,208,0.7439761500856291,0.75,152,0.7453906177750788,0.75,152,1.4903846153846154,1.0,208,0.6730769230769231,0.0,208,0.559002739002739,0.6,185,0.731234827264239,1.0,170,0.5441679041679042,0.5,185,0.7118650793650794,0.8,170,0.3052950202950203,0.2,185,0.385515873015873,0.3333333333333333,170,True
esm2_frozen_bilstm_attn,test,mean_candidate,1,208,0.7427985209235209,0.75,148,0.7420229076479077,0.75,148,4.048076923076923,3.0,208,0.10576923076923077,0.0,208,0.2866065916142564,0.25,206,0.9271241830065361,1.0,153,0.28166553752271684,0.25,206,0.9154684095860566,1.0,153,0.162655709276813,0.10555555555555556,206,0.5372912127814088,0.5,153,True
esm2_frozen_bilstm_attn,test,seed_stable,-1,208,0.7597774975411851,0.7569444444444444,131,0.7613946255560534,0.7569444444444444,131,1.7019230769230769,1.0,208,0.4326923076923077,0.0,208,0.4573625140291807,0.5,180,0.7617975117975118,1.0,148,0.44958473625140294,0.5,180,0.7512601887601886,1.0,148,0.26200336700336696,0.16666666666666666,180,0.4382373444873445,0.5,148,True
esm2_frozen_bilstm_attn,test,seed_stable,1,208,0.7279106878306878,0.7333333333333333,125,0.7253873015873015,0.7166666666666667,125,4.139423076923077,4.0,208,0.057692307692307696,0.0,208,0.21393647130876234,0.16666666666666666,204,0.9593915343915344,1.0,126,0.21288605114069512,0.16666666666666666,204,0.9554232804232804,1.0,126,0.11157174295719188,0.0,204,0.4884920634920635,0.5,126,True
esm2_top28_bilstm_attn,test,mean_candidate,-1,208,0.7037673216249588,0.7142857142857143,145,0.7056748940680548,0.7142857142857143,145,1.5913461538461537,1.0,208,0.2980769230769231,0.0,208,0.5413621340345478,0.5,174,0.8179959100204498,1.0,163,0.49219455512558963,0.5,174,0.7371165644171779,1.0,163,0.23790688876895774,0.14285714285714285,174,0.36241600934852475,0.3333333333333333,163,True
esm2_top28_bilstm_attn,test,mean_candidate,1,208,0.725436865323229,0.7194444444444446,132,0.7260384712089257,0.7142857142857143,132,4.6875,4.0,208,0.125,0.0,208,0.22555902385040447,0.18181818181818182,207,0.9367424242424243,1.0,132,0.21410727109430389,0.16666666666666666,207,0.8940235690235689,1.0,132,0.11047749909496667,0.0,207,0.45379389129389125,0.5,132,True
esm2_top28_bilstm_attn,test,seed_stable,-1,208,0.6987360961109693,0.7142857142857143,131,0.7021398014856557,0.7142857142857143,131,1.8509615384615385,1.0,208,0.1971153846153846,0.0,208,0.4553487456666646,0.5,173,0.8381595881595881,1.0,148,0.4097092374549022,0.375,173,0.7452541827541828,1.0,148,0.18748444875612505,0.0,173,0.33827220077220077,0.25,148,True
esm2_top28_bilstm_attn,test,seed_stable,1,208,0.729514608669473,0.7413095238095239,116,0.7301099881918846,0.7416666666666667,116,4.802884615384615,4.0,208,0.07211538461538461,0.0,208,0.17155943421928077,0.1111111111111111,207,0.9491452991452991,1.0,117,0.16165030148406107,0.08333333333333333,207,0.9016280016280016,1.0,117,0.08496265070220739,0.0,207,0.49181929181929185,0.5,117,True
esm2_top4_bilstm_attn,test,mean_candidate,-1,208,0.7186439475019046,0.7142857142857143,158,0.721620893344464,0.7142857142857143,158,1.4759615384615385,1.0,208,0.46153846153846156,0.0,208,0.595186988936989,0.6666666666666666,180,0.770406910462159,1.0,181,0.5601292688792688,0.5,180,0.7227571691660091,1.0,181,0.29299182299182297,0.25,180,0.3809743050074542,0.3333333333333333,181,True
esm2_top4_bilstm_attn,test,mean_candidate,1,208,0.6750218549744166,0.6845238095238095,137,0.6815102577876301,0.6833333333333333,137,4.413461538461538,4.0,208,0.11057692307692307,0.0,208,0.2796008741660916,0.25,207,0.9391323953823955,1.0,140,0.25423746945486075,0.2,207,0.8544498556998558,1.0,140,0.11533911606375374,0.0,207,0.38826659451659445,0.3333333333333333,140,True
