condition,split,catalog_scope,sign,analysis_component,metric,estimate_equal_protein_mean,bootstrap_ci_lower_95,bootstrap_ci_upper_95,n_protein_rows,n_finite_protein_rows,n_bootstrap,test_set_primary,direction
esm2_frozen_bilstm_attn,test,mean_candidate,-1,hungarian_interval_iou,fraction_observed_iou_ge_0_25,0.559002739002739,0.5081143452538583,0.6081445577181748,208,185,2000,True,
esm2_frozen_bilstm_attn,test,seed_stable,-1,hungarian_interval_iou,fraction_observed_iou_ge_0_25,0.4573625140291807,0.4043599562494828,0.5093854620508111,208,180,2000,True,
esm2_frozen_bilstm_attn,test,mean_candidate,-1,hungarian_interval_iou,fraction_observed_iou_ge_0_5,0.5441679041679042,0.4935738979029312,0.5936349886452342,208,185,2000,True,
esm2_frozen_bilstm_attn,test,seed_stable,-1,hungarian_interval_iou,fraction_observed_iou_ge_0_5,0.44958473625140294,0.39801731793898854,0.5016007295173962,208,180,2000,True,
esm2_frozen_bilstm_attn,test,mean_candidate,-1,hungarian_interval_iou,fraction_observed_iou_ge_0_75,0.3052950202950203,0.25770325452492393,0.3519151349091824,208,185,2000,True,
esm2_frozen_bilstm_attn,test,seed_stable,-1,hungarian_interval_iou,fraction_observed_iou_ge_0_75,0.26200336700336696,0.21817991205491205,0.3087479197581657,208,180,2000,True,
esm2_frozen_bilstm_attn,test,mean_candidate,-1,hungarian_interval_iou,fraction_shifted_attention_iou_ge_0_25,0.731234827264239,0.6810293965813591,0.78110521889969,208,170,2000,True,
esm2_frozen_bilstm_attn,test,seed_stable,-1,hungarian_interval_iou,fraction_shifted_attention_iou_ge_0_25,0.7617975117975118,0.7068717790146362,0.8156608253681591,208,148,2000,True,
esm2_frozen_bilstm_attn,test,mean_candidate,-1,hungarian_interval_iou,fraction_shifted_attention_iou_ge_0_5,0.7118650793650794,0.6610199069465185,0.7621349117330547,208,170,2000,True,
esm2_frozen_bilstm_attn,test,seed_stable,-1,hungarian_interval_iou,fraction_shifted_attention_iou_ge_0_5,0.7512601887601886,0.6957999788508205,0.805606427379583,208,148,2000,True,
esm2_frozen_bilstm_attn,test,mean_candidate,-1,hungarian_interval_iou,fraction_shifted_attention_iou_ge_0_75,0.385515873015873,0.3338167547662105,0.43931713659533794,208,170,2000,True,
esm2_frozen_bilstm_attn,test,seed_stable,-1,hungarian_interval_iou,fraction_shifted_attention_iou_ge_0_75,0.4382373444873445,0.37869046814563084,0.49959963903443233,208,148,2000,True,
esm2_frozen_bilstm_attn,test,mean_candidate,-1,hungarian_interval_iou,mean_matched_interval_iou,0.7439761500856291,0.7260136987647526,0.7615121039778804,208,152,2000,True,
esm2_frozen_bilstm_attn,test,seed_stable,-1,hungarian_interval_iou,mean_matched_interval_iou,0.7597774975411851,0.7409329118376675,0.7784917997340468,208,131,2000,True,
esm2_frozen_bilstm_attn,test,mean_candidate,-1,hungarian_interval_iou,median_matched_interval_iou,0.7453906177750788,0.7255109234903074,0.7644862238706758,208,152,2000,True,
esm2_frozen_bilstm_attn,test,seed_stable,-1,hungarian_interval_iou,median_matched_interval_iou,0.7613946255560534,0.7426054465271144,0.7804757192693845,208,131,2000,True,
esm2_frozen_bilstm_attn,test,mean_candidate,-1,hungarian_interval_iou,observed_only_bands,1.4903846153846154,1.2596153846153846,1.7259615384615385,208,208,2000,True,
esm2_frozen_bilstm_attn,test,seed_stable,-1,hungarian_interval_iou,observed_only_bands,1.7019230769230769,1.4567307692307692,1.9567307692307692,208,208,2000,True,
esm2_frozen_bilstm_attn,test,mean_candidate,-1,hungarian_interval_iou,shifted_attention_only_bands,0.6730769230769231,0.5240384615384616,0.8221153846153846,208,208,2000,True,
