condition,split,sign,n_protein_rows,mean_observed_mean_candidate_bands,median_observed_mean_candidate_bands,n_finite_observed_mean_candidate_bands,mean_shifted_attention_mean_candidate_bands,median_shifted_attention_mean_candidate_bands,n_finite_shifted_attention_mean_candidate_bands,mean_observed_fraction_supported_2of3,median_observed_fraction_supported_2of3,n_finite_observed_fraction_supported_2of3,mean_shifted_attention_fraction_supported_2of3,median_shifted_attention_fraction_supported_2of3,n_finite_shifted_attention_fraction_supported_2of3,mean_observed_fraction_supported_3of3,median_observed_fraction_supported_3of3,n_finite_observed_fraction_supported_3of3,mean_shifted_attention_fraction_supported_3of3,median_shifted_attention_fraction_supported_3of3,n_finite_shifted_attention_fraction_supported_3of3,mean_observed_minus_shifted_attention_mean_candidate_bands,median_observed_minus_shifted_attention_mean_candidate_bands,n_finite_observed_minus_shifted_attention_mean_candidate_bands,mean_observed_minus_shifted_attention_fraction_supported_2of3,median_observed_minus_shifted_attention_fraction_supported_2of3,n_finite_observed_minus_shifted_attention_fraction_supported_2of3,mean_observed_minus_shifted_attention_fraction_supported_3of3,median_observed_minus_shifted_attention_fraction_supported_3of3,n_finite_observed_minus_shifted_attention_fraction_supported_3of3,test_set_primary
esm2_frozen_bilstm_attn,test,-1,208,3.3701923076923075,3.0,208,2.5528846153846154,2.0,208,0.9223642573642574,1.0,185,0.7037745098039215,0.775,170,0.6798392748392749,0.75,185,0.2365686274509804,0.0,170,0.8173076923076923,1.0,208,0.22746743702157718,0.13333333333333341,157,0.450341396042033,0.5,157,True
esm2_frozen_bilstm_attn,test,1,208,5.4326923076923075,5.0,208,1.4903846153846154,1.0,208,0.9322400630653059,1.0,206,0.6870370370370371,1.0,153,0.6882942222428681,0.6923076923076923,206,0.22545388525780685,0.0,153,3.9423076923076925,3.0,208,0.25520581451954005,0.0,153,0.48871009928801457,0.5368421052631578,153,True
esm2_top28_bilstm_attn,test,-1,208,3.2788461538461537,3.0,208,1.9855769230769231,2.0,208,0.9755382229520161,1.0,174,0.7820479111890155,1.0,163,0.8335777090087435,1.0,174,0.2599912357581069,0.0,163,1.2932692307692308,1.0,208,0.18191947860822033,0.0,151,0.5814389620681011,0.6666666666666666,151,True
esm2_top28_bilstm_attn,test,1,208,5.9951923076923075,5.0,208,1.4326923076923077,1.0,208,0.960705236368852,1.0,207,0.71509139009139,0.788888888888889,132,0.7923169263005266,0.8125,207,0.21538299663299662,0.0,132,4.5625,3.5,208,0.2527695992648146,0.0,132,0.5673977917129831,0.6547619047619048,132,True
esm2_top4_bilstm_attn,test,-1,208,3.5240384615384617,3.0,208,2.5096153846153846,2.0,208,0.9701274651274651,1.0,180,0.7141936332544067,0.8,181,0.8834273288439957,1.0,180,0.27556125580987456,0.0,181,1.0144230769230769,1.0,208,0.24962412836664336,0.16666666666666674,167,0.6123173566287339,0.6666666666666667,167,True
esm2_top4_bilstm_attn,test,1,208,6.033653846153846,5.0,208,1.7307692307692308,1.0,208,0.979983214584664,1.0,207,0.6567027417027417,0.75,140,0.8597791097791095,0.875,207,0.21546536796536797,0.0,140,4.302884615384615,3.0,208,0.3280493415314844,0.25,140,0.6463189984618556,0.75,140,True
esm3_frozen_bilstm_attn,test,-1,208,3.7451923076923075,3.0,208,3.5961538461538463,3.0,208,0.9539528777233695,1.0,183,0.6313709658947754,0.6666666666666666,189,0.7298759528267725,0.8,183,0.18756995503027252,0.0,189,0.14903846153846154,0.0,208,0.3038067269808843,0.33333333333333337,178,0.5334264674152315,0.5773809523809523,178,True
esm3_frozen_bilstm_attn,test,1,208,5.956730769230769,5.0,208,2.014423076923077,2.0,208,0.908406797174913,1.0,207,0.545471808355244,0.5,163,0.5530990346207738,0.5,207,0.09192229038854806,0.0,163,3.9423076923076925,3.0,208,0.3636145722035292,0.33333333333333337,163,0.45837613306938463,0.5,163,True
esm3_top28_bilstm_attn,test,-1,208,3.673076923076923,3.0,208,3.4038461538461537,3.0,208,0.9792138033850741,1.0,181,0.5687037075780531,0.5555555555555556,191,0.7845455496007984,0.9,181,0.17375379129305826,0.0,191,0.2692307692307692,0.0,208,0.3762516875888969,0.375,172,0.6037738585703702,0.6666666666666666,172,True
esm3_top28_bilstm_attn,test,1,208,6.081730769230769,5.0,208,1.5480769230769231,1.0,208,0.8852711117317867,1.0,203,0.45917366946778715,0.5,136,0.5909627956284913,0.6,203,0.08764005602240897,0.0,136,4.533653846153846,4.0,208,0.41827921788596073,0.4166666666666667,136,0.528964594752361,0.6,136,True
esm3_top4_bilstm_attn,test,-1,208,3.576923076923077,3.0,208,3.168269230769231,2.0,208,0.9580625678940287,1.0,178,0.6593326322139881,0.6666666666666666,177,0.758571266436435,0.8333333333333334,178,0.21410044757502383,0.0,177,0.40865384615384615,0.0,208,0.29857679583289337,0.2857142857142857,164,0.5520116232006477,0.6666666666666666,164,True
esm3_top4_bilstm_attn,test,1,208,5.774038461538462,5.0,208,1.6298076923076923,1.0,208,0.903498833959999,1.0,206,0.4954081632653062,0.5,140,0.6175978628331941,0.6666666666666666,206,0.0832936507936508,0.0,140,4.144230769230769,4.0,208,0.41037613180470317,0.4642857142857143,140,0.5496950383984546,0.6,140,True
