condition,seed,split,sign,label,n_protein_rows,weighting,mean_pearson_observed_uniform,n_finite_pearson_observed_uniform,mean_spearman_observed_uniform,n_finite_spearman_observed_uniform,mean_pearson_observed_shifted_attention,n_finite_pearson_observed_shifted_attention,mean_spearman_observed_shifted_attention,n_finite_spearman_observed_shifted_attention,mean_same_sign_top_decile_overlap_shifted_attention,n_finite_same_sign_top_decile_overlap_shifted_attention,mean_pearson_complete_absolute_magnitude,n_finite_pearson_complete_absolute_magnitude,mean_same_sign_top_decile_overlap,n_finite_same_sign_top_decile_overlap,mean_top_5pct_jaccard,n_finite_top_5pct_jaccard,mean_top_10pct_jaccard,n_finite_top_10pct_jaccard,mean_mean_high_influence_rank_displacement,n_finite_mean_high_influence_rank_displacement,mean_median_high_influence_rank_displacement,n_finite_median_high_influence_rank_displacement,mean_mean_high_influence_rank_displacement_normalized,n_finite_mean_high_influence_rank_displacement_normalized,mean_g_fraction_gt_1,n_finite_g_fraction_gt_1,mean_g_fraction_lt_1,n_finite_g_fraction_lt_1,mean_g_fraction_isclose_1,n_finite_g_fraction_isclose_1,mean_g_minimum,n_finite_g_minimum,mean_g_median,n_finite_g_median,mean_g_mean,n_finite_g_mean,mean_g_maximum,n_finite_g_maximum,mean_pearson_abs_evidence_g,n_finite_pearson_abs_evidence_g,mean_spearman_abs_evidence_g,n_finite_spearman_abs_evidence_g
esm2_frozen_bilstm_attn,mean_1_2_3,test,-1,rigidity_supporting,208,equal protein weighting,0.9373322135758323,208,0.9954258582603347,208,0.763824587529482,208,0.8945419116777894,208,0.4740966334626572,208,0.8508278916339064,208,0.8956111192623629,208,0.777787867976007,208,0.8224833207459693,208,2.127539597029505,208,1.5673076923076923,208,0.01840284813688787,208,0.18594766643362437,208,0.8140523335663753,208,0.0,208,0.6362186150247745,208,0.7373217966322463,208,0.8318828879524506,208,1.744191847643098,208,0.6368659911770813,208,0.5102501740704656,208
esm2_frozen_bilstm_attn,mean_1_2_3,test,1,flexibility_supporting,208,equal protein weighting,0.9174999189384613,208,0.9907708527819944,208,0.737272053675238,208,0.8853930548162029,208,0.4849902804066248,208,0.8508278916339064,208,0.866806562658199,208,0.7589664405677143,208,0.7770414788249969,208,2.2688699855291343,208,1.7427884615384615,208,0.020073810479178132,208,0.4902641633914786,208,0.5097358366085214,208,0.0,208,0.6786702698324611,208,0.9842019093621975,208,1.1476129185240578,208,3.1018338394157277,208,0.8889869616236642,208,0.921847490085587,208
esm2_top28_bilstm_attn,mean_1_2_3,test,-1,rigidity_supporting,208,equal protein weighting,0.9479768041916442,208,0.9993841938646335,208,0.7262096353184856,208,0.86508269308176,208,0.4024408256192873,208,0.8873149266746727,208,0.984373126214285,208,0.9586867286810725,208,0.9717142380759525,208,0.28920298542633893,208,0.13942307692307693,208,0.002515894496279002,208,0.22935115641720877,208,0.7706488435827901,208,0.0,208,0.5716335899338354,208,0.6847478022735649,208,0.823109692763548,208,1.7198226509760557,208,0.8672375164519075,208,0.863431941704264,208
esm2_top28_bilstm_attn,mean_1_2_3,test,1,flexibility_supporting,208,equal protein weighting,0.9131906699243,208,0.9985859540710843,208,0.6717045928821975,208,0.8356236881591097,208,0.36680451585626617,208,0.8873149266746727,208,0.9714166082868044,208,0.9295677016548054,208,0.9496617139438539,208,0.48165933402865674,208,0.2764423076923077,208,0.0042852057572008995,208,0.4539315347989793,208,0.5460684652010206,208,0.0,208,0.5926033366728615,208,0.933155999554564,208,1.1336161444652544,208,3.0067654789238127,208,0.9176517474679907,208,0.9951650685863893,208
esm2_top4_bilstm_attn,mean_1_2_3,test,-1,rigidity_supporting,208,equal protein weighting,0.949077640046853,208,0.9995465130387134,208,0.7292536807922497,208,0.8814166458750677,208,0.4140408530352265,208,0.8519151891751622,208,0.9825459874216048,208,0.9479375513877772,208,0.9694367661175605,208,0.2814778189305937,208,0.12980769230769232,208,0.0030665894066694453,208,0.20075266725126867,208,0.7992473327487318,208,0.0,208,0.5885305295421113,208,0.6773012173193238,208,0.7977951754832072,208,1.6443118092824873,208,0.7587466926501831,208,0.6969601679927225,208
esm2_top4_bilstm_attn,mean_1_2_3,test,1,flexibility_supporting,208,equal protein weighting,0.8976024011749641,207,0.9993328717769376,207,0.6499865513414856,207,0.8506755436328802,207,0.38373892846028873,207,0.8519151891751622,208,0.9769014285999835,207,0.9504967120909148,207,0.958038521307997,207,0.4376878218367617,207,0.2922705314009662,207,0.003639959876601039,207,0.4618016135661965,207,0.5381983864338036,207,0.0,207,0.6207725034029175,207,0.9390479263147686,207,1.1649375329445517,207,3.6123843173325443,207,0.9074720935553465,207,0.9966281525282815,207
esm3_frozen_bilstm_attn,mean_1_2_3,test,-1,rigidity_supporting,208,equal protein weighting,0.9119496183416568,208,0.996186193903021,208,0.6154475120870391,208,0.834498646825889,208,0.3759493612672227,208,0.7672560706875587,208,0.9263226713184352,208,0.8490594053950713,208,0.8757204043928445,208,1.3487258973254503,208,0.9855769230769231,208,0.011728748378240063,208,0.16658399015527817,208,0.8334160098447219,208,0.0,208,0.4966241527888485,208,0.5948645597091877,208,0.7330801998414247,208,1.9968439106589175,208,0.6261538188259507,208,0.5129674387263711,208
esm3_frozen_bilstm_attn,mean_1_2_3,test,1,flexibility_supporting,208,equal protein weighting,0.8682242489328037,207,0.9871827693804663,207,0.575721675228802,207,0.8175797060130006,207,0.3711173264851063,207,0.7672560706875587,208,0.876144259522811,207,0.7416096632812573,207,0.794145517075806,207,2.190786392478275,207,1.6642512077294687,207,0.02023564428142691,207,0.4693557851762167,207,0.5306442148237833,207,0.0,207,0.5467204358652737,207,0.9484947706879583,207,1.2509496126162394,207,4.846845505053131,207,0.8818289780633116,207,0.9635804056237297,207
esm3_top28_bilstm_attn,mean_1_2_3,test,-1,rigidity_supporting,208,equal protein weighting,0.9345669592689286,208,0.9975344314400856,208,0.6392952675831283,208,0.8403454130330387,208,0.36647278214555806,208,0.7627554746332377,208,0.9474767987598638,208,0.8543692390749011,208,0.9073490626929056,208,1.2449652783019363,208,0.9567307692307693,208,0.009607990736553149,208,0.1791223951368852,208,0.8208776048631148,208,0.0,208,0.5230637936570603,208,0.6200861258620046,208,0.7466706831768837,208,1.6610076113259613,208,0.6895195160302927,208,0.5916529459767846,208
esm3_top28_bilstm_attn,mean_1_2_3,test,1,flexibility_supporting,208,equal protein weighting,0.8681578381126681,208,0.9912146800600902,208,0.5735445012610394,208,0.8209780624127805,208,0.3688172220675587,208,0.7627554746332377,208,0.9152930153946196,208,0.8098104688717781,208,0.8558854641660347,208,1.4781429964223138,208,1.0961538461538463,208,0.014302800023782205,208,0.4992810057242064,208,0.5007189942757936,208,0.0,208,0.5684440075212756,208,0.9838394259028201,208,1.2712217088088893,208,5.048773909037641,208,0.8820783546740143,208,0.972038893999663,208
