condition,split,catalog_scope,sign,direction,n_protein_rows,mean_median_nearest_apex_distance,median_median_nearest_apex_distance,n_finite_median_nearest_apex_distance,mean_fraction_within_0_residues,median_fraction_within_0_residues,n_finite_fraction_within_0_residues,mean_fraction_within_2_residues,median_fraction_within_2_residues,n_finite_fraction_within_2_residues,mean_fraction_within_5_residues,median_fraction_within_5_residues,n_finite_fraction_within_5_residues,mean_fraction_within_10_residues,median_fraction_within_10_residues,n_finite_fraction_within_10_residues,mean_source_present_target_missing,median_source_present_target_missing,n_finite_source_present_target_missing,test_set_primary
esm2_frozen_bilstm_attn,test,mean_candidate,-1,observed_to_uniform,208,23.394736842105264,0.0,114,0.3908878658878659,0.25,185,0.42026815526815525,0.3333333333333333,185,0.4229708579708579,0.3333333333333333,185,0.42357145857145856,0.3333333333333333,185,0.34134615384615385,0.0,208,True
esm2_frozen_bilstm_attn,test,mean_candidate,-1,uniform_to_observed,208,1.1842105263157894,0.0,114,0.8218546708300806,1.0,122,0.8810499609679938,1.0,122,0.8851483216237315,1.0,122,0.8851483216237315,1.0,122,0.038461538461538464,0.0,208,True
esm2_frozen_bilstm_attn,test,mean_candidate,1,observed_to_uniform,208,58.76923076923077,34.25,78,0.13734138455650974,0.0,206,0.14980671049270944,0.0,206,0.14980671049270944,0.0,206,0.1531026728906136,0.0,206,0.6153846153846154,1.0,208,True
esm2_frozen_bilstm_attn,test,mean_candidate,1,uniform_to_observed,208,0.5192307692307693,0.0,78,0.9209401709401709,1.0,78,0.9871794871794872,1.0,78,0.9871794871794872,1.0,78,0.9871794871794872,1.0,78,0.0,0.0,208,True
esm2_frozen_bilstm_attn,test,seed_stable,-1,observed_to_uniform,208,24.580952380952382,0.0,105,0.36843795093795095,0.225,180,0.3960880631713965,0.25,180,0.39886584094917427,0.25,180,0.39886584094917427,0.25,180,0.3605769230769231,0.0,208,True
esm2_frozen_bilstm_attn,test,seed_stable,-1,uniform_to_observed,208,1.223809523809524,0.0,105,0.8351048752834467,1.0,112,0.8920068027210883,1.0,112,0.896471088435374,1.0,112,0.896471088435374,1.0,112,0.03365384615384615,0.0,208,True
esm2_frozen_bilstm_attn,test,seed_stable,1,observed_to_uniform,208,57.149253731343286,34.5,67,0.1271562358636662,0.0,204,0.13867584370680344,0.0,204,0.13867584370680344,0.0,204,0.1420508048023528,0.0,204,0.6586538461538461,1.0,208,True
esm2_frozen_bilstm_attn,test,seed_stable,1,uniform_to_observed,208,1.4104477611940298,0.0,67,0.9129353233830846,1.0,67,0.9701492537313433,1.0,67,0.9701492537313433,1.0,67,0.9701492537313433,1.0,67,0.0,0.0,208,True
esm2_top28_bilstm_attn,test,mean_candidate,-1,observed_to_uniform,208,23.055555555555557,0.0,72,0.27177377220480664,0.0,174,0.2751262626262626,0.0,174,0.2779998258446534,0.0,174,0.27895768025078366,0.0,174,0.49038461538461536,0.0,208,True
esm2_top28_bilstm_attn,test,mean_candidate,-1,uniform_to_observed,208,0.4861111111111111,0.0,72,0.9288888888888888,1.0,75,0.94,1.0,75,0.9466666666666667,1.0,75,0.9466666666666667,1.0,75,0.014423076923076924,0.0,208,True
esm2_top28_bilstm_attn,test,mean_candidate,1,observed_to_uniform,208,36.38333333333333,20.5,30,0.056709003556829646,0.0,207,0.0585205977597282,0.0,207,0.0585205977597282,0.0,207,0.05912446249402771,0.0,207,0.8509615384615384,1.0,208,True
esm2_top28_bilstm_attn,test,mean_candidate,1,uniform_to_observed,208,1.3166666666666667,0.0,30,0.9619047619047619,1.0,30,0.975,1.0,30,0.975,1.0,30,0.975,1.0,30,0.0,0.0,208,True
esm2_top28_bilstm_attn,test,seed_stable,-1,observed_to_uniform,208,25.7265625,0.0,64,0.23919458832753632,0.0,173,0.2425664573063417,0.0,173,0.2454566307167463,0.0,173,0.2454566307167463,0.0,173,0.5240384615384616,1.0,208,True
esm2_top28_bilstm_attn,test,seed_stable,-1,uniform_to_observed,208,1.1796875,0.0,64,0.9635416666666666,1.0,64,0.9765625,1.0,64,0.984375,1.0,64,0.984375,1.0,64,0.0,0.0,208,True
esm2_top28_bilstm_attn,test,seed_stable,1,observed_to_uniform,208,40.38,19.0,25,0.04597135955831608,0.0,207,0.047869220151828845,0.0,207,0.047869220151828845,0.0,207,0.04855935127674258,0.0,207,0.875,1.0,208,True
esm2_top28_bilstm_attn,test,seed_stable,1,uniform_to_observed,208,1.44,0.0,25,0.9533333333333335,1.0,25,0.9733333333333333,1.0,25,0.9733333333333333,1.0,25,0.9733333333333333,1.0,25,0.0,0.0,208,True
esm2_top4_bilstm_attn,test,mean_candidate,-1,observed_to_uniform,208,22.69047619047619,0.0,105,0.37975388808722144,0.3333333333333333,180,0.38551667468334133,0.3333333333333333,180,0.38551667468334133,0.3333333333333333,180,0.38551667468334133,0.3333333333333333,180,0.3605769230769231,0.0,208,True
