condition,split,catalog_scope,sign,n_protein_rows,mean_mean_matched_interval_iou,median_mean_matched_interval_iou,n_finite_mean_matched_interval_iou,mean_median_matched_interval_iou,median_median_matched_interval_iou,n_finite_median_matched_interval_iou,mean_observed_only_bands,median_observed_only_bands,n_finite_observed_only_bands,mean_uniform_only_bands,median_uniform_only_bands,n_finite_uniform_only_bands,mean_fraction_observed_iou_ge_0_25,median_fraction_observed_iou_ge_0_25,n_finite_fraction_observed_iou_ge_0_25,mean_fraction_uniform_iou_ge_0_25,median_fraction_uniform_iou_ge_0_25,n_finite_fraction_uniform_iou_ge_0_25,mean_fraction_observed_iou_ge_0_5,median_fraction_observed_iou_ge_0_5,n_finite_fraction_observed_iou_ge_0_5,mean_fraction_uniform_iou_ge_0_5,median_fraction_uniform_iou_ge_0_5,n_finite_fraction_uniform_iou_ge_0_5,mean_fraction_observed_iou_ge_0_75,median_fraction_observed_iou_ge_0_75,n_finite_fraction_observed_iou_ge_0_75,mean_fraction_uniform_iou_ge_0_75,median_fraction_uniform_iou_ge_0_75,n_finite_fraction_uniform_iou_ge_0_75,test_set_primary
esm2_frozen_bilstm_attn,test,mean_candidate,-1,208,0.7123470806780797,0.7,114,0.7098708211866105,0.7,114,2.019230769230769,1.0,208,0.16346153846153846,0.0,208,0.4229708579708579,0.3333333333333333,185,0.8851483216237315,1.0,122,0.41195393195393193,0.2857142857142857,185,0.8512649918387624,1.0,122,0.18715155715155715,0.0,185,0.30028682610649826,0.0,122,True
esm2_frozen_bilstm_attn,test,mean_candidate,1,208,0.6720526387193054,0.6634920634920635,78,0.670940170940171,0.6666666666666666,78,4.798076923076923,4.0,208,0.014423076923076924,0.0,208,0.14980671049270944,0.0,206,0.9871794871794872,1.0,78,0.1464086522402823,0.0,206,0.967948717948718,1.0,78,0.061201648944367394,0.0,206,0.29957264957264956,0.0,78,True
esm2_frozen_bilstm_attn,test,seed_stable,-1,208,0.7157856031252057,0.7098268398268399,105,0.7146860382070466,0.7142857142857143,105,1.9807692307692308,1.0,208,0.125,0.0,208,0.39886584094917427,0.25,180,0.896471088435374,1.0,112,0.3880479397146063,0.25,180,0.8718820861678004,1.0,112,0.17168951418951417,0.0,180,0.30461309523809527,0.0,112,True
esm2_frozen_bilstm_attn,test,seed_stable,1,208,0.6627344877344878,0.6261904761904762,66,0.6612794612794612,0.6190476190476191,66,4.552884615384615,4.0,208,0.019230769230769232,0.0,208,0.13867584370680344,0.0,204,0.9701492537313433,1.0,67,0.13524447115778385,0.0,204,0.9477611940298507,1.0,67,0.05300342359165888,0.0,204,0.24427860696517414,0.0,67,True
esm2_top28_bilstm_attn,test,mean_candidate,-1,208,0.6918589884120772,0.6918290043290043,72,0.6911289839565289,0.6918290043290043,72,2.548076923076923,2.0,208,0.028846153846153848,0.0,208,0.2779998258446534,0.0,174,0.9466666666666667,1.0,75,0.27416840822013233,0.0,174,0.9355555555555556,1.0,75,0.09119914249224594,0.0,174,0.27955555555555556,0.0,75,True
esm2_top28_bilstm_attn,test,mean_candidate,1,208,0.6260097001763668,0.625,30,0.628399470899471,0.625,30,5.735576923076923,5.0,208,0.014423076923076924,0.0,208,0.0585205977597282,0.0,207,0.975,1.0,30,0.05460985471855037,0.0,207,0.9444444444444444,1.0,30,0.005118472509776857,0.0,207,0.09285714285714285,0.0,30,True
esm2_top28_bilstm_attn,test,seed_stable,-1,208,0.6871215466226779,0.6889880952380952,64,0.6875128919438799,0.6904761904761905,64,2.5625,2.0,208,0.009615384615384616,0.0,208,0.2454566307167463,0.0,173,0.984375,1.0,64,0.24121770971481954,0.0,173,0.9703125,1.0,64,0.08195017891549683,0.0,173,0.28098958333333335,0.0,64,True
esm2_top28_bilstm_attn,test,seed_stable,1,208,0.6371984126984127,0.6349206349206349,25,0.6386507936507936,0.6571428571428571,25,5.543269230769231,4.5,208,0.009615384615384616,0.0,208,0.047869220151828845,0.0,207,0.9733333333333333,1.0,25,0.044648608235564755,0.0,207,0.9466666666666665,1.0,25,0.005291005291005292,0.0,207,0.11333333333333333,0.0,25,True
esm2_top4_bilstm_attn,test,mean_candidate,-1,208,0.6859563768095274,0.6753246753246753,105,0.6879384380014633,0.6753246753246753,105,2.355769230769231,2.0,208,0.052884615384615384,0.0,208,0.38551667468334133,0.3333333333333333,180,0.9439393939393939,1.0,110,0.372156886323553,0.275,180,0.9196969696969698,1.0,110,0.1083008658008658,0.0,180,0.22303030303030302,0.0,110,True
esm2_top4_bilstm_attn,test,mean_candidate,1,208,0.5992006060256666,0.5966666666666666,59,0.5981314354195709,0.6,59,5.4951923076923075,5.0,208,0.014423076923076924,0.0,208,0.11848260435216956,0.0,207,0.981638418079096,1.0,59,0.10525892518646142,0.0,207,0.8882566585956416,1.0,59,0.03089591567852437,0.0,207,0.15653753026634382,0.0,59,True
esm2_top4_bilstm_attn,test,seed_stable,-1,208,0.680268687330704,0.6696428571428572,99,0.683439316839495,0.6696428571428572,99,2.3653846153846154,2.0,208,0.052884615384615384,0.0,208,0.35442493570985184,0.2,179,0.939102564102564,1.0,104,0.3409905116609027,0.2,179,0.9134615384615384,1.0,104,0.08718429305021484,0.0,179,0.19793956043956046,0.0,104,True
esm2_top4_bilstm_attn,test,seed_stable,1,208,0.6092455570745045,0.6,57,0.6077010708589654,0.6,57,5.418269230769231,5.0,208,0.004807692307692308,0.0,208,0.10738741934394108,0.0,207,0.9824561403508771,1.0,57,0.09904066679429,0.0,207,0.9175438596491228,1.0,57,0.03089591567852437,0.0,207,0.17163742690058478,0.0,57,True
esm3_frozen_bilstm_attn,test,mean_candidate,-1,208,0.6377694175336199,0.6367243867243868,121,0.6342522425599729,0.625,121,1.8701923076923077,1.0,208,0.1201923076923077,0.0,208,0.5213995627930054,0.6,183,0.9257142857142858,1.0,125,0.4732727048300818,0.5,183,0.8372952380952381,1.0,125,0.10201026963322045,0.0,183,0.1891015873015873,0.0,125,True
esm3_frozen_bilstm_attn,test,mean_candidate,1,208,0.5730809156829565,0.5714285714285714,49,0.5731133095929014,0.5714285714285714,49,5.490384615384615,5.0,208,0.009615384615384616,0.0,208,0.0852782617275371,0.0,207,0.9906462585034013,1.0,49,0.06973951973951974,0.0,207,0.7219387755102041,1.0,49,0.018133195307108347,0.0,207,0.16326530612244897,0.0,49,True
esm3_frozen_bilstm_attn,test,seed_stable,-1,208,0.6306258422140935,0.6256613756613757,111,0.6275962613260503,0.625,111,1.9759615384615385,1.0,208,0.1201923076923077,0.0,208,0.47070757945757946,0.5,180,0.9253312629399586,1.0,115,0.4240803949137283,0.4,180,0.823008971704624,1.0,115,0.08176780010113344,0.0,180,0.1614182194616977,0.0,115,True
esm3_frozen_bilstm_attn,test,seed_stable,1,208,0.5499454866121534,0.5142857142857142,36,0.5531134760301426,0.5142857142857142,36,5.081730769230769,5.0,208,0.004807692307692308,0.0,208,0.0549549425763018,0.0,206,0.9953703703703705,1.0,36,0.04340235007710736,0.0,206,0.6666666666666665,1.0,36,0.010256588072122054,0.0,206,0.13055555555555556,0.0,36,True
esm3_top28_bilstm_attn,test,mean_candidate,-1,208,0.6677403671958173,0.6660714285714285,98,0.665096264926961,0.6666666666666666,98,2.389423076923077,2.0,208,0.11057692307692307,0.0,208,0.39116739613977175,0.16666666666666666,181,0.9248397435897436,1.0,104,0.3802468249982062,0.16666666666666666,181,0.9001602564102564,1.0,104,0.10819600902473832,0.0,181,0.21945970695970696,0.0,104,True
esm3_top28_bilstm_attn,test,mean_candidate,1,208,0.5502102659245517,0.5472222222222222,35,0.5549886621315192,0.55,35,5.8173076923076925,5.0,208,0.004807692307692308,0.0,208,0.055905998763141625,0.0,203,0.9857142857142858,1.0,35,0.04656985051073721,0.0,203,0.7523809523809524,1.0,35,0.013957307060755337,0.0,203,0.14489795918367346,0.0,35,True
esm3_top28_bilstm_attn,test,seed_stable,-1,208,0.6610372816852462,0.6625152625152625,89,0.6577692777262594,0.6527777777777778,89,2.5096153846153846,2.0,208,0.11057692307692307,0.0,208,0.3403256774090107,0.0,180,0.9234929078014185,1.0,94,0.3306715969215969,0.0,180,0.8988475177304965,1.0,94,0.07991462241462241,0.0,180,0.19489614994934146,0.0,94,True
esm3_top28_bilstm_attn,test,seed_stable,1,208,0.5693104514533087,0.538888888888889,28,0.5715136054421769,0.538888888888889,28,5.168269230769231,5.0,208,0.0,0.0,208,0.052677090736792234,0.0,201,1.0,1.0,28,0.045960672826344466,0.0,201,0.8214285714285714,1.0,28,0.013432835820895524,0.0,201,0.18112244897959182,0.0,28,True
esm3_top4_bilstm_attn,test,mean_candidate,-1,208,0.6660136369535794,0.6521683673469387,108,0.6680206751771078,0.6630681818181818,108,2.1538461538461537,2.0,208,0.10576923076923077,0.0,208,0.4212670444412018,0.3333333333333333,178,0.9265873015873016,1.0,114,0.3977982067869708,0.3333333333333333,178,0.8744778613199666,1.0,114,0.10571444784927932,0.0,178,0.2285226956279588,0.0,114,True
esm3_top4_bilstm_attn,test,mean_candidate,1,208,0.5675166024965795,0.5714285714285714,46,0.5658030946932548,0.5714285714285714,46,5.375,5.0,208,0.004807692307692308,0.0,208,0.08625297478188995,0.0,206,0.9891304347826086,1.0,46,0.06796205588417492,0.0,206,0.717391304347826,1.0,46,0.01650125295650834,0.0,206,0.15362318840579708,0.0,46,True
esm3_top4_bilstm_attn,test,seed_stable,-1,208,0.6570484472892263,0.6458333333333333,101,0.6578538798790231,0.6458333333333333,101,2.2163461538461537,2.0,208,0.125,0.0,208,0.3888803768017251,0.25,178,0.9191032487761459,1.0,107,0.3699576016991747,0.2111111111111111,178,0.8778037383177572,1.0,107,0.08861933946203608,0.0,178,0.2028630766948524,0.0,107,True
esm3_top4_bilstm_attn,test,seed_stable,1,208,0.5564619708994709,0.5714285714285714,40,0.5534176587301587,0.5714285714285714,40,4.903846153846154,4.0,208,0.009615384615384616,0.0,208,0.07566179950624864,0.0,206,0.975,1.0,40,0.060175627102600514,0.0,206,0.725,1.0,40,0.008578229378144954,0.0,206,0.09958333333333333,0.0,40,True
esm2_frozen_bilstm_attn,train,mean_candidate,-1,967,0.6955935227436068,0.6825396825396824,497,0.6944490636946664,0.6666666666666666,497,1.9638055842812823,1.0,967,0.22543950361944157,0.0,967,0.4287705175457065,0.36363636363636365,794,0.8553666164929901,1.0,546,0.4193732607303136,0.3333333333333333,794,0.8370372860757476,1.0,546,0.15960587481368338,0.0,794,0.25264697146565274,0.0,546,False
esm2_frozen_bilstm_attn,train,mean_candidate,1,967,0.6595384209460127,0.6666666666666666,366,0.6606539635228159,0.6666666666666666,366,4.777662874870734,4.0,967,0.008273009307135471,0.0,967,0.1455083081131177,0.0,942,0.9935336976320582,1.0,366,0.1400575693025063,0.0,942,0.9557377049180328,1.0,366,0.05490351404657471,0.0,942,0.30060499609679936,0.0,366,False
esm2_frozen_bilstm_attn,train,seed_stable,-1,967,0.6928320184243069,0.6714285714285714,471,0.6918250115226009,0.6666666666666666,471,1.9710444674250258,1.0,967,0.17993795243019647,0.0,967,0.4052392009490426,0.3333333333333333,780,0.8723550150653869,1.0,511,0.3979214439197471,0.2857142857142857,780,0.8532390581803498,1.0,511,0.14345454047377124,0.0,780,0.23902323486472213,0.0,511,False
esm2_frozen_bilstm_attn,train,seed_stable,1,967,0.6621491255057271,0.6666666666666666,330,0.6635774410774411,0.6666666666666666,330,4.533609100310238,4.0,967,0.009307135470527405,0.0,967,0.13054545146189867,0.0,938,0.9885040160642571,1.0,332,0.12714955217047696,0.0,938,0.9568775100401606,1.0,332,0.04837349507241902,0.0,938,0.3069420539300058,0.0,332,False
esm2_frozen_bilstm_attn,validation,mean_candidate,-1,208,0.7004596711774582,0.6904761904761905,102,0.7017234671646435,0.6666666666666666,102,2.139423076923077,2.0,208,0.125,0.0,208,0.39862484422143507,0.31666666666666665,176,0.8640350877192983,1.0,114,0.3903163124754034,0.31666666666666665,176,0.8447368421052632,1.0,114,0.16180658041453497,0.0,176,0.2777568922305764,0.0,114,False
esm2_frozen_bilstm_attn,validation,mean_candidate,1,208,0.6390844260409478,0.625,69,0.6424545663676099,0.625,69,5.038461538461538,4.0,208,0.009615384615384616,0.0,208,0.11757108856623419,0.0,206,0.9903381642512077,1.0,69,0.11473371558323016,0.0,206,0.9420289855072463,1.0,69,0.040364166577758806,0.0,206,0.25603864734299514,0.0,69,False
esm2_frozen_bilstm_attn,validation,seed_stable,-1,208,0.6929328262241796,0.6875,95,0.6915003417634997,0.6666666666666666,95,2.105769230769231,2.0,208,0.1201923076923077,0.0,208,0.3654187606773813,0.18333333333333335,174,0.8598130841121495,1.0,107,0.3575962830273175,0.18333333333333335,174,0.8356697819314641,1.0,107,0.13787692192864606,0.0,174,0.24964396973742764,0.0,107,False
esm2_frozen_bilstm_attn,validation,seed_stable,1,208,0.6325937950937951,0.6220238095238095,66,0.6339886964886964,0.6095238095238096,66,4.783653846153846,4.0,208,0.014423076923076924,0.0,208,0.11172584158021051,0.0,206,0.9823232323232323,1.0,66,0.10877644469877479,0.0,206,0.9292929292929292,1.0,66,0.032501155802126674,0.0,206,0.21717171717171715,0.0,66,False
esm2_top28_bilstm_attn,train,mean_candidate,-1,967,0.6719298074960387,0.6666666666666666,237,0.6718321575806299,0.6666666666666666,237,2.6277145811789038,2.0,967,0.022750775594622543,0.0,967,0.18624045976163037,0.0,803,0.9382470119521913,1.0,251,0.18192079990025195,0.0,803,0.9214095996964523,1.0,251,0.04731030350582032,0.0,803,0.20372018419827184,0.0,251,False
esm2_top28_bilstm_attn,train,mean_candidate,1,967,0.6081270179594029,0.6239697802197802,100,0.6085823407301668,0.624465811965812,100,5.4095139607032054,4.0,967,0.011375387797311272,0.0,967,0.05522048209747891,0.0,939,0.9389438943894389,1.0,101,0.050418456528680176,0.0,939,0.8632013201320132,1.0,101,0.007309336622435663,0.0,939,0.10044004400440043,0.0,101,False
esm2_top28_bilstm_attn,train,seed_stable,-1,967,0.6638023019745287,0.6666666666666666,200,0.6633361929084959,0.6666666666666666,200,2.6194415718717683,2.0,967,0.017580144777662874,0.0,967,0.1571394007149083,0.0,788,0.9444444444444443,1.0,210,0.15348739845884515,0.0,788,0.9265873015873015,1.0,210,0.03644858736863813,0.0,788,0.17783068783068784,0.0,210,False
esm2_top28_bilstm_attn,train,seed_stable,1,967,0.6032893154102923,0.625,77,0.6039463946225663,0.625,77,5.156153050672182,4.0,967,0.007238883143743537,0.0,967,0.03730481041371599,0.0,932,0.9335470085470085,1.0,78,0.03310751450504669,0.0,932,0.8583333333333334,1.0,78,0.0052238087377572354,0.0,932,0.08183760683760684,0.0,78,False
esm2_top28_bilstm_attn,validation,mean_candidate,-1,208,0.6712192133543172,0.6537067099567099,62,0.671873412798839,0.6666666666666666,62,2.7259615384615383,2.0,208,0.04807692307692308,0.0,208,0.20872205198047894,0.0,178,0.9274725274725275,1.0,65,0.20029508568834412,0.0,178,0.9021978021978021,1.0,65,0.05407749242018904,0.0,178,0.20399267399267398,0.0,65,False
