condition,split,catalog_scope,sign,analysis_component,metric,estimate_equal_protein_mean,bootstrap_ci_lower_95,bootstrap_ci_upper_95,n_protein_rows,n_finite_protein_rows,n_bootstrap,test_set_primary,direction
esm2_frozen_bilstm_attn,test,mean_candidate,-1,hungarian_interval_iou,fraction_observed_iou_ge_0_25,0.4229708579708579,0.36417426750862714,0.484938477008274,208,185,2000,True,
esm2_frozen_bilstm_attn,test,seed_stable,-1,hungarian_interval_iou,fraction_observed_iou_ge_0_25,0.39886584094917427,0.33754322203270826,0.4566981989973794,208,180,2000,True,
esm2_frozen_bilstm_attn,test,mean_candidate,-1,hungarian_interval_iou,fraction_observed_iou_ge_0_5,0.41195393195393193,0.3525062232335841,0.4746621612854528,208,185,2000,True,
esm2_frozen_bilstm_attn,test,seed_stable,-1,hungarian_interval_iou,fraction_observed_iou_ge_0_5,0.3880479397146063,0.3256601703446265,0.4441130889713345,208,180,2000,True,
esm2_frozen_bilstm_attn,test,mean_candidate,-1,hungarian_interval_iou,fraction_observed_iou_ge_0_75,0.18715155715155715,0.13862704433201903,0.23883193249599421,208,185,2000,True,
esm2_frozen_bilstm_attn,test,seed_stable,-1,hungarian_interval_iou,fraction_observed_iou_ge_0_75,0.17168951418951417,0.12549975778858202,0.21887455343721315,208,180,2000,True,
esm2_frozen_bilstm_attn,test,mean_candidate,-1,hungarian_interval_iou,fraction_uniform_iou_ge_0_25,0.8851483216237315,0.8328225302441855,0.9310049528583363,208,122,2000,True,
esm2_frozen_bilstm_attn,test,seed_stable,-1,hungarian_interval_iou,fraction_uniform_iou_ge_0_25,0.896471088435374,0.8432002992453812,0.9409957884814206,208,112,2000,True,
esm2_frozen_bilstm_attn,test,mean_candidate,-1,hungarian_interval_iou,fraction_uniform_iou_ge_0_5,0.8512649918387624,0.7941891075129507,0.9013486297246275,208,122,2000,True,
esm2_frozen_bilstm_attn,test,seed_stable,-1,hungarian_interval_iou,fraction_uniform_iou_ge_0_5,0.8718820861678004,0.8134860248447205,0.9210675166895571,208,112,2000,True,
esm2_frozen_bilstm_attn,test,mean_candidate,-1,hungarian_interval_iou,fraction_uniform_iou_ge_0_75,0.30028682610649826,0.23503108241056028,0.372137091543514,208,122,2000,True,
esm2_frozen_bilstm_attn,test,seed_stable,-1,hungarian_interval_iou,fraction_uniform_iou_ge_0_75,0.30461309523809527,0.23134740259740263,0.37888768934223477,208,112,2000,True,
esm2_frozen_bilstm_attn,test,mean_candidate,-1,hungarian_interval_iou,mean_matched_interval_iou,0.7123470806780797,0.6900468849332911,0.7357455525055062,208,114,2000,True,
esm2_frozen_bilstm_attn,test,seed_stable,-1,hungarian_interval_iou,mean_matched_interval_iou,0.7157856031252057,0.6926889149099469,0.7386651851068583,208,105,2000,True,
esm2_frozen_bilstm_attn,test,mean_candidate,-1,hungarian_interval_iou,median_matched_interval_iou,0.7098708211866105,0.6881256929680163,0.7326872198661964,208,114,2000,True,
esm2_frozen_bilstm_attn,test,seed_stable,-1,hungarian_interval_iou,median_matched_interval_iou,0.7146860382070466,0.6919507235371591,0.7371880920891636,208,105,2000,True,
esm2_frozen_bilstm_attn,test,mean_candidate,-1,hungarian_interval_iou,observed_only_bands,2.019230769230769,1.7259615384615385,2.3365384615384617,208,208,2000,True,
esm2_frozen_bilstm_attn,test,seed_stable,-1,hungarian_interval_iou,observed_only_bands,1.9807692307692308,1.6971153846153846,2.298076923076923,208,208,2000,True,
esm2_frozen_bilstm_attn,test,mean_candidate,-1,hungarian_interval_iou,uniform_only_bands,0.16346153846153846,0.09615384615384616,0.23557692307692307,208,208,2000,True,
esm2_frozen_bilstm_attn,test,seed_stable,-1,hungarian_interval_iou,uniform_only_bands,0.125,0.07211538461538461,0.19230769230769232,208,208,2000,True,
esm2_frozen_bilstm_attn,test,mean_candidate,1,hungarian_interval_iou,fraction_observed_iou_ge_0_25,0.14980671049270944,0.11493027454974158,0.18798505531259743,208,206,2000,True,
esm2_frozen_bilstm_attn,test,seed_stable,1,hungarian_interval_iou,fraction_observed_iou_ge_0_25,0.13867584370680344,0.10290047326871876,0.17527431131655694,208,204,2000,True,
esm2_frozen_bilstm_attn,test,mean_candidate,1,hungarian_interval_iou,fraction_observed_iou_ge_0_5,0.1464086522402823,0.11293352585956527,0.18298951509092448,208,206,2000,True,
esm2_frozen_bilstm_attn,test,seed_stable,1,hungarian_interval_iou,fraction_observed_iou_ge_0_5,0.13524447115778385,0.09868296371290329,0.17150485890596223,208,204,2000,True,
esm2_frozen_bilstm_attn,test,mean_candidate,1,hungarian_interval_iou,fraction_observed_iou_ge_0_75,0.061201648944367394,0.03775169165266549,0.08633196435901944,208,206,2000,True,
esm2_frozen_bilstm_attn,test,seed_stable,1,hungarian_interval_iou,fraction_observed_iou_ge_0_75,0.05300342359165888,0.029375230387721593,0.07910039878020174,208,204,2000,True,
esm2_frozen_bilstm_attn,test,mean_candidate,1,hungarian_interval_iou,fraction_uniform_iou_ge_0_25,0.9871794871794872,0.9661835748792269,1.0,208,78,2000,True,
esm2_frozen_bilstm_attn,test,seed_stable,1,hungarian_interval_iou,fraction_uniform_iou_ge_0_25,0.9701492537313433,0.9292846497764532,1.0,208,67,2000,True,
esm2_frozen_bilstm_attn,test,mean_candidate,1,hungarian_interval_iou,fraction_uniform_iou_ge_0_5,0.967948717948718,0.9307353227297046,0.9953067944705267,208,78,2000,True,
esm2_frozen_bilstm_attn,test,seed_stable,1,hungarian_interval_iou,fraction_uniform_iou_ge_0_5,0.9477611940298507,0.8961277173913044,0.989249035015164,208,67,2000,True,
esm2_frozen_bilstm_attn,test,mean_candidate,1,hungarian_interval_iou,fraction_uniform_iou_ge_0_75,0.29957264957264956,0.2103798701298701,0.3903714859437751,208,78,2000,True,
esm2_frozen_bilstm_attn,test,seed_stable,1,hungarian_interval_iou,fraction_uniform_iou_ge_0_75,0.24427860696517414,0.15632915011436138,0.3342561640587954,208,67,2000,True,
esm2_frozen_bilstm_attn,test,mean_candidate,1,hungarian_interval_iou,mean_matched_interval_iou,0.6720526387193054,0.6459074578102425,0.6987361027392672,208,78,2000,True,
esm2_frozen_bilstm_attn,test,seed_stable,1,hungarian_interval_iou,mean_matched_interval_iou,0.6627344877344878,0.6323213893594332,0.6918789007901911,208,66,2000,True,
esm2_frozen_bilstm_attn,test,mean_candidate,1,hungarian_interval_iou,median_matched_interval_iou,0.670940170940171,0.6448254141087327,0.696818714473209,208,78,2000,True,
esm2_frozen_bilstm_attn,test,seed_stable,1,hungarian_interval_iou,median_matched_interval_iou,0.6612794612794612,0.6312207671310537,0.6901768151087594,208,66,2000,True,
esm2_frozen_bilstm_attn,test,mean_candidate,1,hungarian_interval_iou,observed_only_bands,4.798076923076923,4.336538461538462,5.264423076923077,208,208,2000,True,
esm2_frozen_bilstm_attn,test,seed_stable,1,hungarian_interval_iou,observed_only_bands,4.552884615384615,4.120072115384615,5.0097355769230765,208,208,2000,True,
esm2_frozen_bilstm_attn,test,mean_candidate,1,hungarian_interval_iou,uniform_only_bands,0.014423076923076924,0.0,0.038461538461538464,208,208,2000,True,
esm2_frozen_bilstm_attn,test,seed_stable,1,hungarian_interval_iou,uniform_only_bands,0.019230769230769232,0.0,0.04326923076923077,208,208,2000,True,
esm2_top28_bilstm_attn,test,mean_candidate,-1,hungarian_interval_iou,fraction_observed_iou_ge_0_25,0.2779998258446534,0.21999992334054835,0.33477275061158224,208,174,2000,True,
esm2_top28_bilstm_attn,test,seed_stable,-1,hungarian_interval_iou,fraction_observed_iou_ge_0_25,0.2454566307167463,0.19353307300071776,0.3020654126683019,208,173,2000,True,
esm2_top28_bilstm_attn,test,mean_candidate,-1,hungarian_interval_iou,fraction_observed_iou_ge_0_5,0.27416840822013233,0.21709631641411162,0.3304930801077914,208,174,2000,True,
esm2_top28_bilstm_attn,test,seed_stable,-1,hungarian_interval_iou,fraction_observed_iou_ge_0_5,0.24121770971481954,0.1889169881174071,0.2976841173211709,208,173,2000,True,
esm2_top28_bilstm_attn,test,mean_candidate,-1,hungarian_interval_iou,fraction_observed_iou_ge_0_75,0.09119914249224594,0.05691925788135538,0.13131341771681346,208,174,2000,True,
esm2_top28_bilstm_attn,test,seed_stable,-1,hungarian_interval_iou,fraction_observed_iou_ge_0_75,0.08195017891549683,0.04845549116246639,0.11956145649011046,208,173,2000,True,
esm2_top28_bilstm_attn,test,mean_candidate,-1,hungarian_interval_iou,fraction_uniform_iou_ge_0_25,0.9466666666666667,0.8974358974358975,0.9879234328618823,208,75,2000,True,
esm2_top28_bilstm_attn,test,seed_stable,-1,hungarian_interval_iou,fraction_uniform_iou_ge_0_25,0.984375,0.9603174603174603,1.0,208,64,2000,True,
esm2_top28_bilstm_attn,test,mean_candidate,-1,hungarian_interval_iou,fraction_uniform_iou_ge_0_5,0.9355555555555556,0.8850185854932691,0.9801022232587063,208,75,2000,True,
esm2_top28_bilstm_attn,test,seed_stable,-1,hungarian_interval_iou,fraction_uniform_iou_ge_0_5,0.9703125,0.9405162151067323,0.9929613890237979,208,64,2000,True,
esm2_top28_bilstm_attn,test,mean_candidate,-1,hungarian_interval_iou,fraction_uniform_iou_ge_0_75,0.27955555555555556,0.19331837606837607,0.37460231164383545,208,75,2000,True,
esm2_top28_bilstm_attn,test,seed_stable,-1,hungarian_interval_iou,fraction_uniform_iou_ge_0_75,0.28098958333333335,0.18908585858585858,0.3777800546448087,208,64,2000,True,
esm2_top28_bilstm_attn,test,mean_candidate,-1,hungarian_interval_iou,mean_matched_interval_iou,0.6918589884120772,0.6718253561519137,0.7135461781881576,208,72,2000,True,
esm2_top28_bilstm_attn,test,seed_stable,-1,hungarian_interval_iou,mean_matched_interval_iou,0.6871215466226779,0.6641776490203427,0.7097914771347895,208,64,2000,True,
esm2_top28_bilstm_attn,test,mean_candidate,-1,hungarian_interval_iou,median_matched_interval_iou,0.6911289839565289,0.6715235465842493,0.7134330151797533,208,72,2000,True,
esm2_top28_bilstm_attn,test,seed_stable,-1,hungarian_interval_iou,median_matched_interval_iou,0.6875128919438799,0.6638038697823024,0.7095093219070485,208,64,2000,True,
esm2_top28_bilstm_attn,test,mean_candidate,-1,hungarian_interval_iou,observed_only_bands,2.548076923076923,2.1875,2.9376201923076914,208,208,2000,True,
esm2_top28_bilstm_attn,test,seed_stable,-1,hungarian_interval_iou,observed_only_bands,2.5625,2.1923076923076925,2.9423076923076925,208,208,2000,True,
esm2_top28_bilstm_attn,test,mean_candidate,-1,hungarian_interval_iou,uniform_only_bands,0.028846153846153848,0.009615384615384616,0.052884615384615384,208,208,2000,True,
esm2_top28_bilstm_attn,test,seed_stable,-1,hungarian_interval_iou,uniform_only_bands,0.009615384615384616,0.0,0.02403846153846154,208,208,2000,True,
esm2_top28_bilstm_attn,test,mean_candidate,1,hungarian_interval_iou,fraction_observed_iou_ge_0_25,0.0585205977597282,0.03454514162807724,0.08401421609234767,208,207,2000,True,
esm2_top28_bilstm_attn,test,seed_stable,1,hungarian_interval_iou,fraction_observed_iou_ge_0_25,0.047869220151828845,0.027535127632783873,0.07222134055603949,208,207,2000,True,
esm2_top28_bilstm_attn,test,mean_candidate,1,hungarian_interval_iou,fraction_observed_iou_ge_0_5,0.05460985471855037,0.03212843074799596,0.07735140394084268,208,207,2000,True,
esm2_top28_bilstm_attn,test,seed_stable,1,hungarian_interval_iou,fraction_observed_iou_ge_0_5,0.044648608235564755,0.026068394590846044,0.06758920405052264,208,207,2000,True,
esm2_top28_bilstm_attn,test,mean_candidate,1,hungarian_interval_iou,fraction_observed_iou_ge_0_75,0.005118472509776857,0.0006901311249137336,0.011095700416088764,208,207,2000,True,
esm2_top28_bilstm_attn,test,seed_stable,1,hungarian_interval_iou,fraction_observed_iou_ge_0_75,0.005291005291005292,0.0006901311249137336,0.010812054290315157,208,207,2000,True,
