condition,split,sign,n_protein_rows,mean_observed_mean_candidate_bands,median_observed_mean_candidate_bands,n_finite_observed_mean_candidate_bands,mean_uniform_mean_candidate_bands,median_uniform_mean_candidate_bands,n_finite_uniform_mean_candidate_bands,mean_observed_fraction_supported_2of3,median_observed_fraction_supported_2of3,n_finite_observed_fraction_supported_2of3,mean_uniform_fraction_supported_2of3,median_uniform_fraction_supported_2of3,n_finite_uniform_fraction_supported_2of3,mean_observed_fraction_supported_3of3,median_observed_fraction_supported_3of3,n_finite_observed_fraction_supported_3of3,mean_uniform_fraction_supported_3of3,median_uniform_fraction_supported_3of3,n_finite_uniform_fraction_supported_3of3,mean_observed_minus_uniform_mean_candidate_bands,median_observed_minus_uniform_mean_candidate_bands,n_finite_observed_minus_uniform_mean_candidate_bands,mean_observed_minus_uniform_fraction_supported_2of3,median_observed_minus_uniform_fraction_supported_2of3,n_finite_observed_minus_uniform_fraction_supported_2of3,mean_observed_minus_uniform_fraction_supported_3of3,median_observed_minus_uniform_fraction_supported_3of3,n_finite_observed_minus_uniform_fraction_supported_3of3,test_set_primary
esm2_frozen_bilstm_attn,test,-1,208,3.3701923076923075,3.0,208,1.5144230769230769,1.0,208,0.9223642573642574,1.0,185,0.8423621460506706,1.0,122,0.6798392748392749,0.75,185,0.5614153833416128,0.5227272727272727,122,1.8557692307692308,1.0,208,0.0963046456467509,0.0,114,0.17880647617489723,0.06944444444444448,114,True
esm2_frozen_bilstm_attn,test,1,208,5.4326923076923075,5.0,208,0.6490384615384616,0.0,208,0.9322400630653059,1.0,206,0.8205128205128205,1.0,78,0.6882942222428681,0.6923076923076923,206,0.4583333333333333,0.3333333333333333,78,4.783653846153846,4.0,208,0.12795153564384334,0.0,78,0.2758652110372758,0.40476190476190477,78,True
esm2_top28_bilstm_attn,test,-1,208,3.2788461538461537,3.0,208,0.7596153846153846,0.0,208,0.9755382229520161,1.0,174,0.8066666666666666,1.0,75,0.8335777090087435,1.0,174,0.5606666666666668,0.5,75,2.519230769230769,2.0,208,0.1455467372134039,0.0,72,0.2747905643738977,0.025000000000000022,72,True
esm2_top28_bilstm_attn,test,1,208,5.9951923076923075,5.0,208,0.27403846153846156,0.0,208,0.960705236368852,1.0,207,0.7535714285714286,1.0,30,0.7923169263005266,0.8125,207,0.3821428571428571,0.25,30,5.721153846153846,5.0,208,0.23024481074481074,0.0,30,0.40293009768009774,0.42857142857142855,30,True
esm2_top4_bilstm_attn,test,-1,208,3.5240384615384617,3.0,208,1.2211538461538463,1.0,208,0.9701274651274651,1.0,180,0.8959848484848484,1.0,110,0.8834273288439957,1.0,180,0.6457575757575759,0.8,110,2.3028846153846154,2.0,208,0.08784889713461143,0.0,105,0.2630601937744795,0.0,105,True
esm2_top4_bilstm_attn,test,1,208,6.033653846153846,5.0,208,0.5528846153846154,0.0,208,0.979983214584664,1.0,207,0.8981436642453591,1.0,59,0.8597791097791095,0.875,207,0.5782082324455206,0.6666666666666666,59,5.480769230769231,5.0,208,0.08807040417209909,0.0,59,0.2897502685638279,0.08333333333333337,59,True
esm3_frozen_bilstm_attn,test,-1,208,3.7451923076923075,3.0,208,1.9951923076923077,1.0,208,0.9539528777233695,1.0,183,0.8469396825396827,1.0,125,0.7298759528267725,0.8,183,0.49333650793650796,0.5,125,1.75,1.0,208,0.10136727368132326,0.0,121,0.2670077626689197,0.23809523809523808,121,True
esm3_frozen_bilstm_attn,test,1,208,5.956730769230769,5.0,208,0.47596153846153844,0.0,208,0.908406797174913,1.0,207,0.5875850340136054,0.6666666666666666,49,0.5530990346207738,0.5,207,0.21683673469387754,0.0,49,5.480769230769231,5.0,208,0.31233975774792105,0.16666666666666674,49,0.31714793143364567,0.4166666666666667,49,True
esm3_top28_bilstm_attn,test,-1,208,3.673076923076923,3.0,208,1.3942307692307692,0.5,208,0.9792138033850741,1.0,181,0.8547466422466423,1.0,104,0.7845455496007984,0.9,181,0.5675900488400488,0.6125,104,2.2788461538461537,2.0,208,0.12411726595400066,0.0,98,0.2733828812910446,0.2763888888888889,98,True
esm3_top28_bilstm_attn,test,1,208,6.081730769230769,5.0,208,0.2692307692307692,0.0,208,0.8852711117317867,1.0,203,0.7523809523809524,1.0,35,0.5909627956284913,0.6,203,0.2938775510204082,0.0,35,5.8125,5.0,208,0.14474644403215833,0.0,35,0.3013945578231292,0.5,35,True
