condition,seed,split,sign,label,n_protein_rows,weighting,mean_pearson_observed_uniform,n_finite_pearson_observed_uniform,mean_spearman_observed_uniform,n_finite_spearman_observed_uniform,mean_pearson_complete_absolute_magnitude,n_finite_pearson_complete_absolute_magnitude,mean_same_sign_top_decile_overlap,n_finite_same_sign_top_decile_overlap,mean_top_5pct_jaccard,n_finite_top_5pct_jaccard,mean_top_10pct_jaccard,n_finite_top_10pct_jaccard,mean_mean_high_influence_rank_displacement,n_finite_mean_high_influence_rank_displacement,mean_median_high_influence_rank_displacement,n_finite_median_high_influence_rank_displacement,mean_mean_high_influence_rank_displacement_normalized,n_finite_mean_high_influence_rank_displacement_normalized,mean_g_fraction_gt_1,n_finite_g_fraction_gt_1,mean_g_fraction_lt_1,n_finite_g_fraction_lt_1,mean_g_fraction_isclose_1,n_finite_g_fraction_isclose_1,mean_g_minimum,n_finite_g_minimum,mean_g_median,n_finite_g_median,mean_g_mean,n_finite_g_mean,mean_g_maximum,n_finite_g_maximum,mean_pearson_abs_evidence_g,n_finite_pearson_abs_evidence_g,mean_spearman_abs_evidence_g,n_finite_spearman_abs_evidence_g
esm2_frozen_bilstm_attn,mean_1_2_3,test,-1,rigidity_supporting,208,equal protein weighting,0.9373322135758323,208,0.9954258582603347,208,0.8508278916339064,208,0.8956111192623629,208,0.777787867976007,208,0.8224833207459693,208,2.127539597029505,208,1.5673076923076923,208,0.01840284813688787,208,0.18594766643362437,208,0.8140523335663753,208,0.0,208,0.6362186150247745,208,0.7373217966322463,208,0.8318828879524506,208,1.744191847643098,208,0.6368659911770813,208,0.5102501740704656,208
esm2_frozen_bilstm_attn,mean_1_2_3,test,1,flexibility_supporting,208,equal protein weighting,0.9174999189384613,208,0.9907708527819944,208,0.8508278916339064,208,0.866806562658199,208,0.7589664405677143,208,0.7770414788249969,208,2.2688699855291343,208,1.7427884615384615,208,0.020073810479178132,208,0.4902641633914786,208,0.5097358366085214,208,0.0,208,0.6786702698324611,208,0.9842019093621975,208,1.1476129185240578,208,3.1018338394157277,208,0.8889869616236642,208,0.921847490085587,208
esm2_frozen_bilstm_attn,mean_1_2_3,train,-1,rigidity_supporting,967,equal protein weighting,0.9375660445409749,967,0.9952988775622331,967,0.8603957923770373,967,0.8962472543397829,967,0.7869505917243389,967,0.8265421876626835,967,1.9881431354479067,967,1.5139607032057911,967,0.017255645270456574,967,0.19209410346154673,967,0.8079058965384531,967,0.0,967,0.6475250577641474,967,0.750519276019636,967,0.8425768299045152,967,1.7830166764686504,967,0.658644092159996,967,0.5346770360718224,967
esm2_frozen_bilstm_attn,mean_1_2_3,train,1,flexibility_supporting,967,equal protein weighting,0.9210173582675222,967,0.99109667126648,967,0.8603957923770373,967,0.8827922737190395,967,0.7701978073619399,967,0.8053516823059541,967,2.21576486525765,967,1.720785935884178,967,0.01889338925534451,967,0.4835083024372591,967,0.5164916975627408,967,0.0,967,0.6850313687757172,967,0.9840823433935231,967,1.1402820880396238,967,3.00849789757104,967,0.8900246719572488,967,0.9268864516422338,967
esm2_frozen_bilstm_attn,mean_1_2_3,validation,-1,rigidity_supporting,208,equal protein weighting,0.9333946778515337,208,0.9949940111956462,208,0.8436526896028856,208,0.8846402765144881,208,0.7637250099897452,208,0.808457429504596,208,1.9393441623243564,208,1.5,208,0.018176236682698348,208,0.18453866955481354,208,0.8154613304451866,208,0.0,208,0.627375309765156,208,0.7313630141130165,208,0.8310021281226635,208,1.801405967837079,208,0.5998110825057823,208,0.4894878962204178,208
esm2_frozen_bilstm_attn,mean_1_2_3,validation,1,flexibility_supporting,208,equal protein weighting,0.9128475997800869,208,0.9914216991230899,208,0.8436526896028856,208,0.8928211947507809,208,0.777216199932545,208,0.8169924167123656,208,1.9985154156229006,208,1.5480769230769231,208,0.0170973200112972,208,0.4780224354963557,208,0.5219775645036443,208,0.0,208,0.6718232872756348,208,0.974210693442822,208,1.1529096031950106,208,3.269619475510597,208,0.8925417408296428,208,0.9315552158219338,208
esm2_top28_bilstm_attn,mean_1_2_3,test,-1,rigidity_supporting,208,equal protein weighting,0.9479768041916442,208,0.9993841938646335,208,0.8873149266746727,208,0.984373126214285,208,0.9586867286810725,208,0.9717142380759525,208,0.28920298542633893,208,0.13942307692307693,208,0.002515894496279002,208,0.22935115641720877,208,0.7706488435827901,208,0.0,208,0.5716335899338354,208,0.6847478022735649,208,0.823109692763548,208,1.7198226509760557,208,0.8672375164519075,208,0.863431941704264,208
esm2_top28_bilstm_attn,mean_1_2_3,test,1,flexibility_supporting,208,equal protein weighting,0.9131906699243,208,0.9985859540710843,208,0.8873149266746727,208,0.9714166082868044,208,0.9295677016548054,208,0.9496617139438539,208,0.48165933402865674,208,0.2764423076923077,208,0.0042852057572008995,208,0.4539315347989793,208,0.5460684652010206,208,0.0,208,0.5926033366728615,208,0.933155999554564,208,1.1336161444652544,208,3.0067654789238127,208,0.9176517474679907,208,0.9951650685863893,208
esm2_top28_bilstm_attn,mean_1_2_3,train,-1,rigidity_supporting,967,equal protein weighting,0.943331731226905,967,0.9969952055414585,967,0.8888980736229815,967,0.9679464415707605,967,0.94777446445071,967,0.9463770349543542,967,0.3804740037168496,967,0.2063081695966908,967,0.004849193299171967,967,0.24309197781169348,967,0.756908022188306,967,0.0,967,0.5434668712774691,967,0.6990105692491428,967,0.8316156008792913,967,1.7754547005898977,967,0.8581515502048624,967,0.8772380961184286,967
esm2_top28_bilstm_attn,mean_1_2_3,train,1,flexibility_supporting,967,equal protein weighting,0.9132322146680178,967,0.993493059006077,967,0.8888980736229815,967,0.9517129674580059,967,0.9098007119635276,967,0.9178568787496547,967,0.7283480810992248,967,0.4612202688728025,967,0.007318504341495723,967,0.4667440263076512,967,0.533251294388442,967,4.679303906750832e-06,967,0.563819020551755,967,0.9499120930663044,967,1.1278637441764394,967,2.9048677236616234,967,0.9165923922036511,967,0.9878647287914677,967
