condition,split,sign,label,target,unit_type,detection_method,n_proteins_total,n_proteins_with_target,n_proteins_with_prediction,total_target_units,total_detected_target_units,micro_coverage,macro_coverage,macro_coverage_ci95_low,macro_coverage_ci95_high,macro_precision,macro_precision_ci95_low,macro_precision_ci95_high,macro_recall,macro_recall_ci95_low,macro_recall_ci95_high,macro_specificity,macro_specificity_ci95_low,macro_specificity_ci95_high,macro_f1,macro_f1_ci95_low,macro_f1_ci95_high,macro_balanced_accuracy,macro_balanced_accuracy_ci95_low,macro_balanced_accuracy_ci95_high,macro_mcc,macro_mcc_ci95_low,macro_mcc_ci95_high,macro_target_prevalence,macro_target_prevalence_ci95_low,macro_target_prevalence_ci95_high,micro_tp,micro_fp,micro_fn,micro_tn,micro_precision,micro_recall,micro_specificity,micro_f1,micro_balanced_accuracy,micro_mcc
esm2_frozen_bilstm_attn,train,-1,rigidity_supporting,q8_loop_turn_bend_CTS,residue,apex_exact,967,967,952,92205,153,0.0016593460224499756,0.0014576793901091613,0.001162190614757128,0.0017607496988549206,0.032132342953076855,0.024893074737332672,0.04013682474174507,0.0014576793901091613,0.0011658044538629473,0.0017648775762914338,0.9567100403457791,0.9555117713389953,0.9577675145401771,0.002771434303536709,0.002209047853007293,0.00336439931331922,0.47908385986794405,0.47846513265993984,0.47966308216869813,-0.12770155601831465,-0.13050779613171087,-0.12468234349307736,0.41236833872113504,0.40455542210150436,0.41992304570815536,153.0,5637.0,92052.0,123797.0,0.026424870466321245,0.0016593460224499756,0.9564488465163713,0.0031226082963416502,0.47905409626941065,-0.1294542219682728
esm2_frozen_bilstm_attn,train,-1,rigidity_supporting,q8_loop_turn_bend_CTS,residue,band_interval,967,967,952,92205,20894,0.22660376335339733,0.1922306055472454,0.18102323706673154,0.203083679395568,0.19501973655339458,0.18390269788169153,0.20550937407818684,0.1922306055472454,0.18118762300264996,0.20347760955630623,0.4640095804545534,0.4528152613405654,0.4759373371230009,0.18586752577541657,0.17581165027214798,0.19617053690061526,0.3281200930008995,0.3236335658067544,0.33291652254507564,-0.3533263539534005,-0.36197305197512536,-0.344739241161817,0.41236833872113504,0.40439226971832964,0.41981686010237995,20894.0,70799.0,71311.0,58635.0,0.22786908488107052,0.22660376335339733,0.45301080087148665,0.22723466269344963,0.339807282112442,-0.32064512328612166
esm2_frozen_bilstm_attn,train,-1,rigidity_supporting,neq_peak,residue,apex_exact,967,967,952,16230,21,0.0012939001848428836,0.0011166505246118614,0.0005858912771143392,0.0017322766269083814,0.003360266461403655,0.001707624611679576,0.0055206546028642505,0.0011166505246118614,0.0005925040260010554,0.0017832514167335323,0.9729011236373848,0.9724142262953083,0.9733911735367706,0.0016544817684658192,0.0008731228164461834,0.002604281777588736,0.4870088870809983,0.48665793943614394,0.48742482835705214,-0.04268653373534277,-0.04373948951582196,-0.041443528608332204,0.07197259418148319,0.07107552882103199,0.0728844698344191,21.0,5769.0,16209.0,199640.0,0.003626943005181347,0.0012939001848428836,0.9719145704423857,0.0019073569482288828,0.4866042353136143,-0.043757469362370634
esm2_frozen_bilstm_attn,train,-1,rigidity_supporting,neq_peak,residue,apex_within1,967,967,952,16230,84,0.005175600739371534,0.0044849840026336945,0.003364208476786465,0.005717884764770816,0.004291911806808784,0.0031839706984576927,0.00549426127649274,0.0044849840026336945,0.0033728756375978794,0.005688665350970889,0.9187940500715281,0.9174497824340159,0.9201638979967542,0.004274634520876523,0.0032235534449098083,0.00538863649205905,0.46163951703708095,0.46078450281820804,0.4624968446561606,-0.07492089308747452,-0.07632990329312996,-0.07349785508598776,0.07197259418148319,0.07098316524145838,0.07290515305812797,84.0,17286.0,16146.0,188123.0,0.004835924006908463,0.005175600739371534,0.9158459463801488,0.005,0.46051077355976017,-0.07655551377760349
esm2_frozen_bilstm_attn,train,-1,rigidity_supporting,neq_peak,residue,apex_within2,967,967,952,16230,188,0.011583487369069624,0.010248040924932008,0.008520376198651192,0.012211739379325796,0.005968546769607314,0.004812044870038066,0.007148827734891577,0.010248040924932008,0.00830962139187376,0.012165366890362352,0.8648752953351955,0.8626045303573078,0.8672389485500269,0.007334524164635782,0.006132948790233368,0.008677753397291075,0.4375616681300637,0.4361284903970495,0.43895088256364867,-0.09725651055151228,-0.09913137396167342,-0.09537389591315691,0.07197259418148319,0.07096488684065053,0.07290186836817382,188.0,28762.0,16042.0,176647.0,0.006493955094991365,0.011583487369069624,0.8599769240880389,0.008322266489597167,0.4357802057285543,-0.09929220476345657
esm2_frozen_bilstm_attn,train,-1,rigidity_supporting,neq_peak,residue,apex_within5,967,967,952,16230,1805,0.11121380160197165,0.09739270574283981,0.09110711749530272,0.10376453737916613,0.025545113571508734,0.023933960826065793,0.027240049704623334,0.09739270574283981,0.09097527836820056,0.10426973610129066,0.709143963686353,0.7041909628378085,0.7140468819105261,0.039506986059337564,0.036855839861100775,0.04227083267652582,0.4032683347145964,0.3999696083621375,0.4064950374754845,-0.11185074092738283,-0.11546597160190714,-0.10842026686156898,0.07197259418148319,0.0710453475873311,0.0728939123755718,1805.0,61871.0,14425.0,143538.0,0.02834662981343049,0.11121380160197165,0.698791192206768,0.04517808424899256,0.40500249690436985,-0.1093819361802873
esm2_frozen_bilstm_attn,train,-1,rigidity_supporting,neq_peak,residue,band_interval,967,967,952,16230,3197,0.19698089956869994,0.1730546351329562,0.1618357126229248,0.18495028331624166,0.028710490676542494,0.027048111120276126,0.030402390713395736,0.1730546351329562,0.161477494461881,0.18461503412836824,0.5855239691109853,0.5756659867200465,0.5955613691658677,0.04775408700292337,0.04500002753964794,0.05031570530907813,0.37928930212197076,0.37531152501137954,0.38328806382182,-0.13213091328692425,-0.13615309382774424,-0.12824653662057794,0.07197259418148319,0.07105864104245818,0.0729166275404742,3197.0,88496.0,13033.0,116913.0,0.0348663474856314,0.19698089956869994,0.5691717500206904,0.059245943867386935,0.38307632479469517,-0.12369492987705037
esm2_frozen_bilstm_attn,train,-1,rigidity_supporting,q8_loop_turn_bend_CTS,segment,apex_any,967,967,0,16731,145,0.00866654712808559,0.010678837112227954,0.00812868400720485,0.013287766206538465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
esm2_frozen_bilstm_attn,train,-1,rigidity_supporting,q8_loop_turn_bend_CTS,segment,band_interval_any,967,967,0,16731,6672,0.39878070647301417,0.3592535077762672,0.3435174671369189,0.3762132417128526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
esm2_frozen_bilstm_attn,train,1,flexibility_supporting,q8_loop_turn_bend_CTS,residue,apex_exact,967,967,963,92205,5874,0.06370587278347162,0.06933154825899125,0.06780755183745671,0.07087359948518081,0.9198066954173182,0.9102899369040859,0.9288672168348775,0.06933154825899125,0.06775331621049498,0.07088879227554008,0.9961348136582883,0.9956311926599929,0.996603086801911,0.12786468504053208,0.12503528413377463,0.13074668575992676,0.5327331809586399,0.5317879834128401,0.5336402650812048,0.18381820551575906,0.17977509657097887,0.187839737209214,0.41236833872113504,0.4047959408834984,0.42029019029700687,5874.0,487.0,86331.0,128947.0,0.9234397107373055,0.06370587278347162,0.9962374646538004,0.11918917273704929,0.529971668718636,0.17696191889137175
