condition,split,metric,metric_kind,directional_hypothesis,n_paired_proteins,flex_minus_rigid_mean,flex_minus_rigid_median,sign_flip_null_mean,sign_flip_null_std,sign_flip_z,p_upper,p_lower,p_two_sided,p_upper_q_bh,p_lower_q_bh,p_two_sided_q_bh
esm2_frozen_bilstm_attn,train,neq,continuous,flexibility-supporting higher,949,0.9965782666881008,0.8901851851851856,-0.00015854403987532564,0.03772370391871636,26.422029312807005,9.999000099990002e-05,1.0,9.999000099990002e-05,0.00014116235435280002,1.0,0.00010433739234772175
esm2_frozen_bilstm_attn,train,flexible_neq_gt1,binary,flexibility-supporting higher,949,0.8307377636639868,0.9166666666666666,7.546663617718039e-05,0.028167274932544308,29.49033227449586,9.999000099990002e-05,1.0,9.999000099990002e-05,0.00014116235435280002,1.0,0.00010433739234772175
esm2_frozen_bilstm_attn,train,neq_top10_within_protein,binary,flexibility-supporting higher,949,0.34908611849059284,0.3333333333333333,0.00022529643890796427,0.013346771459062799,26.138218004384836,9.999000099990002e-05,1.0,9.999000099990002e-05,0.00014116235435280002,1.0,0.00010433739234772175
esm2_frozen_bilstm_attn,train,neq_peak,binary,flexibility-supporting higher,949,0.20362475006647923,0.19047619047619047,0.0001445254139922329,0.009178637489049055,22.168892158041682,9.999000099990002e-05,1.0,9.999000099990002e-05,0.00014116235435280002,1.0,0.00010433739234772175
esm2_frozen_bilstm_attn,train,distance_to_neq_peak,distance,flexibility-supporting lower,949,-5.6819084347959965,-5.633333333333333,-0.001367523322978124,0.2018268707251238,-28.1456125790583,1.0,9.999000099990002e-05,9.999000099990002e-05,1.0,0.00039996000399960006,0.00010433739234772175
esm2_frozen_bilstm_attn,train,distance_to_neq_top10,distance,flexibility-supporting lower,949,-4.651672508149687,-4.690476190476191,-0.0023766322284733813,0.1952476117236941,-23.812305998911246,1.0,9.999000099990002e-05,9.999000099990002e-05,1.0,0.00039996000399960006,0.00010433739234772175
esm2_frozen_bilstm_attn,train,q3_is_H,binary,two-sided,949,-0.6798157023234979,-0.75,2.398281582144861e-05,0.024403868141175854,-27.85786585988997,1.0,9.999000099990002e-05,9.999000099990002e-05,1.0,0.00039996000399960006,0.00010433739234772175
esm2_frozen_bilstm_attn,train,q3_is_E,binary,two-sided,949,-0.22413594625320282,-0.1111111111111111,0.00017512502161476528,0.012230317317299925,-18.34057657339168,1.0,9.999000099990002e-05,9.999000099990002e-05,1.0,0.00039996000399960006,0.00010433739234772175
esm2_frozen_bilstm_attn,train,q3_is_C,binary,two-sided,949,0.9039516485767007,1.0,0.00045907248183241266,0.02994591634730287,30.170810791577026,9.999000099990002e-05,1.0,9.999000099990002e-05,0.00014116235435280002,1.0,0.00010433739234772175
esm2_frozen_bilstm_attn,train,q8_is_T,binary,upper,949,0.2144747038277653,0.2,2.3932895608312797e-06,0.009484045349331503,22.614011493873956,9.999000099990002e-05,1.0,9.999000099990002e-05,0.00014116235435280002,1.0,0.00010433739234772175
