match_scheme,condition,split,sign,label,q3,covariate,matched_on_covariate,n_matched_cases,case_mean,matched_control_mean,paired_mean_difference,paired_mean_absolute_difference,standardized_mean_difference,mean_absolute_difference_over_caliper,caliper
q3_only,esm2_frozen_bilstm_attn,train,1,flexibility_supporting,H,neq,False,222,1.7529834834834834,1.1594782503053829,0.5935052331781006,0.6940126825453966,0.9813751232441793,2.7760507301815864,0.25
q3_only,esm2_frozen_bilstm_attn,train,1,flexibility_supporting,H,rsa,False,222,0.4328065197537276,0.31974373270647793,0.1130627870472496,0.19772922892682399,0.704718256251953,1.31819485951216,0.15
q3_only,esm2_frozen_bilstm_attn,train,1,flexibility_supporting,H,normalized_position,False,222,0.46756085048279716,0.5137710813245798,-0.04621023084178263,0.29472039887095663,-0.18879771429812417,1.1788815954838265,0.25
q3_only,esm2_frozen_bilstm_attn,train,-1,rigidity_supporting,H,neq,False,3963,1.0059141222979224,1.1895687449109649,-0.18365462261304238,0.19005610393198605,-1.1667348210282007,0.7602244157279442,0.25
q3_only,esm2_frozen_bilstm_attn,train,-1,rigidity_supporting,H,rsa,False,3963,0.18373302602693964,0.3114987290437198,-0.12776570301678017,0.20617997691230325,-0.8982905129624796,1.374533179415355,0.15
q3_only,esm2_frozen_bilstm_attn,train,-1,rigidity_supporting,H,normalized_position,False,3963,0.49412024849402153,0.5290356898066829,-0.034915441312661354,0.28175663695364506,-0.14930534333730075,1.1270265478145802,0.25
q3_neq,esm2_frozen_bilstm_attn,train,-1,rigidity_supporting,H,neq,True,3907,1.0034872451156045,1.0057678525723062,-0.0022806074567016422,0.0034226601825782734,-0.04951284351963638,0.013690640730313093,0.25
q3_neq,esm2_frozen_bilstm_attn,train,-1,rigidity_supporting,H,rsa,False,3907,0.1825629503346764,0.31634470589870567,-0.13378175556402935,0.21609896335893802,-0.8493535485741781,1.4406597557262535,0.15
q3_neq,esm2_frozen_bilstm_attn,train,-1,rigidity_supporting,H,normalized_position,False,3907,0.4942119297835687,0.31438083167681813,0.17983109810675055,0.3430415597580277,0.6784817344175855,1.3721662390321108,0.25
q3_neq_rsa,esm2_frozen_bilstm_attn,train,-1,rigidity_supporting,H,neq,True,3761,1.002566604626429,1.0076885875505923,-0.00512198292416318,0.006762471564891117,-0.13918993966883825,0.02704988625956447,0.25
q3_neq_rsa,esm2_frozen_bilstm_attn,train,-1,rigidity_supporting,H,rsa,True,3761,0.18286047943173647,0.19139165395842966,-0.008531174526693218,0.02506808933235112,-0.04742575858972367,0.1671205955490075,0.15
q3_neq_rsa,esm2_frozen_bilstm_attn,train,-1,rigidity_supporting,H,normalized_position,False,3761,0.4937157680564875,0.5341968038318615,-0.040481035775374076,0.29634235140819515,-0.1618258427218604,1.1853694056327806,0.25
q3_neq_rsa_position,esm2_frozen_bilstm_attn,train,-1,rigidity_supporting,H,neq,True,3085,1.0022101566720691,1.0101641004862236,-0.007953943814154497,0.009483718710606865,-0.22113154728835757,0.03793487484242746,0.25
q3_neq_rsa_position,esm2_frozen_bilstm_attn,train,-1,rigidity_supporting,H,rsa,True,3085,0.17680732882362782,0.19040668128148625,-0.013599352457858468,0.03966205749655951,-0.07781836870190978,0.2644137166437301,0.15
q3_neq_rsa_position,esm2_frozen_bilstm_attn,train,-1,rigidity_supporting,H,normalized_position,True,3085,0.5010625180173625,0.5079267190254734,-0.006864201008110907,0.09452103763719383,-0.025172911931697132,0.3780841505487753,0.25
q3_only,esm2_frozen_bilstm_attn,train,1,flexibility_supporting,C,neq,False,5998,1.9440788596198733,1.4606280006457646,0.48345085897410894,0.7831685432658967,0.6470763983629153,3.1326741730635868,0.25
q3_only,esm2_frozen_bilstm_attn,train,1,flexibility_supporting,C,rsa,False,5998,0.5115735107416702,0.4020757830023295,0.10949772773934077,0.19414400783015331,0.7007174728587832,1.2942933855343555,0.15
q3_only,esm2_frozen_bilstm_attn,train,1,flexibility_supporting,C,normalized_position,False,5998,0.4894014996216836,0.5165419214042197,-0.0271404217825361,0.3007369158656654,-0.11430969341372253,1.2029476634626617,0.25
q3_neq,esm2_frozen_bilstm_attn,train,1,flexibility_supporting,C,neq,True,5004,1.6649971356248336,1.6471347111199928,0.017862424504840574,0.046830128119726436,0.025488407879850312,0.18732051247890574,0.25
q3_neq,esm2_frozen_bilstm_attn,train,1,flexibility_supporting,C,rsa,False,5004,0.49890593868634886,0.39637789020507347,0.10252804848127536,0.209716115193471,0.585482389564622,1.3981074346231401,0.15
q3_neq,esm2_frozen_bilstm_attn,train,1,flexibility_supporting,C,normalized_position,False,5004,0.4888884908799243,0.49524975390692244,-0.006361263026998096,0.3226016777947601,-0.024059372355216373,1.2904067111790405,0.25
q3_neq_rsa,esm2_frozen_bilstm_attn,train,1,flexibility_supporting,C,neq,True,4194,1.5646891591161978,1.5409037063529911,0.023785452763206698,0.06885328246701637,0.036471444395839915,0.2754131298680655,0.25
q3_neq_rsa,esm2_frozen_bilstm_attn,train,1,flexibility_supporting,C,rsa,True,4194,0.481850432776071,0.470555961213346,0.011294471562725013,0.041546578300516376,0.057786525404673904,0.2769771886701092,0.15
q3_neq_rsa,esm2_frozen_bilstm_attn,train,1,flexibility_supporting,C,normalized_position,False,4194,0.488792129646081,0.5171572178796519,-0.02836508823357083,0.32733984223534746,-0.10409857892514915,1.3093593689413898,0.25
q3_neq_rsa_position,esm2_frozen_bilstm_attn,train,1,flexibility_supporting,C,neq,True,2957,1.442580768797204,1.418515637094653,0.024065131702551385,0.07577031338067862,0.04261677869857189,0.3030812535227145,0.25
q3_neq_rsa_position,esm2_frozen_bilstm_attn,train,1,flexibility_supporting,C,rsa,True,2957,0.4619580538830656,0.44933543694614503,0.0126226169369206,0.050801030189928965,0.06450733361299793,0.3386735345995264,0.15
q3_neq_rsa_position,esm2_frozen_bilstm_attn,train,1,flexibility_supporting,C,normalized_position,True,2957,0.49150941230435885,0.49543439196993333,-0.003924979665574432,0.10328651209655068,-0.013365365751089738,0.4131460483862027,0.25
q3_only,esm2_frozen_bilstm_attn,train,-1,rigidity_supporting,E,neq,False,1458,1.03526520347508,1.1600881590621244,-0.12482295558704445,0.17265927449916882,-0.7028509646460074,0.6906370979966753,0.25
q3_only,esm2_frozen_bilstm_attn,train,-1,rigidity_supporting,E,rsa,False,1458,0.09629911103115614,0.19839270561227001,-0.10209359458111392,0.14172918400467785,-1.053609108349853,0.9448612266978523,0.15
q3_only,esm2_frozen_bilstm_attn,train,-1,rigidity_supporting,E,normalized_position,False,1458,0.49900265332372945,0.5430655870100544,-0.04406293368632498,0.27883956722356035,-0.18507239515075016,1.1153582688942414,0.25
q3_neq,esm2_frozen_bilstm_attn,train,-1,rigidity_supporting,E,neq,True,1431,1.0227870952713718,1.0209056992002483,0.0018813960711235346,0.007163793772808444,0.01686405560333425,0.028655175091233775,0.25
q3_neq,esm2_frozen_bilstm_attn,train,-1,rigidity_supporting,E,rsa,False,1431,0.09574371089553228,0.17116462413664477,-0.0754209132411125,0.12910726115819318,-0.7119440323571284,0.8607150743879546,0.15
q3_neq,esm2_frozen_bilstm_attn,train,-1,rigidity_supporting,E,normalized_position,False,1431,0.5004535826414573,0.41339885671532495,0.08705472592613236,0.31724284922374957,0.32067181451185844,1.2689713968949983,0.25
