match_scheme,condition,split,sign,label,q3,n_proteins_with_cases,n_cases,n_matched_cases,match_rate,n_controls_selected,mean_controls_per_matched_case
q3_only,esm2_frozen_bilstm_attn,train,1,flexibility_supporting,H,186,233,222,0.9527896995708155,8484,38.21621621621622
q3_neq,esm2_frozen_bilstm_attn,train,1,flexibility_supporting,H,186,233,160,0.6866952789699571,610,3.8125
q3_neq_rsa,esm2_frozen_bilstm_attn,train,1,flexibility_supporting,H,186,233,125,0.5364806866952789,451,3.608
q3_neq_rsa_position,esm2_frozen_bilstm_attn,train,1,flexibility_supporting,H,186,233,81,0.34763948497854075,249,3.074074074074074
q3_only,esm2_frozen_bilstm_attn,train,-1,rigidity_supporting,H,876,4101,3963,0.9663496708119971,143777,36.27983850618219
q3_neq,esm2_frozen_bilstm_attn,train,-1,rigidity_supporting,H,876,4101,3907,0.9526944647646916,18783,4.8075249552086
q3_neq_rsa,esm2_frozen_bilstm_attn,train,-1,rigidity_supporting,H,876,4101,3761,0.917093391855645,16818,4.471683063015155
q3_neq_rsa_position,esm2_frozen_bilstm_attn,train,-1,rigidity_supporting,H,876,4101,3085,0.7522555474274567,11635,3.771474878444084
q3_only,esm2_frozen_bilstm_attn,train,1,flexibility_supporting,C,957,6000,5998,0.9996666666666667,288724,48.13671223741247
q3_neq,esm2_frozen_bilstm_attn,train,1,flexibility_supporting,C,957,6000,5004,0.834,20381,4.072941646682654
q3_neq_rsa,esm2_frozen_bilstm_attn,train,1,flexibility_supporting,C,957,6000,4194,0.699,14178,3.380543633762518
q3_neq_rsa_position,esm2_frozen_bilstm_attn,train,1,flexibility_supporting,C,957,6000,2957,0.49283333333333335,8077,2.7314846127832264
q3_only,esm2_frozen_bilstm_attn,train,-1,rigidity_supporting,E,521,1521,1458,0.9585798816568047,42652,29.253772290809327
q3_neq,esm2_frozen_bilstm_attn,train,-1,rigidity_supporting,E,521,1521,1431,0.9408284023668639,6833,4.7749825296995105
q3_neq_rsa,esm2_frozen_bilstm_attn,train,-1,rigidity_supporting,E,521,1521,1389,0.9132149901380671,6357,4.5766738660907125
q3_neq_rsa_position,esm2_frozen_bilstm_attn,train,-1,rigidity_supporting,E,521,1521,1152,0.757396449704142,4701,4.080729166666667
q3_only,esm2_frozen_bilstm_attn,train,-1,rigidity_supporting,C,129,168,168,1.0,8343,49.660714285714285
q3_neq,esm2_frozen_bilstm_attn,train,-1,rigidity_supporting,C,129,168,158,0.9404761904761905,721,4.563291139240507
q3_neq_rsa,esm2_frozen_bilstm_attn,train,-1,rigidity_supporting,C,129,168,142,0.8452380952380952,568,4.0
