match_scheme,condition,split,sign,label,q3,metric,metric_kind,metric_description,n_proteins,n_matched_apices,case_macro_protein_mean,matched_control_macro_protein_mean,case_minus_control_macro_mean,case_minus_control_ci95_low,case_minus_control_ci95_high,sign_flip_z,p_upper,p_lower,p_two_sided,p_upper_q_bh,p_lower_q_bh,p_two_sided_q_bh
q3_only,esm2_frozen_bilstm_attn,train,1,flexibility_supporting,H,q8_is_G,binary,Q8 G,176,222,0.3825757575757576,0.11285405336099684,0.26972170421476077,0.20039802099025886,0.3392011381597242,6.7400355286734985,9.999000099990002e-05,1.0,9.999000099990002e-05,0.0008505998715196974,1.0,0.0003674188794138338
q3_only,esm2_frozen_bilstm_attn,train,1,flexibility_supporting,H,q8_is_H,binary,Q8 H,176,222,0.5639204545454546,0.8777202935293211,-0.31379983898386676,-0.386876508494021,-0.2430855151364688,-7.292297259836911,1.0,9.999000099990002e-05,9.999000099990002e-05,1.0,0.0006190035202087268,0.0003674188794138338
q3_only,esm2_frozen_bilstm_attn,train,1,flexibility_supporting,H,q8_is_I,binary,Q8 I,176,222,0.0018939393939393938,0.0007865851566870374,0.0011073542372523563,-0.001625522053740118,0.00535735901992759,0.5563597615949958,0.5064493550644935,0.5272472752724727,1.0,1.0,1.0,1.0
q3_only,esm2_frozen_bilstm_attn,train,1,flexibility_supporting,H,q8_is_B,binary,Q8 B,176,222,0.0,0.0001893939393939394,-0.0001893939393939394,-0.0005681818181818183,0.0,-0.9894061151602036,1.0,0.5053494650534947,1.0,1.0,1.0,1.0
q3_only,esm2_frozen_bilstm_attn,train,1,flexibility_supporting,H,q8_is_E,binary,Q8 E,176,222,0.0,0.0010066610083321313,-0.0010066610083321313,-0.002228988215995235,-0.00016574334756152938,-1.8851172461820644,1.0,0.031796820317968204,0.031796820317968204,1.0,0.11998982403316827,0.07561828786006032
q3_only,esm2_frozen_bilstm_attn,train,1,flexibility_supporting,H,q8_is_S,binary,Q8 S,176,222,0.0,0.00013528138528138528,-0.00013528138528138528,-0.0004058441558441558,0.0,-0.9965559288641033,1.0,0.5017498250174982,1.0,1.0,1.0,1.0
q3_only,esm2_frozen_bilstm_attn,train,1,flexibility_supporting,H,q8_is_T,binary,Q8 T,176,222,0.04024621212121212,0.006570631925084543,0.033675580196127576,0.009018089632054973,0.06226751943439357,2.4363391012587274,0.0059994000599940004,0.9941005899410059,0.011898810118988102,0.03853266903432475,1.0,0.03135983483879729
q3_only,esm2_frozen_bilstm_attn,train,1,flexibility_supporting,H,q8_is_C,binary,Q8 C,176,222,0.011363636363636364,0.0007370996949028101,0.010626536668733554,-0.0007158909670871394,0.026523557883631147,1.5345461115307748,0.11938806119388061,0.8954104589541045,0.24367563243675633,0.5239574982431086,1.0,0.4377438227972538
q3_only,esm2_frozen_bilstm_attn,train,1,flexibility_supporting,H,q8_turn_or_bend_TS,binary,Q8 turn or bend (T/S),176,222,0.04024621212121212,0.006705913310365927,0.03354029881084619,0.009281348712795586,0.06263242262785827,2.453794867077363,0.005499450054994501,0.9946005399460054,0.010798920107989201,0.035597743157280363,1.0,0.028689323581010884
q3_only,esm2_frozen_bilstm_attn,train,1,flexibility_supporting,H,q8_loop_turn_bend_CTS,binary,Q8 loop/turn/bend (C/T/S),176,222,0.05160984848484848,0.007443013005268739,0.044166835479579745,0.016301518087891632,0.07651118191401038,2.8550156490281666,0.0013998600139986002,0.9987001299870013,0.0023997600239976003,0.010064406005130313,1.0,0.0072036300901631885
