condition,split,sign,q8,feature,feature_group,n_proteins,n_selected_segments,n_control_segments,selected_macro_protein_mean,control_macro_protein_mean,selected_minus_control_macro_mean,ci95_low,ci95_high,inference_eligible,wilcoxon_p_two_sided,wilcoxon_q_bh
esm2_frozen_bilstm_attn,train,-1,H,mean_neq,neq,570,3026,1338,1.0867878704008205,1.2060814752533229,-0.11929360485250269,-0.1449632823720436,-0.09362392733296179,True,6.580939406068348e-19,6.486925985981658e-18
esm2_frozen_bilstm_attn,train,-1,H,max_neq,neq,570,3026,1338,1.689292993569006,1.7031786222500698,-0.01388562868106382,-0.08196415544527444,0.05419289808314679,True,0.560116127042622,0.6790077538655809
esm2_frozen_bilstm_attn,train,-1,H,neq_peak_fraction,neq,570,3026,1338,0.013850197279801654,0.0487319687251564,-0.03488177144535475,-0.043245838241676694,-0.02651770464903281,True,2.2808775264095115e-11,1.3624817874188267e-10
esm2_frozen_bilstm_attn,train,-1,H,neq_peak_excess,neq,570,3026,1338,0.6025051231681853,0.49709714699674645,0.10540797617143886,0.050211574355487475,0.16060437798739025,True,6.574370458325835e-07,2.668420950732251e-06
esm2_frozen_bilstm_attn,train,-1,H,mean_rsa,exposure_length_position,570,3026,1338,0.2824736382038185,0.3173931399944169,-0.03491950179059833,-0.042360114260398235,-0.027478889320798422,True,6.92023061484442e-19,6.801540613020053e-18
esm2_frozen_bilstm_attn,train,-1,H,max_rsa,exposure_length_position,570,3026,1338,0.6247287073111054,0.5629138737614565,0.061814833549648916,0.049125529057799315,0.07450413804149851,True,3.650912820552978e-16,2.904408528538734e-15
esm2_frozen_bilstm_attn,train,-1,H,log_segment_length,exposure_length_position,570,3026,1338,2.6537277737648184,2.0383536649432594,0.6153741088215583,0.5684002948110103,0.6623479228321063,True,2.06507422882105e-77,1.8373726230642028e-75
esm2_frozen_bilstm_attn,train,-1,H,normalized_midpoint,exposure_length_position,570,3026,1338,0.49222063409319156,0.525068713747949,-0.032848079654757285,-0.06015971387816056,-0.005536445431354009,True,0.016522962654322657,0.034655171671380214
esm2_frozen_bilstm_attn,train,-1,H,mean_torsion_change,geometry_boundaries,570,3026,1338,16.32729730000284,25.923793048348937,-9.5964957483461,-11.011512738033526,-8.181478758658676,True,7.789266289417077e-42,2.4612625536933774e-40
esm2_frozen_bilstm_attn,train,-1,H,max_torsion_change,geometry_boundaries,570,3026,1338,137.72612031779343,109.7757336049728,27.950386712820656,23.10579019063369,32.79498323500762,True,3.1111424748989913e-25,4.847360694761977e-24
esm2_frozen_bilstm_attn,train,-1,H,q3_boundary_fraction,geometry_boundaries,570,3026,1338,0.18393513142812867,0.35484306898161866,-0.17090793755348996,-0.1879705451268736,-0.1538453299801063,True,8.148927213694731e-67,4.373257604682839e-65
esm2_frozen_bilstm_attn,train,-1,H,mean_distance_to_q3_boundary,geometry_boundaries,570,3026,1338,2.950463800250553,1.6829201166874928,1.2675436835630602,1.1526727222640167,1.3824146448621037,True,1.0111997062957705e-66,5.341978448415625e-65
esm2_frozen_bilstm_attn,train,-1,H,structured_linker_fraction,geometry_boundaries,570,3026,1338,0.0,0.0,0.0,0.0,0.0,True,1.0,1.0
esm2_frozen_bilstm_attn,train,-1,H,mean_disorder,disorder,570,3026,1338,0.017546505073643123,0.03685562169768771,-0.01930911662404459,-0.023225585563566215,-0.015392647684522968,True,1.5079543945706285e-32,3.376419740426023e-31
esm2_frozen_bilstm_attn,train,-1,H,max_disorder,disorder,570,3026,1338,0.04171988377909534,0.06181986752226668,-0.02009998374317134,-0.025781979718251937,-0.01441798776809074,True,5.929925934080866e-11,3.4039184351659436e-10
esm2_frozen_bilstm_attn,train,-1,H,fraction_glycine,sequence,570,3026,1338,0.02558569039088496,0.022236105513098278,0.0033495848777866798,-0.0007084607442074003,0.00740763049978076,True,2.093683764795122e-06,8.016698537680982e-06
esm2_frozen_bilstm_attn,train,-1,H,fraction_proline,sequence,570,3026,1338,0.017069712551808745,0.02538178602829296,-0.008312073476484215,-0.014224805796590068,-0.002399341156378361,True,0.02734201485643916,0.05450669353161604
esm2_frozen_bilstm_attn,train,-1,H,fraction_hydrophobic,sequence,570,3026,1338,0.48856739708199004,0.49722715153732433,-0.008659754455334286,-0.024153987732320976,0.006834478821652404,True,0.9553990894061531,0.9948539426203276
esm2_frozen_bilstm_attn,train,-1,H,fraction_charged,sequence,570,3026,1338,0.27640539961569616,0.2715464806092718,0.004858919006424297,-0.009533643551815562,0.019251481564664157,True,0.15514514738822963,0.24217255000905097
esm2_frozen_bilstm_attn,train,-1,H,fraction_aromatic,sequence,570,3026,1338,0.08602502418721748,0.10517821653468706,-0.019153192347469577,-0.03115460732312006,-0.007151777371819096,True,0.9156755188757036,0.9665398504328838
esm2_frozen_bilstm_attn,train,-1,H,sequence_entropy,sequence,570,3026,1338,2.943038577194661,2.211680245723494,0.731358331471167,0.6634188364788836,0.7992978264634505,True,5.040544304731773e-67,2.748722628112601e-65
esm2_frozen_bilstm_attn,train,-1,E,mean_neq,neq,445,1350,1749,1.1183974399330394,1.185319407768269,-0.06692196783522959,-0.08709723599983775,-0.046746699670621436,True,2.416284830381762e-10,1.3283673189464615e-09
