condition,sign,stage,feature,standardized_coefficient
esm2_frozen_bilstm_attn,-1,00_q8_only,q8__q8_C,0.0
esm2_frozen_bilstm_attn,-1,00_q8_only,q8__q8_E,0.0
esm2_frozen_bilstm_attn,-1,00_q8_only,q8__q8_G,0.0
esm2_frozen_bilstm_attn,-1,00_q8_only,q8__q8_H,0.0
esm2_frozen_bilstm_attn,-1,00_q8_only,q8__q8_S,0.0
esm2_frozen_bilstm_attn,-1,00_q8_only,q8__q8_T,0.0
esm2_frozen_bilstm_attn,-1,01_add_neq,q8__q8_C,0.17684076845939137
esm2_frozen_bilstm_attn,-1,01_add_neq,q8__q8_E,-0.22783614286429424
esm2_frozen_bilstm_attn,-1,01_add_neq,q8__q8_G,0.12995845100146725
esm2_frozen_bilstm_attn,-1,01_add_neq,q8__q8_H,-0.41782694335364406
esm2_frozen_bilstm_attn,-1,01_add_neq,q8__q8_S,-0.04627306592778123
esm2_frozen_bilstm_attn,-1,01_add_neq,q8__q8_T,0.38255214177755636
esm2_frozen_bilstm_attn,-1,01_add_neq,numeric__mean_neq,-0.5959200310603213
esm2_frozen_bilstm_attn,-1,01_add_neq,numeric__max_neq,0.05166018550282344
esm2_frozen_bilstm_attn,-1,01_add_neq,numeric__neq_peak_fraction,-0.49683957971337406
esm2_frozen_bilstm_attn,-1,01_add_neq,numeric__neq_peak_excess,0.39989649478940564
esm2_frozen_bilstm_attn,-1,02_add_exposure_length_position,q8__q8_C,0.5456781617794876
esm2_frozen_bilstm_attn,-1,02_add_exposure_length_position,q8__q8_E,-1.3283751237210077
esm2_frozen_bilstm_attn,-1,02_add_exposure_length_position,q8__q8_G,0.718907952750962
esm2_frozen_bilstm_attn,-1,02_add_exposure_length_position,q8__q8_H,-1.9424915791021133
esm2_frozen_bilstm_attn,-1,02_add_exposure_length_position,q8__q8_S,0.42535696497323877
esm2_frozen_bilstm_attn,-1,02_add_exposure_length_position,q8__q8_T,1.5781844779264285
esm2_frozen_bilstm_attn,-1,02_add_exposure_length_position,numeric__mean_neq,-0.16986111639014678
esm2_frozen_bilstm_attn,-1,02_add_exposure_length_position,numeric__max_neq,-0.026792048961108126
esm2_frozen_bilstm_attn,-1,02_add_exposure_length_position,numeric__neq_peak_fraction,-0.5403501197377123
esm2_frozen_bilstm_attn,-1,02_add_exposure_length_position,numeric__neq_peak_excess,0.06072603932311512
esm2_frozen_bilstm_attn,-1,02_add_exposure_length_position,numeric__mean_rsa,-0.8395822713269278
esm2_frozen_bilstm_attn,-1,02_add_exposure_length_position,numeric__max_rsa,0.40363261034589837
esm2_frozen_bilstm_attn,-1,02_add_exposure_length_position,numeric__log_segment_length,1.2093113006466019
esm2_frozen_bilstm_attn,-1,02_add_exposure_length_position,numeric__normalized_midpoint,-0.16123601859281858
esm2_frozen_bilstm_attn,-1,03_add_geometry_boundaries,q8__q8_C,0.5662082624105943
esm2_frozen_bilstm_attn,-1,03_add_geometry_boundaries,q8__q8_E,-1.1780725236642495
esm2_frozen_bilstm_attn,-1,03_add_geometry_boundaries,q8__q8_G,0.8061789092572019
esm2_frozen_bilstm_attn,-1,03_add_geometry_boundaries,q8__q8_H,-1.9035309787009862
esm2_frozen_bilstm_attn,-1,03_add_geometry_boundaries,q8__q8_S,0.3823824914167093
