condition,sign,stage,evaluation_split,n_segments,n_selected_segments,n_proteins,weighted_auroc,weighted_average_precision,macro_within_protein_q8_concordance,n_matched_protein_q8_strata,delta_auroc_from_previous_stage,delta_concordance_from_previous_stage
esm2_frozen_bilstm_attn,-1,00_q8_only,validation,1706,903,164,0.5,0.49999999999999944,0.5,253,,
esm2_frozen_bilstm_attn,-1,00_q8_only,test,1785,927,164,0.5,0.4999999999999988,0.5,256,,
esm2_frozen_bilstm_attn,-1,01_add_neq,validation,1706,903,164,0.6432040909566805,0.6088070493307,0.6616468261280515,253,0.14320409095668052,0.16164682612805148
esm2_frozen_bilstm_attn,-1,01_add_neq,test,1785,927,164,0.664727895605399,0.6438909364754477,0.6880207331550106,256,0.16472789560539902,0.18802073315501056
esm2_frozen_bilstm_attn,-1,02_add_exposure_length_position,validation,1706,903,164,0.8085276038090821,0.7739623300637752,0.8148838110492227,253,0.16532351285240154,0.15323698492117122
esm2_frozen_bilstm_attn,-1,02_add_exposure_length_position,test,1785,927,164,0.8125124941443056,0.7802195151932738,0.8389439692613521,256,0.14778459853890658,0.1509232361063415
esm2_frozen_bilstm_attn,-1,03_add_geometry_boundaries,validation,1706,903,164,0.8086359206300071,0.7778161983475493,0.8104012460552941,253,0.00010831682092504735,-0.004482564993928628
esm2_frozen_bilstm_attn,-1,03_add_geometry_boundaries,test,1785,927,164,0.8099351223427848,0.7788786276384358,0.8338505035184723,256,-0.0025773718015208447,-0.005093465742879721
esm2_frozen_bilstm_attn,-1,04_add_disorder,validation,1706,903,164,0.8122661394830235,0.7806991403817655,0.8110228357085042,253,0.003630218853016398,0.0006215896532101306
esm2_frozen_bilstm_attn,-1,04_add_disorder,test,1785,927,164,0.814171996675143,0.7841923888825362,0.8355602708923021,256,0.004236874332358198,0.0017097673738297736
esm2_frozen_bilstm_attn,-1,05_add_sequence,validation,1706,903,164,0.8159024445470175,0.7853286437969285,0.8198761606126673,253,0.0036363050639940386,0.008853324904163129
esm2_frozen_bilstm_attn,-1,05_add_sequence,test,1785,927,164,0.819492501523165,0.7877992034903485,0.834185872721029,256,0.005320504848022045,-0.0013743981712731612
esm2_frozen_bilstm_attn,1,00_q8_only,validation,3712,1190,197,0.5,0.5000000000000004,0.5,473,,
esm2_frozen_bilstm_attn,1,00_q8_only,test,3891,1233,196,0.5,0.5000000000000002,0.5,455,,
esm2_frozen_bilstm_attn,1,01_add_neq,validation,3712,1190,197,0.7275589152736891,0.7198381454542708,0.7288634710602988,473,0.2275589152736891,0.2288634710602988
esm2_frozen_bilstm_attn,1,01_add_neq,test,3891,1233,196,0.7128092367812596,0.6962317075029039,0.7187097946679433,455,0.21280923678125963,0.21870979466794327
esm2_frozen_bilstm_attn,1,02_add_exposure_length_position,validation,3712,1190,197,0.7666583442812013,0.7633936619222272,0.769887590451156,473,0.039099429007512176,0.04102411939085715
esm2_frozen_bilstm_attn,1,02_add_exposure_length_position,test,3891,1233,196,0.7740627229438746,0.7766849352911721,0.7939007004531138,455,0.061253486162614945,0.07519090578517051
esm2_frozen_bilstm_attn,1,03_add_geometry_boundaries,validation,3712,1190,197,0.7913753966527605,0.7783401565134094,0.7937859624883447,473,0.02471705237155919,0.023898372037188698
esm2_frozen_bilstm_attn,1,03_add_geometry_boundaries,test,3891,1233,196,0.8003958836197212,0.797234355143636,0.8102167501342691,455,0.02633316067584668,0.016316049681155298
esm2_frozen_bilstm_attn,1,04_add_disorder,validation,3712,1190,197,0.7936947284570068,0.7799396488470829,0.7929875494986195,473,0.0023193318042463718,-0.0007984129897251613
esm2_frozen_bilstm_attn,1,04_add_disorder,test,3891,1233,196,0.8009645329737869,0.7957587354530027,0.8105480510152494,455,0.0005686493540656423,0.00033130088098032306
esm2_frozen_bilstm_attn,1,05_add_sequence,validation,3712,1190,197,0.8000430435663446,0.7873075881400583,0.8023936671475936,473,0.006348315109337754,0.009406117648974144
esm2_frozen_bilstm_attn,1,05_add_sequence,test,3891,1233,196,0.8001983145311171,0.7971697537891701,0.8051505812554252,455,-0.0007662184426697749,-0.005397469759824247
esm2_top28_bilstm_attn,-1,00_q8_only,validation,1675,875,176,0.5,0.5000000000000002,0.5,252,,
esm2_top28_bilstm_attn,-1,00_q8_only,test,1602,842,165,0.5,0.4999999999999992,0.5,239,,
esm2_top28_bilstm_attn,-1,01_add_neq,validation,1675,875,176,0.6774000326117858,0.6592314574574949,0.7031932202540864,252,0.17740003261178583,0.20319322025408637
esm2_top28_bilstm_attn,-1,01_add_neq,test,1602,842,165,0.6951542801336384,0.6722617089076203,0.7248394905243732,239,0.19515428013363845,0.22483949052437324
esm2_top28_bilstm_attn,-1,02_add_exposure_length_position,validation,1675,875,176,0.8221804771450287,0.789266338993901,0.8265827880837218,252,0.1447804445332429,0.1233895678296354
esm2_top28_bilstm_attn,-1,02_add_exposure_length_position,test,1602,842,165,0.8225939917976942,0.7919375020193017,0.8458425241660712,239,0.12743971166405577,0.12100303364169795
esm2_top28_bilstm_attn,-1,03_add_geometry_boundaries,validation,1675,875,176,0.826374764850353,0.8002825438313244,0.8421137024696782,252,0.004194287705324262,0.01553091438595644
esm2_top28_bilstm_attn,-1,03_add_geometry_boundaries,test,1602,842,165,0.8248665380697601,0.7982949746996915,0.8470062499305054,239,0.0022725462720658562,0.0011637257644342425
esm2_top28_bilstm_attn,-1,04_add_disorder,validation,1675,875,176,0.8309873552380465,0.8044792995755952,0.8414481545445598,252,0.00461259038769346,-0.0006655479251184149
esm2_top28_bilstm_attn,-1,04_add_disorder,test,1602,842,165,0.8353577550394998,0.8097844822255968,0.8469625458971826,239,0.010491216969739758,-4.3704033322877756e-05
esm2_top28_bilstm_attn,-1,05_add_sequence,validation,1675,875,176,0.8299461428926437,0.80778461886279,0.8410774812817297,252,-0.0010412123454027755,-0.0003706732628301346
esm2_top28_bilstm_attn,-1,05_add_sequence,test,1602,842,165,0.8362795143144799,0.8138060120044666,0.8496244328911077,239,0.0009217592749800607,0.002661886993925111
esm2_top28_bilstm_attn,1,00_q8_only,validation,3635,1121,205,0.5,0.49999999999999994,0.5,468,,
esm2_top28_bilstm_attn,1,00_q8_only,test,3763,1129,201,0.5,0.499999999999999,0.5,456,,
esm2_top28_bilstm_attn,1,01_add_neq,validation,3635,1121,205,0.723606017115392,0.71039824220844,0.7244772125684732,468,0.22360601711539196,0.2244772125684732
esm2_top28_bilstm_attn,1,01_add_neq,test,3763,1129,201,0.7020376897387559,0.6719185720235411,0.7001397173806706,456,0.2020376897387559,0.2001397173806706
esm2_top28_bilstm_attn,1,02_add_exposure_length_position,validation,3635,1121,205,0.7652146777672336,0.7610469260302937,0.7619388347821804,468,0.041608660651841656,0.03746162221370719
esm2_top28_bilstm_attn,1,02_add_exposure_length_position,test,3763,1129,201,0.7615480111377968,0.7462332645567166,0.7726111839888506,456,0.05951032139904089,0.07247146660818005
esm2_top28_bilstm_attn,1,03_add_geometry_boundaries,validation,3635,1121,205,0.8053328275090932,0.8017044007730227,0.8123457441693028,468,0.040118149741859566,0.050406909387122445
esm2_top28_bilstm_attn,1,03_add_geometry_boundaries,test,3763,1129,201,0.8035972309704436,0.7971224491205979,0.8067285676888167,456,0.042049219832646756,0.034117383699966086
esm2_top28_bilstm_attn,1,04_add_disorder,validation,3635,1121,205,0.8177414923381854,0.8117725003604558,0.8242373684688213,468,0.012408664829092197,0.01189162429951851
esm2_top28_bilstm_attn,1,04_add_disorder,test,3763,1129,201,0.8143220768330041,0.8050891337918417,0.8186899070490656,456,0.010724845862560506,0.011961339360248902
esm2_top28_bilstm_attn,1,05_add_sequence,validation,3635,1121,205,0.8197088353808315,0.8131020593693244,0.8332162204749834,468,0.001967343042646119,0.008978852006162108
esm2_top28_bilstm_attn,1,05_add_sequence,test,3763,1129,201,0.8142585752983054,0.8062919538094065,0.8138063758508394,456,-6.350153469869557e-05,-0.004883531198226265
esm2_top4_bilstm_attn,-1,00_q8_only,validation,1707,928,184,0.5,0.4999999999999992,0.5,258,,
esm2_top4_bilstm_attn,-1,00_q8_only,test,1774,932,175,0.5,0.5,0.5,265,,
esm2_top4_bilstm_attn,-1,01_add_neq,validation,1707,928,184,0.6653642310478893,0.6317929636390951,0.685234673272464,258,0.16536423104788933,0.185234673272464
esm2_top4_bilstm_attn,-1,01_add_neq,test,1774,932,175,0.6735881680538577,0.6408145892867748,0.7045725523511025,265,0.17358816805385768,0.2045725523511025
esm2_top4_bilstm_attn,-1,02_add_exposure_length_position,validation,1707,928,184,0.81769459308657,0.7857889110051601,0.8130539013097152,258,0.15233036203868067,0.1278192280372512
esm2_top4_bilstm_attn,-1,02_add_exposure_length_position,test,1774,932,175,0.8071228345873811,0.776745011557505,0.8336546412137276,265,0.13353466653352342,0.12908208886262507
esm2_top4_bilstm_attn,-1,03_add_geometry_boundaries,validation,1707,928,184,0.8190415460116872,0.7891774749182522,0.8185924303947559,258,0.0013469529251172174,0.005538529085040711
esm2_top4_bilstm_attn,-1,03_add_geometry_boundaries,test,1774,932,175,0.8088058236889012,0.785807380444371,0.8310017413624663,265,0.0016829891015200937,-0.00265289985126127
esm2_top4_bilstm_attn,-1,04_add_disorder,validation,1707,928,184,0.8224687018182592,0.7927061801944566,0.8130594172551537,258,0.0034271558065719354,-0.005533013139602194
esm2_top4_bilstm_attn,-1,04_add_disorder,test,1774,932,175,0.823810235762549,0.8010969383421931,0.8444543722120683,265,0.015004412073647777,0.01345263084960202
esm2_top4_bilstm_attn,-1,05_add_sequence,validation,1707,928,184,0.8231421969924059,0.7971252741517696,0.8144682990710123,258,0.000673495174146721,0.0014088818158585203
esm2_top4_bilstm_attn,-1,05_add_sequence,test,1774,932,175,0.8264605863067644,0.8048766265515225,0.8476577064481732,265,0.002650350544215474,0.00320333423610486
esm2_top4_bilstm_attn,1,00_q8_only,validation,3559,1134,203,0.5,0.49999999999999983,0.5,468,,
esm2_top4_bilstm_attn,1,00_q8_only,test,3642,1142,200,0.5,0.5,0.5,470,,
