condition,split,sign,q8,n_selected_segments,n_proteins,structure_available_fraction,structure_eligible_fraction,fully_resolved_fraction,strain_available_fraction
esm2_frozen_bilstm_attn,test,1,B,1,1,1.0,1.0,1.0,1.0
esm2_frozen_bilstm_attn,test,1,C,755,205,1.0,0.8834437086092716,0.8516556291390729,1.0
esm2_frozen_bilstm_attn,test,1,E,39,35,1.0,1.0,1.0,1.0
esm2_frozen_bilstm_attn,test,1,G,27,24,1.0,1.0,1.0,1.0
esm2_frozen_bilstm_attn,test,1,H,10,9,1.0,1.0,1.0,1.0
esm2_frozen_bilstm_attn,test,1,I,1,1,1.0,1.0,1.0,1.0
esm2_frozen_bilstm_attn,test,1,S,184,101,1.0,1.0,1.0,1.0
esm2_frozen_bilstm_attn,test,1,T,308,138,1.0,0.9837662337662337,0.9837662337662337,1.0
esm2_frozen_bilstm_attn,train,1,B,5,5,1.0,1.0,1.0,0.0
esm2_frozen_bilstm_attn,train,1,C,3431,929,0.9953366365491111,0.8545613523754008,0.8169629845526085,0.0
esm2_frozen_bilstm_attn,train,1,E,131,119,0.9923664122137404,0.9770992366412213,0.9694656488549618,0.0
esm2_frozen_bilstm_attn,train,1,G,137,120,0.9927007299270073,0.9854014598540146,0.9854014598540146,0.0
esm2_frozen_bilstm_attn,train,1,H,67,62,1.0,0.9701492537313433,0.9552238805970149,0.0
esm2_frozen_bilstm_attn,train,1,I,1,1,1.0,1.0,1.0,0.0
esm2_frozen_bilstm_attn,train,1,S,847,458,1.0,0.9917355371900827,0.9917355371900827,0.0
esm2_frozen_bilstm_attn,train,1,T,1533,654,0.9954337899543378,0.9823874755381604,0.9823874755381604,0.0
esm2_frozen_bilstm_attn,validation,1,B,3,3,1.0,1.0,1.0,0.0
esm2_frozen_bilstm_attn,validation,1,C,672,204,1.0,0.8541666666666666,0.8154761904761905,0.0
esm2_frozen_bilstm_attn,validation,1,E,36,33,1.0,1.0,1.0,0.0
esm2_frozen_bilstm_attn,validation,1,G,40,34,1.0,1.0,1.0,0.0
esm2_frozen_bilstm_attn,validation,1,H,15,15,1.0,1.0,1.0,0.0
esm2_frozen_bilstm_attn,validation,1,S,203,110,1.0,1.0,1.0,0.0
esm2_frozen_bilstm_attn,validation,1,T,356,158,1.0,0.9915730337078652,0.9915730337078652,0.0
esm2_top28_bilstm_attn,test,1,C,630,194,1.0,0.919047619047619,0.8920634920634921,1.0
esm2_top28_bilstm_attn,test,1,E,18,18,1.0,1.0,1.0,1.0
esm2_top28_bilstm_attn,test,1,G,35,29,1.0,1.0,1.0,1.0
esm2_top28_bilstm_attn,test,1,H,7,7,1.0,1.0,1.0,1.0
esm2_top28_bilstm_attn,test,1,S,166,103,1.0,0.9939759036144579,0.9939759036144579,1.0
esm2_top28_bilstm_attn,test,1,T,337,152,1.0,0.9792284866468842,0.9792284866468842,1.0
esm2_top28_bilstm_attn,train,1,C,2728,869,0.9956011730205279,0.8859970674486803,0.8537390029325513,0.0
esm2_top28_bilstm_attn,train,1,E,68,65,0.9852941176470589,0.9852941176470589,0.9852941176470589,0.0
esm2_top28_bilstm_attn,train,1,G,155,131,1.0,0.9870967741935484,0.9870967741935484,0.0
esm2_top28_bilstm_attn,train,1,H,104,99,0.9903846153846154,0.9615384615384616,0.9615384615384616,0.0
esm2_top28_bilstm_attn,train,1,S,649,372,0.9969183359013868,0.9907550077041603,0.9907550077041603,0.0
esm2_top28_bilstm_attn,train,1,T,1520,657,0.9927631578947368,0.9756578947368421,0.9756578947368421,0.0
esm2_top28_bilstm_attn,validation,1,C,581,192,1.0,0.9122203098106713,0.8777969018932874,0.0
esm2_top28_bilstm_attn,validation,1,E,23,22,1.0,1.0,1.0,0.0
esm2_top28_bilstm_attn,validation,1,G,36,31,1.0,1.0,1.0,0.0
esm2_top28_bilstm_attn,validation,1,H,17,16,1.0,1.0,1.0,0.0
esm2_top28_bilstm_attn,validation,1,S,168,103,1.0,0.9880952380952381,0.9880952380952381,0.0
esm2_top28_bilstm_attn,validation,1,T,373,162,1.0,0.9865951742627346,0.9865951742627346,0.0
esm2_top4_bilstm_attn,test,1,C,579,189,1.0,0.9430051813471503,0.918825561312608,1.0
esm2_top4_bilstm_attn,test,1,E,22,18,1.0,1.0,1.0,1.0
esm2_top4_bilstm_attn,test,1,G,31,28,1.0,1.0,1.0,1.0
esm2_top4_bilstm_attn,test,1,H,13,11,1.0,1.0,1.0,1.0
esm2_top4_bilstm_attn,test,1,S,181,102,1.0,0.994475138121547,0.994475138121547,1.0
esm2_top4_bilstm_attn,test,1,T,368,160,1.0,0.9864130434782609,0.9864130434782609,1.0
esm2_top4_bilstm_attn,train,1,C,2769,871,0.9967497291440953,0.9068255687973997,0.8801011195377393,0.0
esm2_top4_bilstm_attn,train,1,E,74,70,0.9864864864864865,0.9594594594594594,0.9594594594594594,0.0
esm2_top4_bilstm_attn,train,1,G,146,124,1.0,0.9794520547945206,0.9794520547945206,0.0
esm2_top4_bilstm_attn,train,1,H,52,51,1.0,0.9615384615384616,0.9615384615384616,0.0
esm2_top4_bilstm_attn,train,1,S,807,442,0.9987608426270136,0.9876084262701363,0.9876084262701363,0.0
esm2_top4_bilstm_attn,train,1,T,1730,691,0.9930635838150289,0.9786127167630058,0.9786127167630058,0.0
esm2_top4_bilstm_attn,validation,1,C,526,188,1.0,0.9296577946768061,0.9068441064638784,0.0
esm2_top4_bilstm_attn,validation,1,E,24,23,1.0,1.0,1.0,0.0
esm2_top4_bilstm_attn,validation,1,G,36,28,1.0,1.0,1.0,0.0
esm2_top4_bilstm_attn,validation,1,H,12,11,1.0,1.0,1.0,0.0
esm2_top4_bilstm_attn,validation,1,S,198,110,1.0,0.9949494949494949,0.9949494949494949,0.0
esm2_top4_bilstm_attn,validation,1,T,421,165,1.0,0.9857482185273159,0.9857482185273159,0.0
esm3_frozen_bilstm_attn,test,1,B,1,1,1.0,1.0,1.0,1.0
esm3_frozen_bilstm_attn,test,1,C,701,197,1.0,0.9144079885877318,0.8815977175463623,1.0
