condition,split,sign,q8,feature,feature_group,n_proteins,n_selected_segments,n_control_segments,selected_macro_protein_mean,control_macro_protein_mean,selected_minus_control_macro_mean,ci95_low,ci95_high,inference_eligible,wilcoxon_p_two_sided,wilcoxon_q_bh
esm2_frozen_bilstm_attn,train,-1,H,mean_ca_curvature_degrees,experimental_geometry,568,3010,1333,86.98874547487895,84.95828810916323,2.030457365715728,1.5640566736338921,2.496858057797564,True,1.3145279413219146e-14,1.2303036959797319e-13
esm2_frozen_bilstm_attn,train,-1,H,max_ca_curvature_degrees,experimental_geometry,568,3010,1333,92.28315765797515,90.36242754226872,1.9207301157064283,1.5197597968025365,2.32170043461032,True,1.0627159315439053e-23,2.3394718323987664e-22
esm2_frozen_bilstm_attn,train,-1,H,mean_abs_ca_virtual_torsion_degrees,experimental_geometry,566,3003,1330,54.86223479864135,61.9825683303778,-7.120333531736447,-8.543960137552105,-5.69670692592079,True,2.107132281315716e-21,3.7214098934423324e-20
esm2_frozen_bilstm_attn,train,-1,H,max_abs_ca_virtual_torsion_degrees,experimental_geometry,566,3003,1330,93.63455430134401,92.83412162259505,0.8004326787489674,-2.2961744527542325,3.8970398102521675,True,0.3206571941521148,0.41386225801796483
esm2_frozen_bilstm_attn,train,-1,H,ca_end_to_end_ratio,experimental_geometry,538,2864,1122,0.4029473924938814,0.4823451864914006,-0.07939779399751916,-0.09128229729343672,-0.0675132907016016,True,5.446138621343135e-43,2.935280919020455e-41
esm2_frozen_bilstm_attn,train,-1,H,mean_contact_degree,contact_network,568,3010,1334,5.828859739648167,5.466379381870952,0.36248035777721543,0.24780549187008072,0.47715522368435015,True,3.5616232707460014e-12,2.8843612291067356e-11
esm2_frozen_bilstm_attn,train,-1,H,max_contact_degree,contact_network,568,3010,1334,9.284205716587275,8.138567516208361,1.1456382003789127,0.9811145263781371,1.3101618743796883,True,5.500697348752297e-35,1.8489440765806108e-33
esm2_frozen_bilstm_attn,train,-1,H,mean_inverse_distance_weighted_degree,contact_network,568,3010,1334,0.9641290712682088,0.893682031723995,0.07044703954421382,0.052100242397671304,0.08879383669075633,True,2.6733701112957666e-15,2.6614506267231102e-14
esm2_frozen_bilstm_attn,train,-1,H,max_inverse_distance_weighted_degree,contact_network,568,3010,1334,1.5141038818459696,1.3205983326594988,0.19350554918647073,0.16684082824729665,0.2201702701256448,True,3.4528818993679945e-37,1.284965335407661e-35
esm2_frozen_bilstm_attn,train,-1,H,mean_betweenness,contact_network,568,3010,1334,0.02335162285850169,0.020359096139975077,0.0029925267185266155,0.0018187251923863974,0.004166328244666834,True,1.8903252385853329e-13,1.6278668583519972e-12
esm2_frozen_bilstm_attn,train,-1,H,max_betweenness,contact_network,568,3010,1334,0.06751385199731925,0.0505348365242469,0.01697901547307236,0.013723907191368886,0.020234123754775832,True,3.324359034248088e-33,1.0713346743360335e-31
esm2_frozen_bilstm_attn,train,-1,H,mean_closeness,contact_network,568,3010,1334,0.19692267359210336,0.18723832566355367,0.009684347928549704,0.007422853117735013,0.011945842739364394,True,1.5455109493561476e-14,1.4251525745390317e-13
esm2_frozen_bilstm_attn,train,-1,H,mean_participation_coefficient,contact_network,568,3010,1334,0.21939038439826686,0.18070423547121894,0.0386861489270479,0.027108318867821286,0.050263978986274514,True,2.143395865827689e-10,1.4597506484917985e-09
esm2_frozen_bilstm_attn,train,-1,H,community_boundary_fraction,contact_network,568,3010,1334,0.5195066217557228,0.44320240915078174,0.07630421260494119,0.05049009020571729,0.10211833500416509,True,8.412958360498856e-09,4.696233541949897e-08
esm2_frozen_bilstm_attn,train,-1,H,mean_distance_to_domain_boundary,inter_domain_geometry,566,2994,1325,43.88089161049724,36.83894246832133,7.041949142175909,4.866869020496074,9.217029263855745,True,8.993021183856643e-12,6.924183305599967e-11
esm2_frozen_bilstm_attn,train,-1,H,near_domain_boundary_fraction,inter_domain_geometry,566,2994,1325,0.016036082772743175,0.05806426190473894,-0.04202817913199577,-0.0526495636017514,-0.03140679466224013,True,6.715336277187681e-07,2.9359638045438726e-06
esm2_frozen_bilstm_attn,train,-1,H,mean_cross_domain_contacts,inter_domain_geometry,566,2994,1325,0.17233201695123965,0.20715909532164536,-0.0348270783704057,-0.0760430885678284,0.006388931827017018,True,0.009319798775986309,0.02014778075638534
