condition,sign,stage,evaluation_split,model_status,n_train_segments,n_segments,n_selected_segments,n_proteins,weighted_auroc,weighted_average_precision,macro_within_protein_q8_concordance,n_matched_protein_q8_strata,delta_auroc_from_previous_stage,delta_concordance_from_previous_stage
esm2_frozen_bilstm_attn,-1,00_q8_only,validation,ok,8349,1702,903,164,0.5010587238848117,0.5015913476111907,0.5,252,,
esm2_frozen_bilstm_attn,-1,00_q8_only,test,ok,8349,1775,927,164,0.5010110294117641,0.5015356815220101,0.5,255,,
esm2_frozen_bilstm_attn,-1,01_base_biophysics,validation,ok,8349,1702,903,164,0.8000544936429769,0.7618875413267558,0.8007761896133372,252,0.2989957697581652,0.3007761896133372
esm2_frozen_bilstm_attn,-1,01_base_biophysics,test,ok,8349,1775,927,164,0.8054795830073114,0.772649796140686,0.834822218086924,255,0.30446855359554725,0.33482221808692403
esm2_frozen_bilstm_attn,-1,02_add_experimental_geometry,validation,ok,8349,1702,903,164,0.8042420348442273,0.7788817157792748,0.8204763036710901,252,0.004187541201250422,0.01970011405775296
esm2_frozen_bilstm_attn,-1,02_add_experimental_geometry,test,ok,8349,1775,927,164,0.8066454986920772,0.7810120632935718,0.8343040265834383,255,0.0011659156847658725,-0.0005181915034857543
esm2_frozen_bilstm_attn,-1,03_add_contact_network,validation,ok,8349,1702,903,164,0.8042365950058735,0.7752892203497104,0.8055830826711198,252,-5.439838353771265e-06,-0.014893220999970369
esm2_frozen_bilstm_attn,-1,03_add_contact_network,test,ok,8349,1775,927,164,0.8121390588748767,0.7882449612810262,0.8314950831666518,255,0.005493560182799451,-0.0028089434167865024
esm2_frozen_bilstm_attn,-1,04_add_inter_domain,validation,ok,8349,1702,903,164,0.810929826130995,0.7894668172182235,0.816492781039254,252,0.006693231125121435,0.010909698368134269
esm2_frozen_bilstm_attn,-1,04_add_inter_domain,test,ok,8349,1775,927,164,0.8221274811568101,0.8021310873574339,0.8431754075626624,255,0.009988422281933418,0.011680324396010633
esm2_frozen_bilstm_attn,1,00_q8_only,validation,ok,16348,3587,1097,197,0.5064250434527369,0.4967739892551073,0.5,461,,
esm2_frozen_bilstm_attn,1,00_q8_only,test,ok,16348,3732,1142,196,0.49862826463184556,0.49581783120087697,0.5,447,,
esm2_frozen_bilstm_attn,1,01_base_biophysics,validation,ok,16348,3587,1097,197,0.7576564340204757,0.7446414106012296,0.766491957389234,461,0.2512313905677388,0.26649195738923404
esm2_frozen_bilstm_attn,1,01_base_biophysics,test,ok,16348,3732,1142,196,0.764771509900523,0.7605173290794884,0.7823894091837669,447,0.26614324526867744,0.28238940918376687
esm2_frozen_bilstm_attn,1,02_add_experimental_geometry,validation,ok,16348,3587,1097,197,0.7885780505037548,0.768701961433245,0.7871958086468742,461,0.03092161648327918,0.020703851257640182
