condition,split,sign,label,mechanism_class,n_bands,n_proteins,band_fraction,macro_protein_fraction
esm2_frozen_bilstm_attn,test,-1,rigidity_supporting,combined,259,100,0.21177432542927227,0.44727500277500276
esm2_frozen_bilstm_attn,test,-1,rigidity_supporting,evidence_dominated,881,180,0.7203597710547833,0.7666042753542753
esm2_frozen_bilstm_attn,test,-1,rigidity_supporting,not_magnitude_enriched,14,12,0.011447260834014717,0.25340608465608466
esm2_frozen_bilstm_attn,test,-1,rigidity_supporting,unclassified,69,33,0.056418642681929684,0.6437229437229437
esm2_frozen_bilstm_attn,test,1,flexibility_supporting,combined,799,190,0.5875,0.6603214132607566
esm2_frozen_bilstm_attn,test,1,flexibility_supporting,consultation_dominated,8,6,0.0058823529411764705,0.2611111111111111
esm2_frozen_bilstm_attn,test,1,flexibility_supporting,evidence_dominated,485,151,0.35661764705882354,0.44304632726172305
esm2_frozen_bilstm_attn,test,1,flexibility_supporting,not_magnitude_enriched,5,4,0.003676470588235294,0.1829212454212454
esm2_frozen_bilstm_attn,test,1,flexibility_supporting,unclassified,63,37,0.04632352941176471,0.3605563355563356
esm2_frozen_bilstm_attn,train,-1,rigidity_supporting,combined,1270,442,0.21934369602763384,0.48455669850696387
esm2_frozen_bilstm_attn,train,-1,rigidity_supporting,evidence_dominated,4192,833,0.724006908462867,0.7722150566524529
esm2_frozen_bilstm_attn,train,-1,rigidity_supporting,not_magnitude_enriched,68,64,0.011744386873920553,0.2502948273856991
esm2_frozen_bilstm_attn,train,-1,rigidity_supporting,unclassified,260,132,0.044905008635578586,0.5950903645132114
esm2_frozen_bilstm_attn,train,1,flexibility_supporting,combined,3563,888,0.5601320547083792,0.6370168535601018
esm2_frozen_bilstm_attn,train,1,flexibility_supporting,consultation_dominated,35,23,0.005502279515799403,0.31033230054969185
esm2_frozen_bilstm_attn,train,1,flexibility_supporting,evidence_dominated,2444,674,0.384216318188964,0.478635739862896
esm2_frozen_bilstm_attn,train,1,flexibility_supporting,not_magnitude_enriched,28,25,0.0044018236126395225,0.18821032476295635
esm2_frozen_bilstm_attn,train,1,flexibility_supporting,unclassified,291,194,0.04574752397421789,0.3241528058727877
esm2_frozen_bilstm_attn,validation,-1,rigidity_supporting,combined,282,111,0.23095823095823095,0.46728200478200477
esm2_frozen_bilstm_attn,validation,-1,rigidity_supporting,evidence_dominated,860,175,0.7043407043407044,0.7611170179027322
esm2_frozen_bilstm_attn,validation,-1,rigidity_supporting,not_magnitude_enriched,18,14,0.014742014742014743,0.3414476396619254
esm2_frozen_bilstm_attn,validation,-1,rigidity_supporting,unclassified,61,26,0.049959049959049956,0.6598443223443223
esm2_frozen_bilstm_attn,validation,1,flexibility_supporting,combined,799,196,0.5896678966789668,0.6507844449099899
esm2_frozen_bilstm_attn,validation,1,flexibility_supporting,consultation_dominated,3,3,0.002214022140221402,0.22777777777777777
esm2_frozen_bilstm_attn,validation,1,flexibility_supporting,evidence_dominated,480,143,0.35424354243542433,0.45699660940789777
esm2_frozen_bilstm_attn,validation,1,flexibility_supporting,not_magnitude_enriched,4,4,0.002952029520295203,0.20277777777777778
esm2_frozen_bilstm_attn,validation,1,flexibility_supporting,unclassified,69,45,0.05092250922509225,0.30225087128595896
esm2_top28_bilstm_attn,test,-1,rigidity_supporting,combined,483,141,0.4289520426287744,0.6124196963502675
esm2_top28_bilstm_attn,test,-1,rigidity_supporting,consultation_dominated,1,1,0.0008880994671403197,1.0
esm2_top28_bilstm_attn,test,-1,rigidity_supporting,evidence_dominated,558,163,0.4955595026642984,0.5816652327509609
esm2_top28_bilstm_attn,test,-1,rigidity_supporting,not_magnitude_enriched,61,51,0.0541740674955595,0.24190960541579737
esm2_top28_bilstm_attn,test,-1,rigidity_supporting,unclassified,23,16,0.020426287744227355,0.65625
esm2_top28_bilstm_attn,test,1,flexibility_supporting,combined,1030,203,0.8484349258649094,0.8622227993631881
esm2_top28_bilstm_attn,test,1,flexibility_supporting,consultation_dominated,5,4,0.004118616144975288,0.2625
esm2_top28_bilstm_attn,test,1,flexibility_supporting,evidence_dominated,117,64,0.09637561779242175,0.2587893501026893
esm2_top28_bilstm_attn,test,1,flexibility_supporting,not_magnitude_enriched,9,9,0.007413509060955519,0.21908348311857084
esm2_top28_bilstm_attn,test,1,flexibility_supporting,unclassified,53,36,0.04365733113673806,0.3162361659620431
esm2_top28_bilstm_attn,train,-1,rigidity_supporting,combined,2344,641,0.4645263575108997,0.6850235090451973
esm2_top28_bilstm_attn,train,-1,rigidity_supporting,evidence_dominated,2321,672,0.45996829171621084,0.599421240149478
esm2_top28_bilstm_attn,train,-1,rigidity_supporting,not_magnitude_enriched,237,172,0.0469678953626635,0.2583116573756981
esm2_top28_bilstm_attn,train,-1,rigidity_supporting,unclassified,144,81,0.028537455410225922,0.5513487932464117
esm2_top28_bilstm_attn,train,1,flexibility_supporting,combined,4647,931,0.8623121172759325,0.8751423369957253
esm2_top28_bilstm_attn,train,1,flexibility_supporting,consultation_dominated,105,72,0.01948413434774541,0.312140155369322
esm2_top28_bilstm_attn,train,1,flexibility_supporting,evidence_dominated,338,219,0.06272035628131378,0.2209215233051
esm2_top28_bilstm_attn,train,1,flexibility_supporting,not_magnitude_enriched,74,63,0.013731675635553907,0.14693936031225333
esm2_top28_bilstm_attn,train,1,flexibility_supporting,unclassified,225,144,0.04175171645945444,0.4106208317145817
esm2_top28_bilstm_attn,validation,-1,rigidity_supporting,combined,501,140,0.4505395683453237,0.6431660164065626
esm2_top28_bilstm_attn,validation,-1,rigidity_supporting,evidence_dominated,538,167,0.48381294964028776,0.5982915987186858
esm2_top28_bilstm_attn,validation,-1,rigidity_supporting,not_magnitude_enriched,53,43,0.047661870503597124,0.2540789314045128
esm2_top28_bilstm_attn,validation,-1,rigidity_supporting,unclassified,20,11,0.017985611510791366,0.646969696969697
esm2_top28_bilstm_attn,validation,1,flexibility_supporting,combined,1047,206,0.8589007383100903,0.8573610855164253
esm2_top28_bilstm_attn,validation,1,flexibility_supporting,consultation_dominated,11,9,0.009023789991796555,0.2956569664902998
esm2_top28_bilstm_attn,validation,1,flexibility_supporting,evidence_dominated,91,62,0.07465135356849877,0.22947285689221172
esm2_top28_bilstm_attn,validation,1,flexibility_supporting,not_magnitude_enriched,19,19,0.015586546349466776,0.1464781563465774
esm2_top28_bilstm_attn,validation,1,flexibility_supporting,unclassified,51,37,0.04183757178014766,0.31654869154869153
esm2_top4_bilstm_attn,test,-1,rigidity_supporting,combined,400,132,0.35056967572305,0.5477196204468932
esm2_top4_bilstm_attn,test,-1,rigidity_supporting,evidence_dominated,672,174,0.588957055214724,0.6643962199996682
esm2_top4_bilstm_attn,test,-1,rigidity_supporting,not_magnitude_enriched,51,41,0.044697633654688866,0.22592035335937774
esm2_top4_bilstm_attn,test,-1,rigidity_supporting,unclassified,18,14,0.015775635407537247,0.5595238095238095
esm2_top4_bilstm_attn,test,1,flexibility_supporting,combined,985,196,0.8120362737015664,0.8445833644813238
esm2_top4_bilstm_attn,test,1,flexibility_supporting,consultation_dominated,8,5,0.006595218466611707,0.22380952380952382
esm2_top4_bilstm_attn,test,1,flexibility_supporting,evidence_dominated,168,88,0.13849958779884583,0.2988289961301325
esm2_top4_bilstm_attn,test,1,flexibility_supporting,not_magnitude_enriched,10,10,0.008244023083264633,0.1429599567099567
esm2_top4_bilstm_attn,test,1,flexibility_supporting,unclassified,42,28,0.03462489694971146,0.34343077557363266
esm2_top4_bilstm_attn,train,-1,rigidity_supporting,combined,1904,555,0.35318122797254686,0.585888794871969
esm2_top4_bilstm_attn,train,-1,rigidity_supporting,evidence_dominated,3054,759,0.5664997217584864,0.674308082679917
esm2_top4_bilstm_attn,train,-1,rigidity_supporting,not_magnitude_enriched,247,188,0.04581710257837136,0.2628738276687193
esm2_top4_bilstm_attn,train,-1,rigidity_supporting,unclassified,186,90,0.03450194769059544,0.5512400498920107
esm2_top4_bilstm_attn,train,1,flexibility_supporting,combined,4548,914,0.7946881006465141,0.8064220918902348
esm2_top4_bilstm_attn,train,1,flexibility_supporting,consultation_dominated,82,57,0.014328149571902848,0.3401076665092683
esm2_top4_bilstm_attn,train,1,flexibility_supporting,evidence_dominated,739,390,0.1291280796784903,0.3122527002743048
esm2_top4_bilstm_attn,train,1,flexibility_supporting,not_magnitude_enriched,87,78,0.015201817228726192,0.14745668820299684
esm2_top4_bilstm_attn,train,1,flexibility_supporting,unclassified,267,185,0.04665385287436659,0.368994033699916
esm2_top4_bilstm_attn,validation,-1,rigidity_supporting,combined,449,133,0.3921397379912664,0.5823597246529577
esm2_top4_bilstm_attn,validation,-1,rigidity_supporting,evidence_dominated,613,173,0.5353711790393013,0.6273528975841115
esm2_top4_bilstm_attn,validation,-1,rigidity_supporting,not_magnitude_enriched,55,45,0.048034934497816595,0.22864678531345198
esm2_top4_bilstm_attn,validation,-1,rigidity_supporting,unclassified,28,17,0.02445414847161572,0.6308823529411764
esm2_top4_bilstm_attn,validation,1,flexibility_supporting,combined,995,203,0.8050161812297735,0.8198041012080421
esm2_top4_bilstm_attn,validation,1,flexibility_supporting,consultation_dominated,19,14,0.015372168284789644,0.2627223966509681
esm2_top4_bilstm_attn,validation,1,flexibility_supporting,evidence_dominated,145,85,0.11731391585760517,0.2540424608071667
esm2_top4_bilstm_attn,validation,1,flexibility_supporting,not_magnitude_enriched,21,21,0.01699029126213592,0.16621830550401978
esm2_top4_bilstm_attn,validation,1,flexibility_supporting,unclassified,56,35,0.045307443365695796,0.3662131519274376
esm3_frozen_bilstm_attn,test,-1,rigidity_supporting,combined,503,140,0.4160463192721257,0.5902287861531559
esm3_frozen_bilstm_attn,test,-1,rigidity_supporting,evidence_dominated,589,161,0.48717948717948717,0.6078472262524145
esm3_frozen_bilstm_attn,test,-1,rigidity_supporting,not_magnitude_enriched,66,46,0.05459057071960298,0.2822607095944692
esm3_frozen_bilstm_attn,test,-1,rigidity_supporting,unclassified,51,25,0.04218362282878412,0.5808229548229548
esm3_frozen_bilstm_attn,test,1,flexibility_supporting,combined,1031,207,0.7986057319907048,0.8132225294203128
esm3_frozen_bilstm_attn,test,1,flexibility_supporting,consultation_dominated,31,23,0.024012393493415957,0.21870569044482088
esm3_frozen_bilstm_attn,test,1,flexibility_supporting,evidence_dominated,129,74,0.09992254066615028,0.2322838793427029
esm3_frozen_bilstm_attn,test,1,flexibility_supporting,not_magnitude_enriched,38,30,0.02943454686289698,0.16469818852171791
esm3_frozen_bilstm_attn,test,1,flexibility_supporting,unclassified,62,39,0.048024786986831915,0.29494237955776414
esm3_frozen_bilstm_attn,train,-1,rigidity_supporting,combined,2524,623,0.4513590844062947,0.6210359508511203
esm3_frozen_bilstm_attn,train,-1,rigidity_supporting,consultation_dominated,8,6,0.001430615164520744,0.30972222222222223
esm3_frozen_bilstm_attn,train,-1,rigidity_supporting,evidence_dominated,2589,753,0.46298283261802575,0.5940269862961906
esm3_frozen_bilstm_attn,train,-1,rigidity_supporting,not_magnitude_enriched,276,205,0.04935622317596566,0.2514687171830519
esm3_frozen_bilstm_attn,train,-1,rigidity_supporting,unclassified,195,107,0.03487124463519313,0.5082510428304821
esm3_frozen_bilstm_attn,train,1,flexibility_supporting,combined,4754,931,0.7908833804691399,0.8083935132831581
esm3_frozen_bilstm_attn,train,1,flexibility_supporting,consultation_dominated,191,137,0.03177507902179338,0.2506310994643363
esm3_frozen_bilstm_attn,train,1,flexibility_supporting,evidence_dominated,539,333,0.08966894027616037,0.23740594338655988
esm3_frozen_bilstm_attn,train,1,flexibility_supporting,not_magnitude_enriched,134,114,0.022292463816336715,0.13395805944505562
esm3_frozen_bilstm_attn,train,1,flexibility_supporting,unclassified,393,228,0.06538013641656962,0.35404289729081084
esm3_frozen_bilstm_attn,validation,-1,rigidity_supporting,combined,516,136,0.4365482233502538,0.6252589256427924
esm3_frozen_bilstm_attn,validation,-1,rigidity_supporting,consultation_dominated,2,2,0.001692047377326565,0.26666666666666666
esm3_frozen_bilstm_attn,validation,-1,rigidity_supporting,evidence_dominated,555,160,0.46954314720812185,0.5938821860329213
esm3_frozen_bilstm_attn,validation,-1,rigidity_supporting,not_magnitude_enriched,58,45,0.049069373942470386,0.24668398232123723
esm3_frozen_bilstm_attn,validation,-1,rigidity_supporting,unclassified,51,26,0.04314720812182741,0.5503663003663003
esm3_frozen_bilstm_attn,validation,1,flexibility_supporting,combined,1044,204,0.8194662480376766,0.8320876463501896
esm3_frozen_bilstm_attn,validation,1,flexibility_supporting,consultation_dominated,37,30,0.029042386185243328,0.2219530741589565
esm3_frozen_bilstm_attn,validation,1,flexibility_supporting,evidence_dominated,97,64,0.076138147566719,0.22092190769810255
esm3_frozen_bilstm_attn,validation,1,flexibility_supporting,not_magnitude_enriched,31,28,0.02433281004709576,0.13531990301948285
esm3_frozen_bilstm_attn,validation,1,flexibility_supporting,unclassified,65,41,0.05102040816326531,0.3089650864041108
esm3_top28_bilstm_attn,test,-1,rigidity_supporting,combined,449,126,0.37138130686517784,0.5797671386606962
esm3_top28_bilstm_attn,test,-1,rigidity_supporting,evidence_dominated,672,174,0.5558312655086849,0.6547251034463311
esm3_top28_bilstm_attn,test,-1,rigidity_supporting,not_magnitude_enriched,46,37,0.0380479735318445,0.20397800896522122
esm3_top28_bilstm_attn,test,-1,rigidity_supporting,unclassified,42,21,0.034739454094292806,0.5466660093989286
esm3_top28_bilstm_attn,test,1,flexibility_supporting,combined,1026,205,0.8162291169451074,0.8324653960044764
esm3_top28_bilstm_attn,test,1,flexibility_supporting,consultation_dominated,35,29,0.02784407319013524,0.2577213016868189
esm3_top28_bilstm_attn,test,1,flexibility_supporting,evidence_dominated,110,66,0.08750994431185362,0.21489337827689375
esm3_top28_bilstm_attn,test,1,flexibility_supporting,not_magnitude_enriched,31,21,0.024661893396976928,0.1549704652645829
esm3_top28_bilstm_attn,test,1,flexibility_supporting,unclassified,55,32,0.04375497215592681,0.3260416666666667
esm3_top28_bilstm_attn,train,-1,rigidity_supporting,combined,2111,529,0.3762923351158645,0.602422600198584
esm3_top28_bilstm_attn,train,-1,rigidity_supporting,consultation_dominated,3,3,0.0005347593582887701,0.20039682539682538
esm3_top28_bilstm_attn,train,-1,rigidity_supporting,evidence_dominated,2990,794,0.5329768270944741,0.6516122964949259
esm3_top28_bilstm_attn,train,-1,rigidity_supporting,not_magnitude_enriched,234,177,0.04171122994652406,0.229006544893919
esm3_top28_bilstm_attn,train,-1,rigidity_supporting,unclassified,272,126,0.048484848484848485,0.48256295361558516
esm3_top28_bilstm_attn,train,1,flexibility_supporting,combined,4676,917,0.7942925089179548,0.8078028287571329
esm3_top28_bilstm_attn,train,1,flexibility_supporting,consultation_dominated,217,140,0.036860879904875146,0.2616168406527184
esm3_top28_bilstm_attn,train,1,flexibility_supporting,evidence_dominated,529,322,0.089859011381009,0.25850325633127985
esm3_top28_bilstm_attn,train,1,flexibility_supporting,not_magnitude_enriched,115,94,0.019534567691523695,0.14631777192469478
esm3_top28_bilstm_attn,train,1,flexibility_supporting,unclassified,350,213,0.059453032104637336,0.369138634923639
esm3_top28_bilstm_attn,validation,-1,rigidity_supporting,combined,467,122,0.38278688524590165,0.6103838958106075
esm3_top28_bilstm_attn,validation,-1,rigidity_supporting,evidence_dominated,650,179,0.5327868852459017,0.634307724991261
esm3_top28_bilstm_attn,validation,-1,rigidity_supporting,not_magnitude_enriched,36,33,0.029508196721311476,0.1755056094628287
esm3_top28_bilstm_attn,validation,-1,rigidity_supporting,unclassified,67,28,0.05491803278688524,0.47144274376417233
esm3_top28_bilstm_attn,validation,1,flexibility_supporting,combined,1001,203,0.7795950155763239,0.794544807524455
esm3_top28_bilstm_attn,validation,1,flexibility_supporting,consultation_dominated,43,36,0.03348909657320872,0.27517567309233976
esm3_top28_bilstm_attn,validation,1,flexibility_supporting,evidence_dominated,105,62,0.08177570093457943,0.24083980535593438
esm3_top28_bilstm_attn,validation,1,flexibility_supporting,not_magnitude_enriched,33,30,0.02570093457943925,0.16664690085742714
esm3_top28_bilstm_attn,validation,1,flexibility_supporting,unclassified,102,49,0.0794392523364486,0.34427765068205457
esm3_top4_bilstm_attn,test,-1,rigidity_supporting,combined,433,130,0.3765217391304348,0.5621916557550042
esm3_top4_bilstm_attn,test,-1,rigidity_supporting,consultation_dominated,1,1,0.0008695652173913044,0.1111111111111111
esm3_top4_bilstm_attn,test,-1,rigidity_supporting,evidence_dominated,630,175,0.5478260869565217,0.639034430819049
