condition,split,sign,label,metric,metric_description,n_proteins,n_bands,case_macro_protein_mean,control_macro_protein_mean,case_minus_control_macro_mean,ci95_low,ci95_high,inference_eligible,wilcoxon_p_two_sided,wilcoxon_q_bh
esm2_frozen_bilstm_attn,test,-1,rigidity_supporting,attention_breadth,attention column mean B_j,194,1154,0.006984280044979579,0.004551213515475638,0.0024330665295039158,0.0019684205497092306,0.002897712509298601,True,1.3159627585171792e-22,1.3220835155335382e-22
esm2_frozen_bilstm_attn,test,-1,rigidity_supporting,directional_evidence,sign * intrinsic signed evidence s_j,194,1154,1.6242308167821922,0.2762769180981049,1.347953898684087,1.293278660712784,1.4026291366553902,True,1.4047835044851406e-33,1.6226376308491463e-33
esm2_frozen_bilstm_attn,test,-1,rigidity_supporting,directional_influence,sign * I_j,194,1154,0.012425264916588895,0.0009987002493719859,0.011426564667216883,0.010110816166178744,0.012742313168255021,True,1.4047835044851406e-33,1.6226376308491463e-33
esm2_frozen_bilstm_attn,test,-1,rigidity_supporting,log_abs_evidence,log absolute intrinsic evidence,194,1154,0.41562973937195813,-0.9462685916380601,1.3618983310100183,1.311264642195346,1.4125320198246907,True,2.038189333731938e-33,2.3293592385507863e-33
esm2_frozen_bilstm_attn,test,-1,rigidity_supporting,log_abs_influence,log absolute signed influence,194,1154,-4.796200188282107,-6.533793992814061,1.7375938045319532,1.6617010303469217,1.8134865787169847,True,1.5904968202238596e-33,1.8273793253635835e-33
esm2_frozen_bilstm_attn,test,-1,rigidity_supporting,log_attention_breadth,log attention column mean,194,1154,-5.211829927628335,-5.587525400275134,0.37569547264679903,0.32643630746361074,0.4249546378299873,True,2.5527648813199282e-25,2.676685506626721e-25
esm2_frozen_bilstm_attn,test,1,flexibility_supporting,attention_breadth,attention column mean B_j,206,1297,0.0129018054164031,0.005342716015273811,0.007559089401129242,0.006608683191507377,0.008509495610751108,True,1.7264881772682771e-35,2.782995867835432e-35
esm2_frozen_bilstm_attn,test,1,flexibility_supporting,directional_evidence,sign * intrinsic signed evidence s_j,206,1297,1.4230962342104212,0.255156777663891,1.16793945654653,1.1236550912363692,1.2122238218566908,True,1.4917535432629874e-35,2.4959094958959715e-35
esm2_frozen_bilstm_attn,test,1,flexibility_supporting,directional_influence,sign * I_j,206,1297,0.020450673174429407,0.001731981871857772,0.0187186913025716,0.016376515637437312,0.021060866967705885,True,1.4917535432629874e-35,2.4959094958959715e-35
esm2_frozen_bilstm_attn,test,1,flexibility_supporting,log_abs_evidence,log absolute intrinsic evidence,206,1297,0.31332361114785423,-0.9519048323002527,1.265228443448107,1.2200613139509828,1.310395572945231,True,1.4917535432629874e-35,2.4959094958959715e-35
esm2_frozen_bilstm_attn,test,1,flexibility_supporting,log_abs_influence,log absolute signed influence,206,1297,-4.319503884279085,-6.378322974932008,2.0588190906529222,1.9918887674647618,2.1257494138410826,True,1.4917535432629874e-35,2.4959094958959715e-35
esm2_frozen_bilstm_attn,test,1,flexibility_supporting,log_attention_breadth,log attention column mean,206,1297,-4.632827498783687,-5.4264181430510146,0.7935906442673262,0.7576624375626992,0.8295188509719531,True,1.5815784844098565e-35,2.5685785912220225e-35
esm2_frozen_bilstm_attn,train,-1,rigidity_supporting,attention_breadth,attention column mean B_j,909,5530,0.0076638172102898045,0.005018826630501811,0.002644990579787968,0.0024280075866347146,0.0028619735729412212,True,2.821404070853247e-107,8.832221439192773e-107
esm2_frozen_bilstm_attn,train,-1,rigidity_supporting,directional_evidence,sign * intrinsic signed evidence s_j,909,5530,1.6144842989394224,0.26845159395063173,1.3460327049887908,1.3207585437242981,1.3713068662532835,True,2.9057702798562355e-150,1.3644486531498845e-149
