condition,split,sign,mechanism_class,n_proteins,n_bands,fraction_high_receivers_long_range_macro_mean,fraction_positive_directional_mass_long_range_macro_mean,fraction_attention_mass_long_range_macro_mean
esm2_frozen_bilstm_attn,test,-1,combined,100,259,0.6041002456458546,0.6796594663092524,0.6904860610108109
esm2_frozen_bilstm_attn,test,-1,evidence_dominated,180,881,0.6796059498505844,0.6972234812901482,0.6923039702914835
esm2_frozen_bilstm_attn,test,-1,not_magnitude_enriched,12,14,0.7597123323050147,0.7845783480692281,0.6777120019039736
esm2_frozen_bilstm_attn,test,-1,unclassified,33,69,0.45868290656548066,0.46756462478312466,0.48059369468201096
esm2_frozen_bilstm_attn,test,1,combined,190,799,0.6402192774461861,0.7229182128798433,0.7256275481044883
esm2_frozen_bilstm_attn,test,1,consultation_dominated,6,8,0.6063131313131312,0.6686979557755385,0.6688022250168201
esm2_frozen_bilstm_attn,test,1,evidence_dominated,151,485,0.7584580224071292,0.7588000697394206,0.7486701478011726
esm2_frozen_bilstm_attn,test,1,not_magnitude_enriched,4,5,0.9283623353390795,0.8579979316591615,0.793368401527482
esm2_frozen_bilstm_attn,test,1,unclassified,37,63,0.6477918414823157,0.6819410673576961,0.6562724721262937
esm2_frozen_bilstm_attn,train,-1,combined,442,1270,0.615450883710834,0.6943332221787171,0.7028186086247454
esm2_frozen_bilstm_attn,train,-1,evidence_dominated,833,4192,0.6649490595027784,0.6777715053403046,0.6716016890262345
esm2_frozen_bilstm_attn,train,-1,not_magnitude_enriched,64,68,0.7321608404314689,0.7216157951569372,0.6857295994593494
esm2_frozen_bilstm_attn,train,-1,unclassified,132,260,0.4434767482621422,0.43851023507730585,0.45899683695074994
esm2_frozen_bilstm_attn,train,1,combined,888,3563,0.6264130986238968,0.7074763336296811,0.7114114066722753
esm2_frozen_bilstm_attn,train,1,consultation_dominated,23,35,0.5606115239162686,0.6320570839313497,0.6296718661793054
esm2_frozen_bilstm_attn,train,1,evidence_dominated,674,2444,0.7554682782438956,0.755805900463295,0.7447930211990053
esm2_frozen_bilstm_attn,train,1,not_magnitude_enriched,25,28,0.8052192439038197,0.7295512117042107,0.7422052232268465
esm2_frozen_bilstm_attn,train,1,unclassified,194,291,0.6147973404150002,0.6427888911880545,0.6376732202243194
esm2_frozen_bilstm_attn,validation,-1,combined,111,282,0.6118183232448083,0.6896978149695046,0.7021310603528821
esm2_frozen_bilstm_attn,validation,-1,evidence_dominated,175,860,0.6941870571000182,0.706058783050087,0.6990272542751865
esm2_frozen_bilstm_attn,validation,-1,not_magnitude_enriched,14,18,0.7161207585107408,0.7477153437694672,0.666843507917739
esm2_frozen_bilstm_attn,validation,-1,unclassified,26,61,0.4544174913122558,0.5220674210160812,0.504396258457072
esm2_frozen_bilstm_attn,validation,1,combined,196,799,0.6452583780629995,0.7296921745272832,0.7327467319299369
esm2_frozen_bilstm_attn,validation,1,consultation_dominated,3,3,0.5661764705882353,0.5736538209050654,0.5722420283942414
esm2_frozen_bilstm_attn,validation,1,evidence_dominated,143,480,0.7573268110853205,0.7759362089517249,0.7650240048555683
esm2_frozen_bilstm_attn,validation,1,not_magnitude_enriched,4,4,0.9158322903629537,0.9000257966556601,0.6784698198103896
esm2_frozen_bilstm_attn,validation,1,unclassified,45,69,0.6079481280450617,0.6738350116840779,0.6660123923560233
esm2_top28_bilstm_attn,test,-1,combined,141,483,0.5880796629105196,0.6660794597726902,0.6738299188221879
esm2_top28_bilstm_attn,test,-1,consultation_dominated,1,1,0.0,0.0,0.0
esm2_top28_bilstm_attn,test,-1,evidence_dominated,163,558,0.6938675084457777,0.710137703461765,0.692337629594725
esm2_top28_bilstm_attn,test,-1,not_magnitude_enriched,51,61,0.8161951765790246,0.7680107280811106,0.7417767855500996
