condition,sign,stage,evaluation_split,n_pairs,n_proteins,auroc,average_precision,macro_protein_auroc,delta_auroc_from_previous_stage
esm2_frozen_bilstm_attn,-1,00_distance_q8,validation,8448,205,0.5038114316832132,0.5060220216534919,0.49857566686548815,
esm2_frozen_bilstm_attn,-1,00_distance_q8,test,7991,201,0.5070843855736923,0.51033356436888,0.5028145359560415,
esm2_frozen_bilstm_attn,-1,01_add_query_biophysics,validation,8448,205,0.8691218265906475,0.8402698779702369,0.8851869461520762,0.36531039490743433
esm2_frozen_bilstm_attn,-1,01_add_query_biophysics,test,7991,201,0.8767512230042952,0.8388891987395386,0.8770762031896554,0.3696668374306029
esm2_frozen_bilstm_attn,-1,02_add_source_mechanism,validation,8448,205,0.8695732931760672,0.8403105882931278,0.8861256147676088,0.0004514665854197242
esm2_frozen_bilstm_attn,-1,02_add_source_mechanism,test,7991,201,0.8771333433311044,0.8383649018152118,0.8782506615508733,0.0003821203268091766
esm2_frozen_bilstm_attn,1,00_distance_q8,validation,8716,206,0.5158138705886317,0.5117409098485649,0.5268533599259475,
esm2_frozen_bilstm_attn,1,00_distance_q8,test,8933,204,0.5129197419841237,0.5089536050700711,0.5132974061494565,
esm2_frozen_bilstm_attn,1,01_add_query_biophysics,validation,8716,206,0.8186728616079327,0.7976403644048785,0.8386796507437156,0.302858991019301
esm2_frozen_bilstm_attn,1,01_add_query_biophysics,test,8933,204,0.8189410481443831,0.7941932161016619,0.8317753732518858,0.30602130616025935
esm2_frozen_bilstm_attn,1,02_add_source_mechanism,validation,8716,206,0.8204228763511066,0.7978504113596412,0.8395209980528295,0.0017500147431738222
esm2_frozen_bilstm_attn,1,02_add_source_mechanism,test,8933,204,0.8198250953924877,0.7944653482057719,0.8316296579466272,0.0008840472481046469
esm2_top28_bilstm_attn,-1,00_distance_q8,validation,8093,205,0.5012077666440082,0.5079327186333791,0.5037677686849567,
esm2_top28_bilstm_attn,-1,00_distance_q8,test,7773,200,0.5118547177548725,0.5179743334184514,0.5180475287654633,
esm2_top28_bilstm_attn,-1,01_add_query_biophysics,validation,8093,205,0.8942961265108914,0.8705946005985024,0.9010890370018343,0.3930883598668832
esm2_top28_bilstm_attn,-1,01_add_query_biophysics,test,7773,200,0.8976764337424316,0.871016062450932,0.9001476645593987,0.3858217159875591
esm2_top28_bilstm_attn,-1,02_add_source_mechanism,validation,8093,205,0.8935380774306948,0.8683161502667821,0.9009214851878665,-0.00075804908019661
esm2_top28_bilstm_attn,-1,02_add_source_mechanism,test,7773,200,0.8978584351113148,0.8705002561142046,0.8999272977793789,0.00018200136888324447
