condition,sign,band_type,stratum,apex_q8,evaluation_split,n_train_discovered,n_inference_eligible,n_direction_matches_train,n_replicated
esm2_frozen_bilstm_attn,1,flexibility_supporting,sign_only,ALL,validation,465,465,296,4
esm2_frozen_bilstm_attn,1,flexibility_supporting,sign_only,ALL,test,465,465,292,0
esm2_frozen_bilstm_attn,1,flexibility_supporting,sign_by_q8,C,validation,179,179,112,3
esm2_frozen_bilstm_attn,1,flexibility_supporting,sign_by_q8,C,test,179,179,116,0
esm2_frozen_bilstm_attn,1,flexibility_supporting,sign_by_q8,S,validation,7,7,5,0
esm2_frozen_bilstm_attn,1,flexibility_supporting,sign_by_q8,S,test,7,7,3,0
esm2_frozen_bilstm_attn,1,flexibility_supporting,sign_by_q8,T,validation,10,10,5,0
esm2_frozen_bilstm_attn,1,flexibility_supporting,sign_by_q8,T,test,10,10,3,0
esm2_frozen_bilstm_attn,1,flexibility_supporting,sign_by_q8,H,validation,3,3,1,0
esm2_frozen_bilstm_attn,1,flexibility_supporting,sign_by_q8,H,test,3,3,1,0
esm2_frozen_bilstm_attn,1,flexibility_supporting,sign_by_q8,E,validation,1,1,0,0
esm2_frozen_bilstm_attn,1,flexibility_supporting,sign_by_q8,E,test,1,1,1,0
esm2_frozen_bilstm_attn,-1,rigidity_supporting,sign_only,ALL,validation,427,427,234,1
esm2_frozen_bilstm_attn,-1,rigidity_supporting,sign_only,ALL,test,427,427,247,0
esm2_frozen_bilstm_attn,-1,rigidity_supporting,sign_by_q8,H,validation,362,362,196,0
esm2_frozen_bilstm_attn,-1,rigidity_supporting,sign_by_q8,H,test,362,362,230,0
esm2_frozen_bilstm_attn,-1,rigidity_supporting,sign_by_q8,E,validation,43,43,29,0
esm2_frozen_bilstm_attn,-1,rigidity_supporting,sign_by_q8,E,test,43,43,20,0
esm2_top28_bilstm_attn,-1,rigidity_supporting,sign_only,ALL,validation,225,225,121,0
esm2_top28_bilstm_attn,-1,rigidity_supporting,sign_only,ALL,test,225,225,135,0
esm2_top28_bilstm_attn,-1,rigidity_supporting,sign_by_q8,H,validation,220,220,120,0
esm2_top28_bilstm_attn,-1,rigidity_supporting,sign_by_q8,H,test,220,220,139,0
esm2_top28_bilstm_attn,-1,rigidity_supporting,sign_by_q8,E,validation,7,7,5,0
esm2_top28_bilstm_attn,-1,rigidity_supporting,sign_by_q8,E,test,7,7,3,0
esm2_top28_bilstm_attn,1,flexibility_supporting,sign_only,ALL,validation,267,267,175,0
esm2_top28_bilstm_attn,1,flexibility_supporting,sign_only,ALL,test,267,267,177,0
esm2_top28_bilstm_attn,1,flexibility_supporting,sign_by_q8,C,validation,70,70,46,1
esm2_top28_bilstm_attn,1,flexibility_supporting,sign_by_q8,C,test,70,70,51,0
esm2_top28_bilstm_attn,1,flexibility_supporting,sign_by_q8,T,validation,12,12,5,0
esm2_top28_bilstm_attn,1,flexibility_supporting,sign_by_q8,T,test,12,12,6,0
esm2_top28_bilstm_attn,1,flexibility_supporting,sign_by_q8,H,validation,2,2,1,0
