condition,split,sign,band_type,apex_q8,n_bands,n_proteins,n_bands_with_background,background_match_fraction,mean_controls_per_matched_band
esm2_frozen_bilstm_attn,train,1,flexibility_supporting,G,137,120,63,0.45985401459854014,3.0317460317460316
esm2_frozen_bilstm_attn,train,-1,rigidity_supporting,H,4062,874,2894,0.7124569177744953,4.524879060124396
esm2_frozen_bilstm_attn,train,1,flexibility_supporting,C,3494,931,2856,0.81740125930166,4.254551820728292
esm2_frozen_bilstm_attn,train,1,flexibility_supporting,S,847,458,383,0.45218417945690675,2.0757180156657964
esm2_frozen_bilstm_attn,train,-1,rigidity_supporting,E,1530,520,1067,0.6973856209150326,4.428303655107779
esm2_frozen_bilstm_attn,train,1,flexibility_supporting,T,1533,654,969,0.6320939334637965,3.437564499484004
esm2_frozen_bilstm_attn,train,1,flexibility_supporting,H,191,155,142,0.743455497382199,4.591549295774648
esm2_frozen_bilstm_attn,train,-1,rigidity_supporting,C,122,97,91,0.7459016393442623,4.1208791208791204
esm2_frozen_bilstm_attn,train,1,flexibility_supporting,E,153,134,105,0.6862745098039216,4.390476190476191
esm2_frozen_bilstm_attn,train,-1,rigidity_supporting,G,44,43,13,0.29545454545454547,3.1538461538461537
esm2_frozen_bilstm_attn,train,-1,rigidity_supporting,T,26,24,20,0.7692307692307693,3.75
esm2_frozen_bilstm_attn,train,-1,rigidity_supporting,S,5,3,4,0.8,2.75
esm2_frozen_bilstm_attn,train,1,flexibility_supporting,B,5,5,0,0.0,
esm2_frozen_bilstm_attn,train,1,flexibility_supporting,I,1,1,0,0.0,
esm2_frozen_bilstm_attn,train,-1,rigidity_supporting,B,1,1,0,0.0,
esm2_frozen_bilstm_attn,validation,1,flexibility_supporting,C,677,204,530,0.7828655834564254,4.3226415094339625
esm2_frozen_bilstm_attn,validation,-1,rigidity_supporting,H,827,182,553,0.6686819830713422,4.396021699819168
esm2_frozen_bilstm_attn,validation,1,flexibility_supporting,S,203,110,92,0.45320197044334976,2.032608695652174
