condition,sign,band_type,stratum,apex_q8,evaluation_split,n_train_discovered,n_inference_eligible,n_direction_matches_train,n_replicated
esm2_frozen_bilstm_attn,1,flexibility_supporting,sign_only,ALL,validation,508,508,319,5
esm2_frozen_bilstm_attn,1,flexibility_supporting,sign_only,ALL,test,508,508,328,2
esm2_frozen_bilstm_attn,1,flexibility_supporting,sign_by_q8,C,validation,229,229,147,2
esm2_frozen_bilstm_attn,1,flexibility_supporting,sign_by_q8,C,test,229,229,147,0
esm2_frozen_bilstm_attn,1,flexibility_supporting,sign_by_q8,S,validation,16,16,5,0
esm2_frozen_bilstm_attn,1,flexibility_supporting,sign_by_q8,S,test,16,16,9,0
esm2_frozen_bilstm_attn,1,flexibility_supporting,sign_by_q8,T,validation,46,46,26,0
esm2_frozen_bilstm_attn,1,flexibility_supporting,sign_by_q8,T,test,46,46,19,0
esm2_frozen_bilstm_attn,1,flexibility_supporting,sign_by_q8,H,validation,2,2,0,0
esm2_frozen_bilstm_attn,1,flexibility_supporting,sign_by_q8,H,test,2,2,1,0
esm2_frozen_bilstm_attn,1,flexibility_supporting,sign_by_q8,E,validation,1,1,0,0
esm2_frozen_bilstm_attn,1,flexibility_supporting,sign_by_q8,E,test,1,1,0,0
esm2_frozen_bilstm_attn,-1,rigidity_supporting,sign_only,ALL,validation,406,406,252,1
esm2_frozen_bilstm_attn,-1,rigidity_supporting,sign_only,ALL,test,406,406,230,0
esm2_frozen_bilstm_attn,-1,rigidity_supporting,sign_by_q8,H,validation,354,354,215,2
esm2_frozen_bilstm_attn,-1,rigidity_supporting,sign_by_q8,H,test,354,354,219,0
esm2_frozen_bilstm_attn,-1,rigidity_supporting,sign_by_q8,E,validation,94,94,61,1
esm2_frozen_bilstm_attn,-1,rigidity_supporting,sign_by_q8,E,test,94,94,59,0
esm2_frozen_bilstm_attn,-1,rigidity_supporting,sign_by_q8,C,validation,2,2,1,0
esm2_frozen_bilstm_attn,-1,rigidity_supporting,sign_by_q8,C,test,2,2,1,0
esm2_top28_bilstm_attn,-1,rigidity_supporting,sign_only,ALL,validation,210,210,120,1
esm2_top28_bilstm_attn,-1,rigidity_supporting,sign_only,ALL,test,210,210,131,3
esm2_top28_bilstm_attn,-1,rigidity_supporting,sign_by_q8,H,validation,207,207,127,1
esm2_top28_bilstm_attn,-1,rigidity_supporting,sign_by_q8,H,test,207,207,121,1
esm2_top28_bilstm_attn,-1,rigidity_supporting,sign_by_q8,E,validation,19,19,11,0
esm2_top28_bilstm_attn,-1,rigidity_supporting,sign_by_q8,E,test,19,19,12,0
esm2_top28_bilstm_attn,1,flexibility_supporting,sign_only,ALL,validation,320,320,213,3
esm2_top28_bilstm_attn,1,flexibility_supporting,sign_only,ALL,test,320,320,198,4
