condition,sign,stage,evaluation_split,n_segments,n_proteins,weighted_auroc,weighted_average_precision,macro_within_protein_q8_auroc,base_auroc,delta_auroc_from_base
esm2_frozen_bilstm_attn,-1,00_biophysical_base,validation,1706,164,0.8122661394830235,0.7806991403817655,0.8110228357085042,0.8122661394830235,0.0
esm2_frozen_bilstm_attn,-1,00_biophysical_base,test,1785,164,0.814171996675143,0.7841923888825362,0.8355602708923021,0.814171996675143,0.0
esm2_frozen_bilstm_attn,-1,01_motif_only,validation,1706,164,0.6721506581485157,0.636211169364064,0.6364789700856894,0.8122661394830235,-0.1401154813345078
esm2_frozen_bilstm_attn,-1,01_motif_only,test,1785,164,0.665413263787545,0.6222652120175528,0.63867601781176,0.814171996675143,-0.148758732887598
esm2_frozen_bilstm_attn,-1,02_base_plus_locked_motifs,validation,1706,164,0.8050347269850068,0.7668407253886453,0.79695317129299,0.8122661394830235,-0.007231412498016732
esm2_frozen_bilstm_attn,-1,02_base_plus_locked_motifs,test,1785,164,0.8032565254907638,0.7605156434346286,0.8209059930593134,0.814171996675143,-0.010915471184379189
esm2_frozen_bilstm_attn,1,00_biophysical_base,validation,3712,197,0.7936947284570068,0.7799396488470829,0.7929875494986195,0.7936947284570068,0.0
esm2_frozen_bilstm_attn,1,00_biophysical_base,test,3891,196,0.8009645329737869,0.7957587354530027,0.8105480510152494,0.8009645329737869,0.0
esm2_frozen_bilstm_attn,1,01_motif_only,validation,3712,197,0.6491701986844928,0.6444900522822729,0.6011107262537202,0.7936947284570068,-0.14452452977251407
esm2_frozen_bilstm_attn,1,01_motif_only,test,3891,196,0.641219400684095,0.6444101067404321,0.5956349688481773,0.8009645329737869,-0.1597451322896919
esm2_frozen_bilstm_attn,1,02_base_plus_locked_motifs,validation,3712,197,0.7965495940674976,0.7821412567214513,0.799066652181587,0.7936947284570068,0.0028548656104907533
esm2_frozen_bilstm_attn,1,02_base_plus_locked_motifs,test,3891,196,0.7995128297235734,0.7972777358674409,0.8110644389208276,0.8009645329737869,-0.0014517032502134875
esm2_top28_bilstm_attn,-1,00_biophysical_base,validation,1675,176,0.8309873552380465,0.8044792995755952,0.8414481545445598,0.8309873552380465,0.0
esm2_top28_bilstm_attn,-1,00_biophysical_base,test,1602,165,0.8353577550394998,0.8097844822255968,0.8469625458971826,0.8353577550394998,0.0
esm2_top28_bilstm_attn,-1,01_motif_only,validation,1675,176,0.7237182061788078,0.6827993335195466,0.6878319046473809,0.8309873552380465,-0.10726914905923868
esm2_top28_bilstm_attn,-1,01_motif_only,test,1602,165,0.7150048957561367,0.6604288525234359,0.6628500604628818,0.8353577550394998,-0.12035285928336314
esm2_top28_bilstm_attn,-1,02_base_plus_locked_motifs,validation,1675,176,0.8283411481906368,0.7987917138187478,0.840248451318713,0.8309873552380465,-0.002646207047409699
esm2_top28_bilstm_attn,-1,02_base_plus_locked_motifs,test,1602,165,0.8279566128222728,0.7945343162596064,0.8409010818584585,0.8353577550394998,-0.007401142217226986
esm2_top28_bilstm_attn,1,00_biophysical_base,validation,3635,205,0.8177414923381854,0.811772500360456,0.8242373684688213,0.8177414923381854,0.0
esm2_top28_bilstm_attn,1,00_biophysical_base,test,3763,201,0.8143220768330041,0.8050891337918417,0.8186899070490656,0.8143220768330041,0.0
esm2_top28_bilstm_attn,1,01_motif_only,validation,3635,205,0.5337097932257829,0.5322023985643256,0.5244319605277447,0.8177414923381854,-0.28403169911240245
esm2_top28_bilstm_attn,1,01_motif_only,test,3763,201,0.5167667801219678,0.5142130458853015,0.5141206693589093,0.8143220768330041,-0.2975552967110363
esm2_top28_bilstm_attn,1,02_base_plus_locked_motifs,validation,3635,205,0.8184438118740676,0.813443705843657,0.8250746001161281,0.8177414923381854,0.0007023195358821788
