condition,split,sign,label,n_proteins,observed_consensus_band_count,null_mean_consensus_band_count,null_std_consensus_band_count,consensus_count_empirical_p_upper,consensus_count_null_z,consensus_count_empirical_q_bh
esm2_frozen_bilstm_attn,train,1,flexibility_supporting,967,6340,5219.429,35.19490930007692,0.000999000999000999,31.83900803510668,0.000999000999000999
esm2_frozen_bilstm_attn,train,-1,rigidity_supporting,967,5806,5032.538,32.24335885403676,0.000999000999000999,23.988257659551053,0.000999000999000999
esm2_frozen_bilstm_attn,validation,1,flexibility_supporting,208,1345,1092.198,16.150344566901033,0.000999000999000999,15.653040648934475,0.000999000999000999
esm2_frozen_bilstm_attn,validation,-1,rigidity_supporting,208,1214,1047.951,15.219139963257494,0.000999000999000999,10.910537678270945,0.000999000999000999
esm2_frozen_bilstm_attn,test,1,flexibility_supporting,208,1350,1093.382,16.390629296300027,0.000999000999000999,15.656384838007906,0.000999000999000999
esm2_frozen_bilstm_attn,test,-1,rigidity_supporting,208,1227,1054.083,14.213237742580933,0.000999000999000999,12.165912027346453,0.000999000999000999
esm2_top4_bilstm_attn,train,1,flexibility_supporting,967,5696,4298.149,35.67146271534506,0.000999000999000999,39.18681471389946,0.000999000999000999
esm2_top4_bilstm_attn,train,-1,rigidity_supporting,967,5352,4548.079,31.444801391240084,0.000999000999000999,25.56610200832616,0.000999000999000999
esm2_top4_bilstm_attn,validation,1,flexibility_supporting,208,1241,920.738,16.408735557702265,0.000999000999000999,19.51777447285808,0.000999000999000999
esm2_top4_bilstm_attn,validation,-1,rigidity_supporting,208,1141,965.817,14.652037168707743,0.000999000999000999,11.956221376105784,0.000999000999000999
esm2_top4_bilstm_attn,test,1,flexibility_supporting,208,1216,910.932,16.24053974260496,0.000999000999000999,18.7843510643734,0.000999000999000999
esm2_top4_bilstm_attn,test,-1,rigidity_supporting,208,1142,971.504,14.219992693113179,0.000999000999000999,11.989879578670399,0.000999000999000999
esm2_top28_bilstm_attn,train,1,flexibility_supporting,967,5542,4272.473,34.74908300617111,0.000999000999000999,36.5341151527522,0.000999000999000999
esm2_top28_bilstm_attn,train,-1,rigidity_supporting,967,5126,4298.766,30.51433054104855,0.000999000999000999,27.10968863915225,0.000999000999000999
esm2_top28_bilstm_attn,validation,1,flexibility_supporting,208,1237,963.107,16.20006151201263,0.000999000999000999,16.90691111246112,0.000999000999000999
esm2_top28_bilstm_attn,validation,-1,rigidity_supporting,208,1130,954.878,14.579357793595495,0.000999000999000999,12.011640188769396,0.000999000999000999
esm2_top28_bilstm_attn,test,1,flexibility_supporting,208,1226,955.599,16.640285397134814,0.000999000999000999,16.249781391763786,0.000999000999000999
esm2_top28_bilstm_attn,test,-1,rigidity_supporting,208,1136,964.076,14.15035181387574,0.000999000999000999,12.149803924409317,0.000999000999000999
esm3_frozen_bilstm_attn,train,1,flexibility_supporting,967,6022,4632.257,37.27259311071873,0.000999000999000999,37.28592201438066,0.000999000999000999
esm3_frozen_bilstm_attn,train,-1,rigidity_supporting,967,5627,4856.054,31.168486626054825,0.000999000999000999,24.734790920375943,0.000999000999000999
esm3_frozen_bilstm_attn,validation,1,flexibility_supporting,208,1274,988.1,16.653748747574745,0.000999000999000999,17.167305952158973,0.000999000999000999
esm3_frozen_bilstm_attn,validation,-1,rigidity_supporting,208,1211,1029.701,14.054576839241022,0.000999000999000999,12.899641310708471,0.000999000999000999
esm3_frozen_bilstm_attn,test,1,flexibility_supporting,208,1284,989.053,15.501757819534387,0.000999000999000999,19.026680937327345,0.000999000999000999
esm3_frozen_bilstm_attn,test,-1,rigidity_supporting,208,1196,1027.621,14.345352841535414,0.000999000999000999,11.737529349050012,0.000999000999000999
esm3_top4_bilstm_attn,train,1,flexibility_supporting,967,5767,4285.871,35.37991092551106,0.000999000999000999,41.86355932660125,0.000999000999000999
esm3_top4_bilstm_attn,train,-1,rigidity_supporting,967,5431,4661.762,30.317957294886057,0.000999000999000999,25.372355812696956,0.000999000999000999
esm3_top4_bilstm_attn,validation,1,flexibility_supporting,208,1236,926.892,17.016106601801834,0.000999000999000999,18.165612571283994,0.000999000999000999
esm3_top4_bilstm_attn,validation,-1,rigidity_supporting,208,1177,1006.474,14.647111041494218,0.000999000999000999,11.642295843658998,0.000999000999000999
esm3_top4_bilstm_attn,test,1,flexibility_supporting,208,1226,922.142,16.54925115265684,0.000999000999000999,18.3608307830423,0.000999000999000999
esm3_top4_bilstm_attn,test,-1,rigidity_supporting,208,1166,1003.131,14.126832851223462,0.000999000999000999,11.529052669855485,0.000999000999000999
esm3_top28_bilstm_attn,train,1,flexibility_supporting,967,5897,4438.341,36.547153287409586,0.000999000999000999,39.911699511286,0.000999000999000999
esm3_top28_bilstm_attn,train,-1,rigidity_supporting,967,5618,4894.079,29.920762206384563,0.000999000999000999,24.194604235233296,0.000999000999000999
esm3_top28_bilstm_attn,validation,1,flexibility_supporting,208,1288,980.103,17.524539951179904,0.000999000999000999,17.56947690825229,0.000999000999000999
esm3_top28_bilstm_attn,validation,-1,rigidity_supporting,208,1237,1079.037,14.415666562543768,0.000999000999000999,10.957731251251003,0.000999000999000999
esm3_top28_bilstm_attn,test,1,flexibility_supporting,208,1264,978.258,16.690836408641122,0.000999000999000999,17.119693285835968,0.000999000999000999
esm3_top28_bilstm_attn,test,-1,rigidity_supporting,208,1217,1077.201,14.190277057300996,0.000999000999000999,9.85174563086296,0.000999000999000999
