temperature,split,n_sequences,min_neq,max_neq,mean_neq,median_neq,std_neq
320K,train,587966,1.0,12.619704023664584,1.7724731543006376,1.1234670902583739,1.282559155365917
320K,test,145941,1.0,11.592628598508215,1.782326025770596,1.1315046280424048,1.2929007933423333
348K,train,587966,1.0,12.774242527310301,2.1533255967565124,1.3285009542887565,1.7099281901623058
348K,test,145941,1.0,12.905654552710308,2.1613492700978156,1.335378106950203,1.7229584708999666
379K,train,587966,1.0,13.449155768078146,2.8412708680387553,1.8371833586424247,2.302900882726795
379K,test,145941,1.0,13.275331579476921,2.8374314795873596,1.8296733934131155,2.3030531739588307
413K,train,587966,1.0,13.92218634732007,4.124259478035731,3.215437578366644,3.0059011616630125
413K,test,145941,1.0,13.749026472629328,4.112282108774308,3.195113990527289,3.0014279511709496
450K,train,587966,1.0,14.332160832877335,6.411423307143334,6.62812327547606,3.423494205098352
450K,test,145941,1.0,14.140647181497496,6.367894544548139,6.548421612737878,3.41917766272823
