protein,contact_record_present,mapping_accepted,status,error,mapping_status,alignment_identity,input_coverage,experimental_method,resolution_angstrom,pdb_file,contact_source_json,pdb_atom_count_first_model,water_primary_eligible,water_eligibility_reason,target_chain_ids,n_target_heavy_atoms,n_target_polar_atoms,n_foreign_chain_polar_atoms,n_ordinary_contact_edges,n_nonlocal_contact_edges,n_contact_communities,n_ecod_labeled_residues,n_ecod_domains,all_water_count,occupancy_pass_count,bfactor_pass_count,retained_water_count,excluded_foreign_chain_contact_count,protein_bfactor_median,protein_bfactor_scaled_mad,water_bfactor_limit
16pk_A,True,True,ok,,exact,1.0,1.0,X-RAY DIFFRACTION,1.6,/home/zahralab/Desktop/ESMfluc/scripts/final_pipeline/results/publication_comparable_v2/analysis_seed_averaged_band_external_structure/contact_networks/pdb_cache/16pk.pdb,/home/zahralab/Desktop/ESMfluc/scripts/final_pipeline/results/publication_comparable_v2/analysis_seed_averaged_band_external_structure/contact_networks/train_contacts_ca8.json.gz,3769.0,True,eligible,A,3127.0,1146.0,0.0,2187.0,1360.0,8.0,415.0,2.0,580.0,580.0,235.0,194.0,0.0,13.68,5.485619999999999,30.13686
1a62_A,True,True,ok,,aligned,1.0,0.9615384615384616,X-RAY DIFFRACTION,1.55,/home/zahralab/Desktop/ESMfluc/scripts/final_pipeline/results/publication_comparable_v2/analysis_seed_averaged_band_external_structure/contact_networks/pdb_cache/1a62.pdb,/home/zahralab/Desktop/ESMfluc/scripts/final_pipeline/results/publication_comparable_v2/analysis_seed_averaged_band_external_structure/contact_networks/train_contacts_ca8.json.gz,1102.0,True,eligible,A,987.0,360.0,0.0,581.0,334.0,8.0,125.0,2.0,115.0,102.0,92.0,71.0,0.0,20.41,8.495298,45.895894
1ab1_A,True,True,ok,,exact,1.0,1.0,X-RAY DIFFRACTION,0.89,/home/zahralab/Desktop/ESMfluc/scripts/final_pipeline/results/publication_comparable_v2/analysis_seed_averaged_band_external_structure/contact_networks/pdb_cache/1ab1.pdb,/home/zahralab/Desktop/ESMfluc/scripts/final_pipeline/results/publication_comparable_v2/analysis_seed_averaged_band_external_structure/contact_networks/train_contacts_ca8.json.gz,631.0,True,eligible,A,326.0,126.0,0.0,205.0,116.0,5.0,46.0,1.0,0.0,0.0,0.0,0.0,0.0,3.115,1.1045369999999997,6.428610999999999
1ah7_A,True,True,ok,,exact,1.0,1.0,X-RAY DIFFRACTION,1.5,/home/zahralab/Desktop/ESMfluc/scripts/final_pipeline/results/publication_comparable_v2/analysis_seed_averaged_band_external_structure/contact_networks/pdb_cache/1ah7.pdb,/home/zahralab/Desktop/ESMfluc/scripts/final_pipeline/results/publication_comparable_v2/analysis_seed_averaged_band_external_structure/contact_networks/train_contacts_ca8.json.gz,2248.0,True,eligible,A,2013.0,729.0,0.0,1274.0,787.0,9.0,245.0,1.0,232.0,232.0,67.0,55.0,0.0,15.36,5.544924,31.994771999999998
1ail_A,True,True,ok,,aligned,1.0,0.958904109589041,X-RAY DIFFRACTION,1.9,/home/zahralab/Desktop/ESMfluc/scripts/final_pipeline/results/publication_comparable_v2/analysis_seed_averaged_band_external_structure/contact_networks/pdb_cache/1ail.pdb,/home/zahralab/Desktop/ESMfluc/scripts/final_pipeline/results/publication_comparable_v2/analysis_seed_averaged_band_external_structure/contact_networks/train_contacts_ca8.json.gz,592.0,True,eligible,A,558.0,210.0,0.0,305.0,168.0,6.0,70.0,1.0,34.0,34.0,26.0,24.0,0.0,14.285,5.478207,30.719621
1aol_A,True,True,ok,,exact,1.0,1.0,X-RAY DIFFRACTION,2.0,/home/zahralab/Desktop/ESMfluc/scripts/final_pipeline/results/publication_comparable_v2/analysis_seed_averaged_band_external_structure/contact_networks/pdb_cache/1aol.pdb,/home/zahralab/Desktop/ESMfluc/scripts/final_pipeline/results/publication_comparable_v2/analysis_seed_averaged_band_external_structure/contact_networks/train_contacts_ca8.json.gz,2007.0,True,eligible,A,1785.0,658.0,0.0,1147.0,694.0,9.0,228.0,1.0,191.0,191.0,117.0,105.0,0.0,13.77,3.9288900000000004,25.55667
1b25_D,True,True,ok,,aligned,1.0,0.9870759289176091,X-RAY DIFFRACTION,1.85,/home/zahralab/Desktop/ESMfluc/scripts/final_pipeline/results/publication_comparable_v2/analysis_seed_averaged_band_external_structure/contact_networks/pdb_cache/1b25.pdb,/home/zahralab/Desktop/ESMfluc/scripts/final_pipeline/results/publication_comparable_v2/analysis_seed_averaged_band_external_structure/contact_networks/validation_contacts_ca8.json.gz,20733.0,True,eligible,D,4786.0,1719.0,5157.0,3448.0,2234.0,10.0,611.0,2.0,1349.0,1349.0,476.0,130.0,9.0,17.65,4.818449999999997,32.10534999999999
1b2s_E,True,True,ok,,exact,1.0,1.0,X-RAY DIFFRACTION,1.82,/home/zahralab/Desktop/ESMfluc/scripts/final_pipeline/results/publication_comparable_v2/analysis_seed_averaged_band_external_structure/contact_networks/pdb_cache/1b2s.pdb,/home/zahralab/Desktop/ESMfluc/scripts/final_pipeline/results/publication_comparable_v2/analysis_seed_averaged_band_external_structure/contact_networks/train_contacts_ca8.json.gz,5378.0,True,eligible,E,725.0,262.0,1484.0,413.0,236.0,8.0,89.0,1.0,582.0,582.0,570.0,43.0,13.0,22.36,8.732514,48.557542
1b2s_F,True,True,ok,,aligned,1.0,0.9888888888888889,X-RAY DIFFRACTION,1.82,/home/zahralab/Desktop/ESMfluc/scripts/final_pipeline/results/publication_comparable_v2/analysis_seed_averaged_band_external_structure/contact_networks/pdb_cache/1b2s.pdb,/home/zahralab/Desktop/ESMfluc/scripts/final_pipeline/results/publication_comparable_v2/analysis_seed_averaged_band_external_structure/contact_networks/train_contacts_ca8.json.gz,5378.0,True,eligible,F,717.0,259.0,1487.0,408.0,233.0,6.0,89.0,1.0,582.0,582.0,522.0,35.0,7.0,20.89,6.508614000000001,40.415842
1b8d_K,True,True,ok,,exact,1.0,1.0,X-RAY DIFFRACTION,1.9,/home/zahralab/Desktop/ESMfluc/scripts/final_pipeline/results/publication_comparable_v2/analysis_seed_averaged_band_external_structure/contact_networks/pdb_cache/1b8d.pdb,/home/zahralab/Desktop/ESMfluc/scripts/final_pipeline/results/publication_comparable_v2/analysis_seed_averaged_band_external_structure/contact_networks/train_contacts_ca8.json.gz,7734.0,True,eligible,K,1240.0,469.0,1459.0,776.0,451.0,7.0,164.0,1.0,333.0,333.0,225.0,43.0,22.0,19.45,6.2120940000000004,38.086282
