name,ecod_domain_id,ecod_f_id,ecod_x_id,ecod_x_name,pdb_range
16pk_A,e16pkA1,7533.1.1.1,ECOD_X_7533,NO_X_NAME,A:196-419
16pk_A,e16pkA2,7532.1.1.1,ECOD_X_7532,NO_X_NAME,A:5-195
1a62_A,e1a62A1,2.1.1.42,ECOD_X_2,OB-fold,A:48-125
1a62_A,e1a62A2,130.1.1.7,ECOD_X_130,LEM/SAP HeH motif-like,A:1-47
1ab1_A,e1ab1A1,365.1.1.1,ECOD_X_365,NO_X_NAME,A:1-46
1ah7_A,e1ah7A1,177.1.1.2,ECOD_X_177,NO_X_NAME,A:1-245
1ail_A,e1ailA1,616.1.1.7,ECOD_X_616,NO_X_NAME,A:1-70
1aol_A,e1aolA1,712.1.1.1,ECOD_X_712,NO_X_NAME,A:9-236
1b25_D,e1b25D1,169.1.1.1,ECOD_X_169,NO_X_NAME,D:211-619
1b25_D,e1b25D2,806.1.1.1,ECOD_X_806,NO_X_NAME,D:1-210
1b2s_E,e1b2sE1,2489.1.1.1,ECOD_X_2489,NO_X_NAME,E:2-90
1b2s_F,e1b2sF1,2489.1.1.1,ECOD_X_2489,NO_X_NAME,F:2-90
1b8d_K,e1b8dK1,106.1.1.4,ECOD_X_106,NO_X_NAME,K:1-164
1bgf_A,e1bgfA1,515.1.1.1,ECOD_X_515,NO_X_NAME,A:0-123
1bkp_A,e1bkpA1,266.1.1.1,ECOD_X_266,NO_X_NAME,A:2-279
1bq8_A,e1bq8A1,375.1.1.31,ECOD_X_375,Rubredoxin-like,A:1-52
1btk_A,e1btkA1,220.1.1.13,ECOD_X_220,PH domain-like,A:2-136
1btk_A,e1btkA2,398.1.1.1,ECOD_X_398,NO_X_NAME,A:137-170
1bx7_A,e1bx7A1,388.1.1.1,ECOD_X_388,NO_X_NAME,A:3-53
1bxy_A,e1bxyA1,887.1.1.5,ECOD_X_887,NO_X_NAME,A:1-60
1by2_A,e1by2A1,358.1.1.5,ECOD_X_358,SRCR-like,A:0-115
1c1k_A,e1c1kA1,546.1.1.2,ECOD_X_546,NO_X_NAME,A:1-217
1c52_A,e1c52A1,107.1.1.4,ECOD_X_107,Cytochrome c-like,A:1-131
1c96_A,e1c96A2,2487.1.1.2,ECOD_X_2487,"The ""swivelling"" beta/beta/alpha domains",A:529-754
1c96_A,e1c96A3,7542.1.1.1,ECOD_X_7542,NO_X_NAME,A:317-528
1c96_A,e1c96A4,7542.1.1.1,ECOD_X_7542,NO_X_NAME,A:2-200
1c96_A,e1c96A5,7542.1.2.1,ECOD_X_7542,NO_X_NAME,A:201-316
1chd_A,e1chdA1,7548.1.1.1,ECOD_X_7548,NO_X_NAME,A:152-349
1coj_A,e1cojA1,192.3.1.1,ECOD_X_192,Long alpha-hairpin,A:2-90
1coj_A,e1cojA2,228.1.1.1,ECOD_X_228,NO_X_NAME,A:91-212
1cpq_A,e1cpqA1,601.2.1.2,ECOD_X_601,Four-helical up-and-down bundle,A:1-129
1ctf_A,e1ctfA1,308.1.1.2,ECOD_X_308,ClpS-like,A:53-120
1cuo_A,e1cuoA1,3156.1.1.1,ECOD_X_3156,Cupredoxin-like,A:1-129
