condition,split,protein,protein_length,eligible_start_index_0based,eligible_end_index_0based_exclusive,terminal_exclusion_used,n_flexibility_supporting_bands,n_rigidity_supporting_bands,n_total_bands,profile_identity_max_abs_error
esm2_frozen_bilstm_attn,train,16pk_A,415,1,414,0,11,11,22,2.8390445550030563e-09
esm2_frozen_bilstm_attn,train,1a62_A,130,1,129,0,3,3,6,7.683362390764614e-09
esm2_frozen_bilstm_attn,train,1ab1_A,46,1,45,0,2,1,3,8.200932377633308e-09
esm2_frozen_bilstm_attn,train,1ah7_A,245,1,244,0,6,6,12,2.897849071814562e-09
esm2_frozen_bilstm_attn,train,1ail_A,73,1,72,0,2,1,3,1.4529721426015385e-08
esm2_frozen_bilstm_attn,train,1aol_A,228,1,227,0,9,8,17,9.808125422949843e-10
esm2_frozen_bilstm_attn,train,1b2s_E,90,1,89,0,2,3,5,7.58995755134606e-09
esm2_frozen_bilstm_attn,train,1b2s_F,90,1,89,0,2,3,5,7.58995755134606e-09
esm2_frozen_bilstm_attn,train,1b8d_K,164,1,163,0,3,4,7,2.569613855030184e-09
esm2_frozen_bilstm_attn,train,1bgf_A,124,1,123,0,2,3,5,3.2873459510085468e-09
esm2_frozen_bilstm_attn,train,1bkp_A,278,1,277,0,9,9,18,2.2462605109296874e-09
esm2_frozen_bilstm_attn,train,1bq8_A,54,1,53,0,1,0,1,7.202650920135056e-09
esm2_frozen_bilstm_attn,train,1bx7_A,55,1,54,0,2,1,3,5.742776920669712e-08
esm2_frozen_bilstm_attn,train,1bxy_A,60,1,59,0,1,1,2,6.251068995766218e-09
esm2_frozen_bilstm_attn,train,1by2_A,119,1,118,0,4,3,7,6.730029866730547e-09
esm2_frozen_bilstm_attn,train,1c1k_A,217,1,216,0,7,7,14,6.8870349423377775e-09
esm2_frozen_bilstm_attn,train,1c96_A,753,1,752,0,17,17,34,1.130952997918655e-09
esm2_frozen_bilstm_attn,train,1chd_A,203,1,202,0,6,5,11,7.784486610873387e-09
esm2_frozen_bilstm_attn,train,1cuo_A,129,1,128,0,4,3,7,3.683351401662094e-09
esm2_frozen_bilstm_attn,train,1d2t_A,231,1,230,0,7,6,13,3.5120119035170205e-09
esm2_frozen_bilstm_attn,train,1d3y_B,301,1,300,0,9,9,18,1.7011252406717858e-09
esm2_frozen_bilstm_attn,train,1d4t_A,104,1,103,0,3,3,6,4.965997502104358e-09
esm2_frozen_bilstm_attn,train,1dfu_P,94,1,93,0,2,2,4,1.093780532812616e-08
esm2_frozen_bilstm_attn,train,1dj0_B,264,1,263,0,7,6,13,2.931401565930969e-09
esm2_frozen_bilstm_attn,train,1dk8_A,147,1,146,0,4,3,7,1.1788554132863283e-08
esm2_frozen_bilstm_attn,train,1dlj_A,402,1,401,0,10,10,20,2.5698376759919483e-09
esm2_frozen_bilstm_attn,train,1doi_A,128,1,127,0,4,3,7,2.8167237431375725e-09
esm2_frozen_bilstm_attn,train,1dtd_B,61,1,60,0,2,1,3,6.445302958013599e-09
esm2_frozen_bilstm_attn,train,1dvo_A,152,1,151,0,4,4,8,5.189433771590757e-09
esm2_frozen_bilstm_attn,train,1dwk_A,156,1,155,0,5,4,9,2.0050459070830584e-09
esm2_frozen_bilstm_attn,train,1ear_A,147,1,146,0,6,4,10,5.148053539016928e-09
esm2_frozen_bilstm_attn,train,1ef1_D,90,1,89,0,2,1,3,2.490803230337235e-09
esm2_frozen_bilstm_attn,train,1egw_B,77,1,76,0,2,1,3,4.135967124341278e-09
esm2_frozen_bilstm_attn,train,1esw_A,500,1,499,0,12,12,24,1.6478221009919025e-09
